##2020
vYmJWEuaC-E,Mississippi Bridge Collapse: What Went Wrong? | Built From Disaster | Spark,11m 23s,2020-06-19T17:00:31Z
o3N1hxqfnEo,Why The Unsinkable Titanic Sank | Built From Disaster | Spark,10m 3s,2020-04-10T17:00:30Z

##2019
DIVdloP9S5k,Construction Disasters That Changed The World | Built From Disaster | Spark,26m 59s,2019-12-07T22:00:00Z
8x9jf5itqKo,The Lessons Learned From The Titanic | Built From Disaster | Spark,5m 31s,2019-10-12T21:00:00Z
9571zV6TkQA,How Train Disasters Changed The Way We Build High Speed Trains| Built From Disaster | Spark,48m 39s,2019-06-21T21:00:00Z
3Cp1Rh-FNOc,How They Build Tunnels To Be Disaster Proof | Built From Disaster | Spark,47m 19s,2019-06-14T21:00:01Z
yRUFaNuxoEM,How To Build A Strong Skyscraper | Built From Disaster | Spark,47m 39s,2019-06-07T21:00:04Z
kr3OAIvgbk8,How Modern Ships Have Advanced Since Historic Disasters At Sea | Built From Disaster | Spark,47m 45s,2019-05-31T21:00:04Z
Bt7bdinnk7I,How Do Engineers Build Safe Bridges? | Built From Disaster | Spark,47m 41s,2019-05-24T21:00:02Z
XbZ86tl97MU,How Do You Build A Stadium That Lasts | Built From Disaster | Spark,47m 41s,2019-05-17T21:00:03Z
