##2022
swu577TIkMI,Life Onboard The Royal Canadian Navy Ships (HMCS) | Warships Compilation | Spark,3h 20m 16s,2022-11-24T18:00:34Z

##2021
PnNJTlQsIlM,HMS Duncan Escorts British Tanker Through Dangerous Waters Of Iran | Warship | Spark,43m 31s,2021-10-04T17:00:13Z
1-zc7qTaOoA,British Warship Rescues British Hostages From Iran | Warship | Spark,42m 10s,2021-09-27T22:00:00Z
p7NVUm4eTaU,British Warship Heads To Ukraine On Peacekeeping Mission | Warship | Spark,44m 4s,2021-09-20T22:00:30Z
QgBCcuWFgjU,HMS Duncan: Protecting French Aircraft Carriers From Enemy Submarines | Warship | Spark,45m 18s,2021-09-13T17:00:15Z
jTWLRZsE6EA,HMS Duncan: Life On A Deadly Warship | Warship | Spark,44m 6s,2021-09-06T20:00:08Z
UtMifEg_ql0,The Command Centre Of An Advanced Destroyer In Active Warfare | Warship: Life At Sea | Spark,44m 54s,2021-08-30T17:30:02Z
cRxTF7VtMb0,Syrian Chemical Attacks Force British Destroyer To Prepare For War | Warship: Life At Sea | Spark,45m 13s,2021-08-25T17:00:31Z
7YkY4yi8EeE,Most Sophisticated Naval Radar Ever Created Deployed In Crimea | Warship: Life At Sea | Spark,44m 53s,2021-08-18T17:00:09Z
90V9h7Srvdw,Inside World's Most Advanced Destroyer: HMS Duncan | Warship: Life At Sea | Spark,44m 50s,2021-08-09T17:03:01Z
HuynzAg6o0g,What Its Like Working On Britains Largest Warship | Warship | Spark,45m 53s,2021-02-13T18:00:03Z
YFFWjbnjeL0,Can The HMS Ocean Survive Another Attack From Enemies? | Warship | Spark,45m 18s,2021-02-06T18:00:06Z
MLSFDJ3pFoI,How The HMS Ocean Navigates Life Through Hostile Waters | Warship | Spark,45m 49s,2021-01-30T18:00:03Z

##2020
gNNy_IvHnIg,HMCS Iroquois Travels Into The Most Dangerous Waterways On The Planet | Warships | Spark,50m 5s,2020-06-29T17:00:10Z
5iwD0EbGGrI,HMCS Protecteur Boards Suspicious Somali Fishing Vessel | Warships | Spark,50m 1s,2020-06-22T17:00:03Z
4GFLo0Izp_s,HMCS Calgary Sets Sail For Persian Gulf | Warships | Spark,50m,2020-06-15T17:00:04Z
ZaMz5qWbCvs,Life Onboard The Drug-Busting HMCS Calgary | Warships | Spark,50m 5s,2020-06-08T17:00:24Z
