"Video ID",Title,Length,Published,"Region Restriction Count"
VXREcuH7s_A,"In Sight of The Coast - Water Life 20/26 - Go Wild","28m 5s","2022-12-27T14:00:22Z","15 (allowed)"
Rtc6Kl34DpM,"Under the Sea - Water Life 19/26 - Go Wild","27m 10s","2022-12-26T14:00:11Z","15 (allowed)"
BrgSgyN366o,"On the Seaside - Water Life 18/26 - Go Wild","28m 11s","2022-12-25T14:00:07Z","15 (allowed)"
3H7YyKNbXHg,"A Winter's Tale - The Journey of the Snowy Owls - Go Wild","44m 32s","2022-12-24T15:00:02Z","4 (blocked)"
wt8Q4LY_AwQ,"Christmas Winter Wonderland - Go Wild","52m 12s","2022-12-23T15:00:30Z","6 (blocked)"
"iW2aYYCQ-Dc","The Frontier of the Sea - Water Life 17/26 - Go Wild",28m,"2022-12-22T14:00:31Z","15 (allowed)"
PxdkzCcNVec,"Extreme Water - Water Life 16/26 - Go Wild","26m 30s","2022-12-21T08:38:54Z","15 (allowed)"
uuku8P50W2U,"Kingdom Of Tides - Water Life 15/26 - Go Wild","26m 41s","2022-12-19T23:00:35Z","15 (allowed)"
XDb0JnI6R6M,"Salt Forests - Water Life 14/26 - Go Wild","27m 15s","2022-12-18T23:00:22Z","15 (allowed)"
zrMoYojE3Gk,"Jungle Water - Water Life 13/26 - Go Wild","25m 35s","2022-12-17T23:00:21Z","15 (allowed)"
NP0TlOURoFU,"Fleeting Water - Water Life 12/26 - Go Wild","27m 34s","2022-12-16T23:00:20Z",""
ria2KUEA3vc,"Borrowed Water - Water Life 11/26 - Go Wild","26m 45s","2022-12-15T23:00:23Z","15 (allowed)"
"FZd-B3yGjDU","Protective Water - Water Life 10/26 - Go Wild","26m 57s","2022-12-14T23:00:08Z","15 (allowed)"
6H0NApfYf2s,"Water’s Skin - Water Life 9/26 - Go Wild","25m 59s","2022-12-13T23:00:03Z","15 (allowed)"
tlgC28vLMS0,"Useful Water - Water Life 8/26 - Go Wild","27m 26s","2022-12-12T23:00:22Z","15 (allowed)"
YqZ1dHxcyiU,"Dark Water - Water Life 7/26 - Go Wild","27m 5s","2022-12-11T23:00:14Z","15 (allowed)"
mz3H6q93rlA,"Soup of Life - Water Life 6/26 - Go Wild","26m 52s","2022-12-10T23:00:17Z","15 (allowed)"
ah_Ofw40qOw,"The Quiet Flow - Water Life 5/26 - Go Wild","26m 39s","2022-12-09T23:00:02Z","15 (allowed)"
sUNAXbhknS0,"Liquid Roads - Water Life 4/26 - Go Wild","26m 21s","2022-12-08T23:00:21Z",""
HVkIVB6WkaI,"Where Water Is Born - Water Life 3/26 - Go Wild","28m 13s","2022-12-07T23:00:07Z","15 (allowed)"
hZ_zct1ATro,"The Wandering Water - Water Life 2/26 - Go Wild","26m 50s","2022-12-06T23:00:30Z","15 (allowed)"
"Z-GVRYiQTXo","Water Planet - Water Life 1/26 - Go Wild","28m 5s","2022-12-05T23:00:25Z","15 (allowed)"
"LD_lo7-W14c","King of the Seas, Sea Eagle - Go Wild","51m 58s","2022-12-05T15:00:10Z","4 (blocked)"
LwY5tITGBWE,"The Making Of Marine Mammals 9/9 - Go Wild","26m 32s","2022-12-04T05:00:12Z",""
siIIINJ0Ci0,"The Sea Elephant's Beach - Marine Mammals 8/9 - Go Wild","29m 2s","2022-12-03T07:00:16Z",""
TQmZz93lpBs,"The Leopard Seal's Share - Marine Mammals 7/9 - Go Wild","29m 51s","2022-12-02T08:00:20Z",""
sELYwp2gVd8,"The Fur Seal Nursery - Marine Mammals 6/9 - Go Wild","29m 27s","2022-12-01T08:00:15Z",""
