"Video ID",Title,Length,Published
qOpYYPzVOG4,"What Lies Beyond the Solar System? Long Episode","28m 20s","2022-12-10T18:49:30Z"
YcmJP5p6kvA,"A Journey to the Edge of the Solar System","2h 36m 29s","2022-11-14T15:38:17Z"
OUjGozptI_k,"James Webb Detected Light of Remote Objects at the Edge of the Universe","15m 10s","2022-10-30T14:31:44Z"
HbPItEgPBZc,"What Did NASA Discover in Latest Photos from Pluto?","15m 54s","2022-10-15T15:25:28Z"
OVOE0FCZpHw,"A Spaceship Capable of Reaching the Edge of the Universe","11m 10s","2022-09-28T17:06:34Z"
sywRhySjzFA,"What Did NASA Discover in Latest Photos from Mercury?","13m 26s","2022-09-01T18:48:23Z"
"d-TtwCLg9_Q","A Journey to Mysterious Exoplanets","1h 8m 56s","2022-08-19T18:46:31Z"
8WfPamf1WXw,"What the Milky Way Really Looks Like?","17m 7s","2022-08-10T18:25:10Z"
nMnNvOgUQ0Q,"What Was the Earth Like after Dinosaurs? The Dawn of Humanity","21m 55s","2022-07-25T18:08:10Z"
ynXyc9OnInU,"How Does Order Get Born from CHAOS? The Butterfly Effect","11m 59s","2022-07-10T16:10:59Z"
NnjapetWJnA,"A Mysterious World of Teegarden b. The Most Earth-Like Planet","11m 23s","2022-07-02T17:08:31Z"
b_W4BPoqvoU,"A Journey to Our Nearest Stars","1h 14m 40s","2022-06-19T19:24:30Z"
H9WYyOPaDK4,"A Dying Giant 2,500,000,000 Times the Volume of the Sun","11m 19s","2022-06-04T21:57:43Z"
HLBB1p3Ty5g,"What Do Saturn's Rings Conceal?","16m 3s","2022-05-26T17:24:54Z"
XKbQuNF0zPo,"Alpha Centauri. What Does the Closest Stellar System Conceal?","12m 32s","2022-04-05T18:24:34Z"
"RUdnvm7-Z2U","A Journey Back to the Beginning of Times","1h 24m 8s","2022-02-27T17:49:12Z"
"-Ecm4N0NLYI","What Did NASA Discover in Latest Photos from Venus?","13m 8s","2022-02-20T20:10:58Z"
5S6rRSxeZcU,"What Did the Parker Probe Discover on the Sun?","12m 12s","2022-02-07T19:21:37Z"
"n_teJd4-GGw","What Was the Earth Like When Dinosaurs Were Around?","19m 3s","2022-01-22T20:04:17Z"
LMA2wVYfdzc,"A Journey Beyond the Boundaries of the Universe","1h 28m 37s","2022-01-15T15:40:52Z"
QQ3_arsOTyo,"How Dangerous Is the Black Hole Closest to Us?","11m 35s","2022-01-07T18:49:01Z"
303n3NuK9V4,"The Scariest Planets Ever Discovered","15m 2s","2021-12-29T19:38:51Z"
"B-rx-J_6lww","What Lies Beyond the Universe?","12m 40s","2021-12-21T00:10:38Z"
x9e9T6pQY38,"What Is Happening to Betelgeuse? Stellar Evolution","14m 14s","2021-12-06T19:30:25Z"
"5z4Tl-g3OTY","A Journey around the Solar System","1h 14m 43s","2021-11-28T20:23:41Z"
5FJMpWkyY8E,"What Is the Asteroid Belt Like?","16m 49s","2021-11-14T18:31:21Z"
rKqZjldCfyU,"The Mysterious World of OGLE-2016-BLG. What Do We Know about Rogue Planets?","11m 48s","2021-10-31T16:31:10Z"
ksvhwB5ZBD8,"What Did NASA Discover in Latest Photos from Mars?","12m 24s","2021-10-24T16:23:19Z"
rEA5AsDTwOk,"How Far Have the Voyagers Got? What Happened to Them?","12m 46s","2021-10-11T15:57:28Z"
hK5IkfdPpFo,"Mysteries of the Universe. A Journey to Amazing Objects","1h 8m 28s","2021-10-04T00:54:48Z"
T6GUHyRBgOQ,"Our Closest Stars. What Lies beyond the Solar System?","17m 40s","2021-09-26T18:06:46Z"
vh8ipphQBxk,"What Was the Earth Like after Dinosaurs?","16m 34s","2021-09-11T16:04:40Z"
"ni2Qe3bn-DA","The Most Unusual Galaxies Ever Discovered","9m 59s","2021-08-22T17:46:04Z"
