"Video ID",Title,Description,Length,Published
KEBFXHjM6mw,"Killer Asteroid: Defending Earth 4k","When natural disasters threaten, we turn to science and technology to warn us… to seek shelter or get out of the way. But can they face the ultimate threat: speeding projectiles from the depths of space? Cutting-edge space missions are underway to deflect and destroy space objects that threaten to rock our world. Can they save the planet from a killer asteroid?","48m 1s","2022-12-23T21:00:10Z"
AkToyclV9DQ,"Search for the Cosmic Dawn: James Webb Space Telescope - 4k","All eyes are on the images and data streaming in from the James Webb Space Telescope, the successor to the Hubble Space Telescope. This engineering marvel leads a new generation of observatories that are now probing the deepest regions of space for clues to an extraordinary chain of events at the brink of the Cosmic Dawn.","25m 35s","2022-10-15T14:00:09Z"
J8lJtgyAcIA,"Other Earths: The Search for Habitable Planets - 4k","Our galaxy is made up of some four hundred billion stars and at least a hundred billion planets. How many are like Earth, with an atmosphere, flowing water, complex geology, and abundant life? Astronomers are seeking answers in countless photons racing past the Earth and in bold new theories about how planets form and evolve. What they are finding has only sharpened one of the oldest debates in science: Is biology a powerful and inevitable byproduct of cosmic evolution? Or is it rare, in a galaxy shaped by violence and mayhem?","45m 1s","2022-05-21T04:00:11Z"
k0Wiealif5U,"Search for the Edge of Space - 4k","The universe has long captivated us with its immense scales of distance and time. Many astronomers today have come to believe that what we can see represents only a small fraction of all there is. They are pioneering bold new theories that describe a cosmic landscape that extends far beyond the limits of our vision. What lies beyond the streams of galaxies that extend as far as our telescopes can see? Where does it all end? How do we fit within it?","42m 33s","2022-04-25T01:02:13Z"
1DGl_kgo9A8,"Planet Hunting with the James Webb Space Telescope","Astronomers have detected more than 5000 planets orbiting other stars. New space telescopes – exploiting aggressive new technologies and backed by Artificial Intelligence, could vastly expand this bounty. Are any of these alien worlds “alive”? Are living creatures common in the cosmos? These are among the most challenging questions science has ever faced. The answers may be found in the early Universe. But because space itself is relentlessly expanding, the light from those early times has been stretching – shifting further and further into the red part of the spectrum. To probe events that far back in time, astronomers must search with sensitive infrared detectors. Enter the Webb Telescope, with its ability to discern details only a 50 million years after “the beginning of time,” along with the details of alien atmospheres in the neighborhood of our Sun.","21m 37s","2021-12-22T17:00:12Z"
WRlvAhTEy4o,"Mars Calling - 4k","Some believe Mars is calling humanity to our next home. But the real “red planet” is a trickster, strikingly beautiful yet sweetly sinister. Even as a growing armada of instruments arrives, this small cold world continues to conceal its secrets. Settlers beware; Mars may not be what you imagine. The technological means to cross space and bring this small world back to life is just now coming within our grasp. But Mars is likely to change Humanity as much as we change it.","49m 44s","2021-12-18T15:00:09Z"
"vLM-v7LeiEg","The Most Powerful Black Holes in the Universe 4k","The study of extreme physics brought us the bomb. It has taken us inside the violent death of a star. Now, it has brought us face to face with the most destructive force in Nature: a supermassive black hole. How large, how powerful, can these monsters get? What can they tell us about the extremes of time and space?","48m 1s","2020-12-04T19:00:09Z"
snHcrlxHXbA,"Are There Other Earths: The Odds of Life Around Nearby Stars","Scientists, wielding sensitive new telescopes and ""big data"" tools, have detected planets around thousands of stars; some Sun-like and some very different from our star. Many newly discovered ""exoplanets"" lie in ""habitable zones,"" where liquid water may support the chemistry that enables biology. How will astronomers discover if we have company in the cosmos and where they live?","35m 23s","2020-11-27T17:00:16Z"
qaUhLXolGaI,"Voyage of Curiosity: A Martian Chronicle 4k","This film tells the epic story of NASA's Curiosity Rover on a mission to find out whether life could ever have existed on Mars and whether the planet is safe for humans. This film tracks the robotic explorer's perilous journey, from its risky landing to its momentous climb up the slopes of Mt. Sharp. It will rank as one of the great space missions, from Cassini at Saturn to Apollo on the Moon and Voyager beyond the solar system.","54m 40s","2020-11-18T17:00:09Z"
90WQb0rQdi4,"Journey to the Pale Red Dot - 4k","On the hunt for other solar systems, scientists have discovered an Earth-sized planet orbiting the star nearest to our Sun, Proxima Centauri. It's an important test of whether we are alone in the universe. Stephen Hawking and others are calling for a mission to search for extraterrestrial life. NASA and private companies are studying what it will take to make our first interstellar space flight.","42m 6s","2020-11-11T17:00:09Z"
HTGxCxNVn9g,"Venus Death of a Planet 4k","Billions of years ago, our nearest planetary neighbor, Venus, may have harbored lakes, oceans, and life-giving habitats similar to those on the early Earth. Today, Venus spins slowly in a backward direction. It's a planet knocked upside down and turned inside out. Its burned-out surface is a global fossil of volcanic destruction, shrouded in a dense, toxic atmosphere. Scientists have come to see Venus as the alien planet “next door,” a laboratory for testing ideas about how planets evolve and the challenges they face in nurturing life. They are now unveiling daring new strategies to reach down to its hostile surface. From floating bases stationed high in Venus’ atmosphere, they hope to send down new generation probes to search for clues from a time when the planet was alive. How did Venus descend into this hellish state? And how did its sister planet, Earth, manage to survive?","50m 11s","2020-10-16T19:00:10Z"
buiCRFB7w9o,"SkyRide to Mt. Washington","Zooming up Mt. Washington on a motorcycle is the closest thing to launching into space on the east coast of North America. Known for extreme and erratic weather, this natural monument is lined with fractured landscapes and forests splintered in brilliant sunlight. Mt. Washington is one of the ultimate must rides. Rev up with the Westchester Motorcycle riders on their Indians, Harleys, BMWs, Hondas and Triumphs and revel in the inspirational music of Digital3Public.","20m 27s","2020-09-01T16:08:30Z"
CmkjB4jmEa0,"Venus: Warnings of a Doomed Planet","Venus is virtually a twin of Earth in size, mass and bulk composition; much more like our planet than is Mars. Yet it has gone down a completely different – and deadly – evolutionary path. Experts share valuable lessons from Venus on the origins of life, acid rain, ozone loss, global warming and other questions. They make the passionate case for further exploring Earth’s “evil twin sister.”","12m 21s","2020-08-18T22:00:05Z"
lXqz2LlX9mM,"Is There Life in the Clouds of Venus?","For more than 100 years astronomers have seen them; dark patches swirling in the clouds of Venus, visible only in ultraviolet light. Could there be life-forms thriving in the balmy zone ~50km above the hellish surface? On Earth, researchers find life everywhere they look, including acid-loving bacteria that could easily live in Venus’ air. Experts share what they know – and how they’re going about finding out – about this fascinating possibility.","7m 20s","2020-08-14T22:00:20Z"
