Video ID,Title,Length,Published
_Z0QFoCYcNY,Direct Guidance to True Freedom,9m,2022-12-21T16:46:44Z
Esbrnzoirk4,A Profound Guided Meditation ~ The Boundless Ocean of Being,43m 39s,2022-12-08T16:00:31Z
cP5ktHCtx8A,The Real You Can Never Be Rejected,44m 46s,2022-11-24T14:13:49Z
BOidsiqtikk,From Anger to Awakening,37m,2022-11-16T16:36:10Z
EY7qtmqOFAs,Welcome the Spirit of Harmony,8m 1s,2022-10-22T12:46:34Z
QHKrXUHXmO4,The Power of Being Centered,20m 38s,2022-09-28T11:09:38Z
a3RQjhiLq4c,Abide In and As the Sky of Awareness,1h 4m 50s,2022-09-11T12:31:45Z
znYmDizG7i4,The Eternal Timeless Now,9m 5s,2022-08-28T12:10:53Z
UnHB6Clj3dw,An Insightful Story of 2 Birds,22m 2s,2022-08-13T12:10:40Z
pS6AXaEjq4M,Mooji How Do I Balance Good Effort with No Effort?,9m 50s,2022-07-30T12:24:48Z
hP7_b1ZhIwc,Take 5 Minutes to Come to Total Rest,10m 5s,2022-07-03T13:10:33Z
CaJv8zHfEzQ,Be at Peace Even with a Chaotic Mind,1h 8m 41s,2022-06-12T13:26:54Z
_GMStoYiuYs,How Do I Stay as Awareness and Interact with the World?,24m 39s,2022-05-21T12:25:56Z
gV81TgfZZX8,Chant Sahaja! ~ Live Kirtan & Sacred Chants (Now on Mooji TV & YouTube),2m 6s,2022-05-13T13:58:18Z
rA4H-S6y5jk,A Holy Life – Glory to God,11m 46s,2022-05-08T14:40:38Z
DTdWvp-R6vg,The Supreme Lord Is Inside Your Heart — Happy Easter!,6m 15s,2022-04-18T21:29:41Z
nKmT-MZMzuM,An Invitation to Freedom ~ Monte Sahaja 2022,23m 31s,2022-04-11T15:41:18Z
WLQvr4wEwXk,Rise Up to the Highest Within Us — A Message for Peace,20m 44s,2022-03-05T21:40:57Z
j3vUMhY-MR8,Stay in the Glory of the Invitation and All These Questions Dissolve,2h 17m 10s,2022-02-26T22:37:08Z
eW3EVZCEjPw,Practical Guidance: From Person to Presence,13m 28s,2022-02-21T14:13:50Z
UhiEGzoqVZk,Sangha Sharings — Gratitude for Moojibaba,3m 1s,2022-01-29T10:12:13Z
YmX06rKLDXo,From Beginning-less Time I Have Always Been Free ~ Guided Meditation in Honour of Thich Nhat Hanh,1h 7m 56s,2022-01-22T13:15:44Z
goOkrjHP6uE,Be the Calm in the Storm,16m 12s,2022-01-10T09:40:34Z
lHr3PVh2O8w,A Great Peace Is Here Without Arriving ~ Christmas Sitting with Mooji,1h 4m 54s,2021-12-25T11:21:21Z
AZFBsMuNKVY,Mooji on Forgiveness — Let It Go and Be Free,37m 26s,2021-12-13T16:29:29Z
VUkIMBaWha0,I Am — Effortless Being,7m 29s,2021-11-22T16:35:08Z
cEO1hYlCMFg,When Mind Storm Comes Welcome and Transcend,6m 44s,2021-11-08T15:27:37Z
YmR3oR4yeGg,Take One Minute to Discover the Timeless,18m 15s,2021-10-24T12:17:16Z
sOtwRw-iAHs,Papaji Jayanti Day ~ The Heart of Awareness (Silent Sitting with Mooji),59m 57s,2021-10-13T10:38:59Z
GMZa7MiSMc4,Free of Intention True Life Unfolds,9m 48s,2021-10-02T10:19:17Z
ZmgQW8okUeo,The Timeless Now,41m 36s,2021-09-17T14:41:41Z
ucmwNbwa5gU,Discover the Difference Between Your Self and Your Mind,12m 4s,2021-09-06T16:40:12Z
3DcxBZ8uiQs,I'm Giving You a Big Secret — Don't Fight the Mind!,11m 11s,2021-08-14T13:45:03Z
jTvg_bABiDs,Beyond the Clouds of the Mind — This Is the Highest Way I Can Be With You,1h 8m 21s,2021-08-08T14:38:10Z
RZQHlgzzFcA,Stand With the Sages,2m 51s,2021-07-30T17:19:25Z
_ZScYFiXGOA,What is the Purpose of Spiritual Practice?,3m 22s,2021-07-19T17:01:56Z
I1X8skWXXRk,Stay As the Witness and Everything Becomes Smooth and Clear,12m 22s,2021-07-06T13:05:26Z
M3fU-4zmC78,It's Okay,10m 30s,2021-06-23T10:08:21Z
yGM2XBE3tbY,What Is Our True Self? — Let’s Find Out,12m 48s,2021-06-11T10:19:05Z
nT0VJH9cpEk,*FULL SONG* ~ NEW MUSIC ALBUM ~ SHUNYAM BY RADHA ~ Twameva Mata Cha Pita Twameva,6m 47s,2021-05-28T14:47:53Z
lwcRdzVoA3o,Jai Sahaja! Live Bhajans for Peace & Well-being – Full Concert,1h 37m 17s,2021-05-23T16:23:11Z
wAHYsZtsxoQ,Chant Sahaja ~ Peace and Well-Being Concert,1h 21m 31s,2021-05-16T14:43:48Z
KcBujwXvGC8,Simple Guidance for Anyone Struggling With the Mind,25m 9s,2021-05-16T09:05:07Z
8KcOwEj_9EE,Guided Meditation — Seeing Without Eyes Knowing Without Mind,10m 47s,2021-05-09T08:51:34Z
Vqa-_XbmF5g,Krishnabai & Jai Sahaja! — Sita Ram,8m 13s,2021-05-06T17:49:48Z
FtfyKrMgIko,Message for Indian Sangha from Mooji,21m 31s,2021-05-06T12:36:48Z
atO-aey2MLs,Remember These Words — Don't Take Shape,20m 46s,2021-05-02T08:29:06Z
uHlWhqEyW-E,Openness — The First Step in Spirituality,6m 37s,2021-04-25T08:59:34Z
N6KY7n45gMU,Sanoja – Maha Mantra,6m 18s,2021-04-22T17:31:29Z
iOoFlv3z8z0,The Bridge Between Maya and Freedom Is the Mind,21m 38s,2021-04-18T08:28:41Z
fqJ5uE0kLu4,Gotama – Mere Gurudev,4m 15s,2021-04-15T14:00:09Z
hbjn0F3Av04,“I Am” – This Is Going to Be an Amazing Beginning to Your Discovery,22m 23s,2021-04-11T09:09:22Z
k44caerpdZk,Nitya – Durga Mantra,6m 24s,2021-04-08T14:00:12Z
ZTzBj5wRSKk,The Parable of the Sower and the Seed — As told by Mooji ~ Illustrated by Mukti,11m 3s,2021-04-04T09:01:18Z
-cbGa23G4AE,Omkara & Gotama – Come to Life,6m 26s,2021-04-03T17:42:41Z
BPbIg8VUmXY,This Is Your Escape Button from the Mind,23m 51s,2021-03-28T09:13:17Z
3TwJlfr6w_k,Today Meet Shiva Inside Your Own Self,1h 34m 40s,2021-03-21T10:00:21Z
8vMEoPgg-PE,You Are Life Itself — Guided Meditation with Mooji,16m 19s,2021-03-14T09:57:39Z
la1svxBdbxo,Jai Sahaja! – Chanting for Shiva (One Mantra Festival) – Full Concert,55m 13s,2021-03-13T12:41:24Z
soi4ivYEYKM,This Is Not True! — A Simple and Profound Exercise,6m 4s,2021-03-07T08:49:43Z
dq9nWHN3y70,Omkara & Jai Sahaja! – Ganapati Om,8m,2021-03-05T17:46:30Z
TL1dobRmW1w,What Is the Best Way to Start the Day?,5m 13s,2021-02-28T09:45:09Z
JlZ8C88p1qk,Prem Leela – White Fire,7m 11s,2021-02-25T15:34:46Z
ib1D48p0ke0,Moojibaba's Notebook Readings — Part 3,24m 5s,2021-02-21T09:58:00Z
7SacOKVzalA,Sangita – Duppy In the House (new single),4m 37s,2021-02-18T16:28:11Z
LTNmWOfmeRM,Look Discover and Be — This Is the Power of Satsang,43m 9s,2021-02-14T09:54:56Z
HTQQ18XC2jA,Tara – Love of God,5m 25s,2021-02-09T17:28:49Z
yAnYqXLUf8M,Your True Nature Is Happiness,5m 32s,2021-02-07T09:49:58Z
KXKjlCltQUs,A Simple Yet Profound Exercise: 'I'-Watching,11m 29s,2021-01-31T10:47:36Z
Qi156c94uuY,Bholenath & Jai Sahaja! – Moojibaba Ki Jai,12m 30s,2021-01-29T16:02:10Z
UbSiCgbB5YM,Start by Saying Thank You,6m 25s,2021-01-24T09:09:52Z
1PS29a9d4Io,Krishnabai & Jai Sahaja! – Hare Krishna (Papaji Jayanti Bhajans),9m 1s,2021-01-19T21:44:26Z
pF0FVXILVbc,Discover Your Natural Self and Overcome the Mind,14m 48s,2021-01-17T10:00:58Z
uR98DMz00gA,Shivali – Zero Baby! (new single),2m 47s,2021-01-13T17:09:41Z
ZX7wFiu2_U0,See With the Eyes of Consciousness,33m 43s,2021-01-10T10:06:11Z
F2qhn3V0UBw,Chant Sahaja – Chanting for Sri Ramana Maharshi (from the 'One Mantra Festival' broadcast),57m 7s,2021-01-04T17:40:12Z
HbZnL6mTtLA,Peace Begins With You,21m 32s,2021-01-03T10:02:25Z
PN29NhBTCrA,This Is the Peace of Christ The Love of God ~ Guided Meditation with Mooji on Christmas Day,1h 1m 25s,2020-12-25T12:28:36Z
YqbcqTr46bA,Shivali & Prem – Angels from the Realms of Glory,4m 53s,2020-12-22T17:40:37Z
Jfa30xjCjhg,An Invitation to the Greatest Discovery,30m 24s,2020-12-20T10:19:16Z
hUNra5Gj2lI,Omkara & Gotama – O Heart of Hearts,5m 4s,2020-12-17T12:50:51Z
MwXPgRr7BqY,Moojibaba's Notebook Readings — Part 2,13m 29s,2020-12-13T09:59:24Z
DUExXVkvxX4,Omkara & Gotama — Let Our Name Be Amen from the New Music Album 'Amen',5m 35s,2020-12-11T16:56:13Z
S6t-r0eYA7g,Ananda & Gurdeep – Heer,6m,2020-12-08T16:58:37Z
ekqzD-qmw24,What Is This Life About?,6m 39s,2020-12-06T10:02:40Z
YCm5VAEh1NY,Three Easy Ways to Overcome Fear and Anxiety,15m 38s,2020-11-29T09:54:35Z
czdq9kwyqbI,Know Thyself — This Is the Highest Knowledge,18m 48s,2020-11-22T09:37:43Z
