"Video ID",Title,Length,Published
Q7_uDhJq4G0,"2022 Year End AMA","1h 1m 59s","2022-12-19T22:09:14Z"
eyn7MusdQ9g,"How Can Matter Be BOTH Liquid AND Gas?","21m 17s","2022-12-14T21:15:02Z"
le_ORQZzkmE,"How Are Quasiparticles Different From Particles?","16m 43s","2022-12-08T22:28:33Z"
"CtmBZ-S2R30","How To See Black Holes By Catching Neutrinos","18m 45s","2022-11-23T20:45:00Z"
prvXCuEA1lw,"Are there Undiscovered Elements Beyond The Periodic Table?","20m 57s","2022-11-16T22:12:41Z"
uTrFAY3LUNw,"What If Humanity Is Among The First Spacefaring Civilizations?","20m 50s","2022-11-09T21:15:00Z"
US7fEkBsy4A,"Why Did Quantum Entanglement Win the Nobel Prize in Physics?","20m 33s","2022-10-26T20:15:02Z"
PHiyQID7SBs,"The Equation That Explains (Nearly) Everything!","16m 43s","2022-10-19T20:15:00Z"
4d0EGIt1SPc,"The REAL Possibility of Mapping Alien Planets!","21m 15s","2022-10-12T20:15:00Z"
RCSSgxV9qNw,"Why Is 1/137 One of the Greatest Unsolved Problems In Physics?","15m 38s","2022-09-28T20:15:01Z"
"kw-Rs6I2H5s","Science of the James Webb Telescope Explained!","18m 4s","2022-09-21T20:30:03Z"
z2yLMY6Mpw8,"Could the Higgs Boson Lead Us to Dark Matter?","14m 31s","2022-09-14T20:15:00Z"
y1px8hBl7zg,"What Makes The Strong Force Strong?","21m 37s","2022-08-24T20:08:35Z"
WfSZutedqIQ,"What If Dark Energy is a New Quantum Field?","16m 19s","2022-08-17T20:15:02Z"
WZfmG_h5Oyg,"What Happens Inside a Proton?","20m 16s","2022-08-03T20:15:03Z"
184eP_KuXek,"How Many States Of Matter Are There?","14m 12s","2022-07-27T20:15:00Z"
"JnKzt6Xq-w4","What If We Live in a Superdeterministic Universe?","18m 53s","2022-07-20T20:15:00Z"
rQnNghhPw6o,"Could We Decode Alien Physics?","19m 28s","2022-06-30T20:15:01Z"
wdP_UDSsuro,"Is Interstellar Travel Impossible?","20m 34s","2022-06-22T20:18:55Z"
epSev7ovVew,"Have We SOLVED The Black Hole Information Paradox with Wormholes?","14m 22s","2022-06-15T18:45:03Z"
"v-aP1J-BdvE","What If Physics IS NOT Describing Reality?","18m 51s","2022-06-01T20:12:31Z"
e3jGWXeBtPo,"The Evolution of the Modern Milky Way Galaxy","20m 30s","2022-05-25T20:17:50Z"
v4ogRCjhFDM,"What If the Galactic Habitable Zone LIMITS Intelligent Life?","15m 6s","2022-05-18T19:00:27Z"
bUHZ2k9DYHY,"Space DOES NOT Expand Everywhere","17m 32s","2022-05-04T20:15:02Z"
G0Q4UAiKacw,"How the Higgs Mechanism Give Things Mass","18m 4s","2022-04-27T20:15:00Z"
I8p1yqnuk8Y,"Does the Universe Create Itself?","18m 44s","2022-04-20T20:15:00Z"
jeRgFqbBM5E,"Could The Universe Be Inside A Black Hole?","13m 1s","2022-03-30T21:06:36Z"
BOLHtIWLkHg,"Where Is The Center of The Universe?","19m 15s","2022-03-23T20:15:00Z"
esayi49OAk4,"What If Charge is NOT Fundamental?","15m 44s","2022-03-16T20:15:00Z"
"LHhFFfv20-4","Is the Proxima System Our Best Hope For Another Earth?","21m 22s","2022-03-08T21:15:00Z"
Thw43hzXlDA,"Are Cosmic Strings Cracks in the Universe?","15m 55s","2022-02-23T20:45:02Z"
FP6iyVJ70OU,"Is The Wave Function The Building Block of Reality?","20m 16s","2022-02-16T21:15:00Z"
twvj9os9DLE,"The Nature of Space and Time AMA","39m 34s","2022-02-10T23:27:31Z"
cDQZXvplXKA,"How Does Gravity Escape A Black Hole?","18m 14s","2022-01-27T20:45:02Z"
"D-wzdsSiemU","How To Build The Universe in a Computer","13m 25s","2022-01-19T21:15:00Z"
55c9wkNmfn0,"How To Simulate The Universe With DFT","20m 53s","2022-01-12T20:45:00Z"
6mJXv5OBel8,"How to Find ALIEN Dyson Spheres","14m 42s","2021-12-29T21:15:01Z"
AK44wAvv2E4,"What Happens If A Black Hole Hits Earth?","20m 26s","2021-12-20T21:15:01Z"
X5r36VCrA_w,"2021 End of Year AMA!","36m 39s","2021-12-10T21:41:57Z"
351JCOvKcYw,"Are Black Holes Actually Fuzzballs?","16m 29s","2021-11-17T21:15:00Z"
0sTBZ2G4vow,"What If Our Understanding of Gravity Is Wrong?","18m 28s","2021-11-10T21:15:00Z"
Q_CQDSlmboA,"Is ACTION The Most Fundamental Property in Physics?","19m 40s","2021-11-02T20:15:01Z"
hYc97J2MZIo,"Will Constructor Theory REWRITE Physics?","16m 19s","2021-10-20T20:15:00Z"
iDIcydiQOhc,"New Results in Quantum Tunneling vs. The Speed of Light","17m 31s","2021-10-13T20:15:00Z"
dw1sekg6SUY,"Why Magnetic Monopoles SHOULD Exist","18m 27s","2021-10-05T20:15:01Z"
EK_6OzZAh5k,"How Electron Spin Makes Matter Possible","19m 29s","2021-09-21T20:15:00Z"
1Ou1MckZHTA,"Neutron Stars: The Most Extreme Objects in the Universe","14m 15s","2021-09-15T20:15:01Z"
I9y62qoTsic,"First Detection of Light from Behind a Black Hole","17m 13s","2021-09-07T20:15:01Z"
gc4pxTjii9c,"How Vacuum Decay Would Destroy The Universe","13m 15s","2021-08-18T20:15:01Z"
IEDSAheh8Os,"How to Communicate Across the Quantum Multiverse","19m 1s","2021-08-10T20:15:00Z"
QLSIZg0npuA,"How An Extreme New Star Could Change All Cosmology","18m 46s","2021-08-03T20:15:01Z"
_H4xrVzd65Q,"How Magnetism Shapes The Universe","19m 4s","2021-07-21T20:23:44Z"
"z-syaCoqkZA","Where Are The Worlds In Many Worlds?","13m 3s","2021-07-13T20:15:01Z"
pWlk1gLkF2Y,"Electrons DO NOT Spin","18m 10s","2021-07-07T20:15:01Z"
"vgYQglmYU-8","How Quantum Entanglement Creates Entropy","19m 36s","2021-06-23T20:15:01Z"
