"Video ID",Title,Length,Published
Yy3X0GAOxxw,"Goal Kylian MBAPPE (47' - PSG) PARIS SAINT-GERMAIN - AS SAINT-ÉTIENNE (3-1) 21/22","1m 41s","2022-02-27T23:59:59Z"
aI5IcN1_OsQ,"Summer Tears","3m 5s","2022-02-22T20:14:34Z"
Pol8VaL43go,"HIGHLIGHTS | PSG 1 - 0 REAL MADRID | Mbappé ⚽️","1m 36s","2022-02-17T23:01:53Z"
BmuzuLfYGJI,"Kylian Mbappe 94' Minute Game Winner | PSG 1-0 Real Madrid | CBS Sports Golazo","1m 23s","2022-02-15T22:10:49Z"
jsMM7TByL60,"Goal Kylian MBAPPE (90' +4 - PSG) PARIS SAINT-GERMAIN - STADE RENNAIS FC (1-0) 21/22","1m 38s","2022-02-13T23:13:20Z"
_4cXivCE7AI,"Kylian Mbappé Scoring Ridiculous Goals","6m 52s","2022-02-07T14:59:07Z"
4a5gjQPlNSE,"Kylian Mbappé All 51 Goals 2021","8m 31s","2021-12-21T18:00:39Z"
GrenokucwbM,"Kylian Mbappe scores FOUR goals as France qualifies | World Cup Qualifying Highlights | ESPN FC","6m 22s","2021-11-13T22:40:08Z"
xew6WQkTbpE,"Kylian Mbappé All 42 Goals 2020/21","7m 50s","2021-05-24T20:29:37Z"
CYiUQj7S3iQ,"Goal Kylian MBAPPE (15' - PARIS SAINT-GERMAIN) OLYMPIQUE LYONNAIS - PARIS SAINT-GERMAIN (2-4) 20/21","1m 55s","2021-03-22T00:37:10Z"
De5zXoiHVkg,"Kylian Mbappé Beautiful Skills & Goals 2021","8m 21s","2021-02-11T14:04:10Z"
idLt1zL5rnE,"Kylian Mbappe - TOP 10 GOALS","2m 45s","2019-09-10T08:20:37Z"
e6Cekv5rkBA,"Kylian Mbappé - All 100 Career Goals","11m 7s","2019-06-11T22:28:05Z"
