"Video ID",Title,Length,Published
XEjYCPiQnoE,"HIGHLIGHTS | BREST 1 - 2 PSG I SOLER & MBAPPÉ ⚽️","1m 40s","2023-03-12T23:00:14Z"
"olexU-KElN4","HIGHLIGHTS | PSG 4-2 NANTES I MESSI, DANILO & MBAPPÉ ⚽️","1m 40s","2023-03-05T23:00:30Z"
NHCUHl6dXLE,"The BEST IMAGES from February's Matches","3m 15s","2023-03-01T20:00:11Z"
0lN1X1xHGvk,"HIGHLIGHTS | MARSEILLE 0-3 PSG I MBAPPÉ & MESSI ⚽️","1m 38s","2023-02-26T23:42:07Z"
_ZaHcchgtjY,"Donnarumma's INCREDIBLE SAVES - The Italian Wall","3m 11s","2023-02-25T18:00:16Z"
"FPv_7-6n9zY","EPIC Last Minute Goals from PSG Players","3m 35s","2023-02-24T13:00:09Z"
"-VMw1bCrzCs","HIGHLIGHTS | PSG 0-1 Bayern I #UCL I #PSGFCB","2m 9s","2023-02-16T23:01:00Z"
xeFbuVE3xyg,"High Football-IQ Moments from PSG Players: Mbappé, Ibra, Ronaldinho 🤯","3m 26s","2023-02-16T17:14:01Z"
hLC0lCCxi_I,"HIGHLIGHTS | Monaco 3-1 PSG I ZAÏRE-EMERY ⚽️ I #Ligue1 I #ASMPSG","1m 39s","2023-02-12T23:01:00Z"
F1L2elkv87U,"Neymar Jr's LEFT Is As Good As His Right","3m 4s","2023-02-12T13:00:09Z"
J70TdBx99Mw,"Lionel Messi ➡ 10 Goals/10 Assists in Ligue 1","3m 7s","2023-02-10T20:00:06Z"
"dFXl-sj-lGc","Neymar Jr ➡ Best Brazilian Player in 2022","5m 28s","2023-02-09T19:00:26Z"
X6_Fo25n7F8,"HIGHLIGHTS | Marseille 2-1 PSG I RAMOS ⚽️ #CoupeDeFrance 🏆 #OMPSG","1m 39s","2023-02-09T13:23:54Z"
tIaXFTE9HBI,"HIGHLIGHTS | PSG 2-1 TOULOUSE I HAKIMI & MESSI ⚽️","1m 42s","2023-02-05T23:01:01Z"
oOgT1bbS0ZU,"STUNNING PSG strikes from distance","4m 52s","2023-02-02T20:00:27Z"
DbcNea21FaA,"HIGHLIGHTS | Montpellier 1 - 3 PSG I FABIAN RUIZ, MESSI, ZAÏRE-EMERY ⚽️","1m 40s","2023-02-01T23:17:09Z"
K1QCyzSR9wE,"The BEST IMAGES from January's Matches","3m 23s","2023-01-31T19:00:08Z"
YCgmJZGGBTs,"HIGHLIGHTS | PSG 1-1 Reims I NEYMAR JR ⚽️","1m 40s","2023-01-29T23:00:29Z"
"Ge-buB12PMQ","Achraf Hakimi ➡ 2022 Arab Sportsman of the Year","3m 42s","2023-01-26T14:00:11Z"
ebd71g7Nxh0,"MNM's best moments vs. Riyadh Season Team","8m 4s","2023-01-21T14:00:18Z"
Kh0WcK_lsZU,"HEART-WARMING moments vs. Riyadh Season Team","3m 6s","2023-01-20T20:00:05Z"
h6BRtAQZfNw,"HIGHLIGHTS | RIYADH SEASON TEAM 4-5 PSG I #PSGRiyadhSeasonTeam","10m 10s","2023-01-20T06:59:25Z"
"0-0r8wbLh2E","Warren Zaïre-Emery's Best Moments With the First-Team","3m 8s","2023-01-17T15:30:00Z"
XSo0mSunv2s,"HIGHLIGHTS | PSG 2-0 ANGERS I EKITIKE & MESSI ⚽️ #Ligue1 🏆 #PSGSCO","1m 40s","2023-01-11T23:14:41Z"
4xWecJdFe0s,"HIGHLIGHTS | Châteauroux 1-3 PSG I EKITIKE, SOLER & BERNAT ⚽️ #CoupeDeFrance 🏆 #LBCPSG","1m 33s","2023-01-06T23:53:21Z"
XcPty6Ayk4c,"HIGHLIGHTS | Lens 3-1 PSG I EKITIKE ⚽️","1m 40s","2023-01-02T23:00:13Z"
4k4hESzInMc,"HIGHLIGHTS | PSG 2-1 STRASBOURG I MARQUINHOS & MBAPPE ⚽️","1m 39s","2022-12-29T23:00:03Z"
agTkD_eLY8I,"Best SKILLS from Our Friendly 🆚 Quevilly-Rouen","3m 15s","2022-12-23T12:00:01Z"
"6Fva-cXFDSw","Mbappé x Messi: Dynamic Duo & World Cup Finalists 🏆","4m 39s","2022-12-17T13:00:02Z"
S7zJHg2GZAw,"PSG's Best Goals of the Year - 2022","3m 28s","2022-11-30T20:00:11Z"
GkwKDbGCf3w,"HIGHLIGHTS | LORIENT 1-2 PSG I NEYMAR JR & DANILO ⚽️","1m 41s","2022-11-06T23:00:07Z"
mjmxLusG4BM,"HIGHLIGHTS | JUVENTUS 1-2 PSG I MBAPPÉ & NUNO MENDES ⚽️","2m 8s","2022-11-03T23:01:00Z"
"-41JTjOc2uE","PSG will partake in their 11th consecutive UCL knockout campaign","3m 7s","2022-11-01T13:00:00Z"
g30zvIBWYrg,"HIGHLIGHTS | PSG 4-3 TROYES I SOLER, MESSI, NEYMAR JR & MBAPPÉ ⚽️","1m 40s","2022-10-30T23:01:00Z"
s6GAYQms744,"Most beautiful skills in SLOW MOTION! ❤️💙","3m 7s","2022-10-30T13:00:36Z"
"fooiKmSV-eY","HIGHLIGHTS | PSG 7-2 MACCABI HAIFA I LEO MESSI - KYLIAN MBAPPÉ - NEYMAR JR - CARLOS SOLER ⚽️","2m 11s","2022-10-27T22:00:19Z"
uI0K67d6Mto,"When Kids Meet Their Footballing Idols - Wholesome Moments","3m 37s","2022-10-26T18:00:20Z"
GUIvdmoItn8,"HIGHLIGHTS | AJACCIO 0-3 PSG I KYLIAN MBAPPÉ (2) & LEO MESSI (1) ⚽️","1m 32s","2022-10-23T22:00:08Z"
"9OC-tg2G30M","Best PSG Skills This Week - EP 7 🔴🔵","3m 4s","2022-10-23T12:00:07Z"
xyGaKsfaJs4,"The Best Moments from PSG vs. Marseille as Seen from Pitchside 🔴🔵","5m 15s","2022-10-19T18:00:22Z"
3bByBrubwH0,"HIGHLIGHTS | PSG 1-0 MARSEILLE I NEYMAR JR ⚽️","1m 40s","2022-10-16T22:00:41Z"
a43nlHH02WQ,"HIGHLIGHTS | PSG 1-1 BENFICA I MBAPPE ⚽️","1m 53s","2022-10-13T22:00:01Z"
lEIDuUeQf7s,"HIGHLIGHTS | REIMS 0-0 PSG","1m 32s","2022-10-09T22:01:00Z"
6AHgFK5rNbw,"HIGHLIGHTS | BENFICA 1-1 PSG | MESSI ⚽️","2m 16s","2022-10-06T22:00:06Z"
RfeSdIRGp0M,"HIGHLIGHTS | PSG 2-1 NICE | MESSI ⚽️ MBAPPE ⚽️","1m 39s","2022-10-02T22:02:00Z"
3DkA1HTaM34,"HIGHLIGHTS | Lyon 0-1 PSG | MESSI ⚽️","1m 39s","2022-09-18T22:01:00Z"
hfnDGYXFpV4,"Leo Messi - Best Dribbles So Far in 2022/2023 🔴🔵","3m 17s","2022-09-16T18:00:13Z"
N0V3i7D4YlU,"HIGHLIGHTS | Haïfa 1-3 PSG | MESSI, MBAPPÉ & NEYMAR JR ⚽️","1m 41s","2022-09-15T22:00:20Z"
bqptUpf5uIc,"HIGHLIGHTS | PSG 1-0 Brest | NEYMAR JR ⚽️","1m 39s","2022-09-11T22:02:00Z"
"zhGE1-khmBc","HIGHLIGHTS | PSG 2-1 Juventus | MBAPPÉ ⚽️","1m 36s","2022-09-08T22:01:00Z"
