"Video ID",Title,Length,Published
PaewZEe806k,"The Universe: Hostile Worlds of Mercury & Venus (S1, E7) | Full Episode","44m 25s","2023-02-10T23:00:24Z"
s_W5O8exzyk,"Who Is the Zodiac Killer? | History's Greatest Mysteries | #Shorts",59s,"2023-02-10T22:00:32Z"
NdYw_r0gHko,"Hunting for the Zodiac Killer | History's Greatest Mysteries (Season 4)","11m 16s","2023-02-10T19:00:09Z"
DPU4aWRYMP4,"Swamp People: Pickle's SECRET Weapon Catches a HUGE Gator (Season 14)","7m 30s","2023-02-10T17:00:14Z"
V_YZPn2B9Y4,"The $100 MILLION Diamond Heist | #Shorts | History's Greatest Heists With Pierce Brosnan",59s,"2023-02-09T22:00:26Z"
eC7DLS2tYWw,"Where Did the Moon REALLY Come From? | Ancient Aliens","4m 14s","2023-02-09T21:00:17Z"
"FDIhoG4-P6E","$100 MILLION DIAMOND HEIST | History's Greatest Heists with Pierce Brosnan (Season 1)","12m 12s","2023-02-09T19:00:09Z"
_omQ841ZAWg,"The Montgomery Bus Boycott of 1955 | Black American Heroes","5m 33s","2023-02-09T17:00:34Z"
qByL2JEHle0,"Chief Tecumseh Leads War Against U.S. | The Men Who Built America: Frontiersmen (S1, E3)","1h 24m 45s","2023-02-09T01:00:20Z"
"IX6vV8P-tyo","Jerusalem: The Key to the Apocalypse | Cities Of The Underworld (S2, E1) | Full Episode","43m 2s","2023-02-08T23:00:10Z"
DwgNXBkWo6M,"Beyond Oak Island: Treasures Worth Their Weight in GOLD (Season 3)","8m 50s","2023-02-08T22:00:14Z"
qIlLHyoCWyM,"LeBron & Kareem: High-Scoring, High-Flying Items | Pawn Stars","21m 2s","2023-02-08T21:00:23Z"
xiAY4UJfplI,"COLOSSEUM: The Rise and Fall of the Roman Empire *Marathon*","1h 7m 29s","2023-02-08T20:00:17Z"
UP9yTbdPATE,"Ancient Aliens: The Mysteries of Mars (S7, E5) | Full Episode","44m 18s","2023-02-08T01:00:19Z"
fvFYEQbgXP0,"The Rat Pack | 10 Things You Don't Know About (S1, E12) | Full Episode","21m 51s","2023-02-07T23:00:27Z"
"bXyyVLVKz-I","TOP 3 GOATED STADIUMS | History's Greatest of All Time with Peyton Manning","11m 8s","2023-02-07T22:00:14Z"
SwpQWqpXnrE,"The Curse of Oak Island: UNBELIEVABLE Knights Templar Discovery (Season 10)","10m 4s","2023-02-07T20:00:07Z"
4o5TBpPBm5o,"Plane BARREL ROLLS in Extreme Winds | The Proof Is Out There: Bermuda Triangle Edition (S1)","4m 33s","2023-02-07T19:00:03Z"
"RLTSteP_-oI","Hunting Hitler: Secret German Tunnels in Spanish Islands (S1, E6) | Full Episode","43m 27s","2023-02-06T23:00:31Z"
gY_AUHCpVuw,"Life After People: Chicago River Floods ENTIRE City (Season 1)","7m 25s","2023-02-06T19:00:17Z"
PPI2s_SwjM8,"Stadium Smackdown | Feb. 6 Sneak Peek | History's Greatest of All Time with Peyton Manning | History","1m 36s","2023-02-06T17:00:13Z"
vESGIpqe0fw,"Ancient Peruvian Warriors Explained | Digging For The Truth (S4, E1) | Full Episode","43m 42s","2023-02-05T23:00:33Z"
"OuO9IyL9-9w","The UnXplained: Volcano Causes Year of DEVASTATING Darkness (Season 4)","6m 8s","2023-02-05T21:00:08Z"
sR6s2q8ajvM,"American Pickers: ORIGINAL Volkswagen Bus in 1920s Shipyard (Season 21)","4m 38s","2023-02-05T19:00:30Z"
3Hi5DbWMME8,"Pyramids: Majesty And Mystery | Modern Marvels (S2, E29) | Full Episode","44m 42s","2023-02-04T23:00:04Z"
g3L9PsGQw60,"Ancient Aliens: Intergalactic Mystery Baffles Scientists","7m 45s","2023-02-04T21:00:22Z"
KeR25oSJSGo,"Top 6 AMAZING Mysteries of China | The Proof Is Out There","25m 44s","2023-02-04T19:00:08Z"
"21GF-Tl1yBQ","Swamp People: Serpent Invasion: VICIOUS Pythons Destroy Baby Turtle's Nests (Season 3)","7m 10s","2023-02-04T17:00:01Z"
5Hf4MIIlTNs,"The Curse of Oak Island: Strange Wooden Casks on Mysterious Road (S8, E15) | Full Episode","42m 11s","2023-02-04T01:00:02Z"
E504kvA3eRY,"The Universe: Mysterious Liquid Planets (S4, E9) | Full Episode","45m 24s","2023-02-03T23:00:11Z"
0Af6pSSk2F4,"Loch Ness Monster Conspiracy EXPOSED | History's Greatest Mysteries (Season 4)","8m 53s","2023-02-03T21:00:00Z"
pAEmqicUEDY,"Swamp People: ""GATORS AREN'T THE ONLY THREAT"" Dangerous Swamp Hunt (Season 14)","6m 30s","2023-02-03T19:00:22Z"
GX5bZvuD6kE,"African Tribe's SHOCKING Origin Story in the Stars | Ancient Aliens (Season 1)","6m 23s","2023-02-02T21:00:08Z"
BOXCd7Lt0IY,"America's First All-Black Military Unit | Black American Heroes","8m 9s","2023-02-02T19:00:03Z"
kBs8W7OeNAU,"Native Americans Battle Pioneers | The Men Who Built America: Frontiersmen (S1, E2) | Full Episode","1h 20m 22s","2023-02-02T01:00:29Z"
j4yFvXql2YA,"Rome: The Rise | Cities Of The Underworld (S1, E14) | Full Episode","42m 57s","2023-02-01T23:00:22Z"
xFBB7HJmPMA,"U.S. Warships Are SWARMED By UFO’s | Ancient Aliens | #Shorts",59s,"2023-02-01T22:00:21Z"
tThnEmuj8NQ,"Beyond Oak Island: MONUMENTAL DISCOVERY Found off the Coast of Cape Cod (Season 3)","6m 13s","2023-02-01T21:00:32Z"
