##2010
t1kFiehGh9s,Baby Turtle Swimming Frenzy | Nat Geo Wild,3m 51s,2010-12-30T18:12:25Z
yiaIhDUgRyU,The Bite of the Bull | Nat Geo Wild,4m 3s,2010-12-28T16:29:25Z
Nxws4mtLp14,Chicken Bandit | Swamp Men,2m 11s,2010-12-27T16:20:26Z
-VCJ1ybkjnA,Chimp Culture | Nat Geo Wild,2m 53s,2010-12-23T16:59:21Z
BbW9NQykiOM,Cause an Uproar | Nat Geo Wild,1m 38s,2010-12-22T21:51:34Z
DaqaX7UNi0E,Torturing Sharks for Soup | Nat Geo Wild,3m 4s,2010-12-22T16:55:33Z
o__WuXUL8S8,Skewered By Sawfish | Nat Geo Wild,4m 10s,2010-12-21T16:59:37Z
Lz2knFrqWnY,Frog Leg Eating Contest | Swamp Men,4m 26s,2010-12-20T17:17:41Z
z3Hs6MAf7OE,Menacing Jaws | Nat Geo Wild,3m 28s,2010-12-15T20:10:31Z
kGjN-pcJV6M,Ed's Chickens | Swamp Men,4m 43s,2010-12-15T20:07:46Z
-8pGa7lqgjw,Rescuing Baby Alligators | Swamp Men,4m 57s,2010-12-13T16:35:02Z
uyYIujuhD1o,Cause an Uproar - Lions | Big Cat Week,16s,2010-12-09T18:46:18Z
ch1MO26_kI0,Cause an Uproar - Leopards | Big Cat Week,16s,2010-12-09T18:34:31Z
BH60Utu0qQ0,Cause an Uproar - Tigers | Big Cat Week,16s,2010-12-09T18:33:08Z
mcQFZjldDrU,Cause an Uproar - Cheetahs | Big Cat Week,16s,2010-12-09T18:32:15Z
trPy7--LfLs,Cause an Uproar - Big Cats | Nat Geo Wild,31s,2010-12-09T17:36:56Z
MdACp4zsgXM,Hot Jungle Pursuit | Nat Geo Wild,3m 13s,2010-12-09T15:54:45Z
gaQXFBFk9DY,Tracking Wildcats | Nat Geo Wild,3m 34s,2010-12-08T18:03:21Z
qqC0HDDs6tc,Matin' and Fightin' | Nat Geo Wild,4m 23s,2010-12-07T17:02:35Z
O3w128bshJk,It's Croc Day! | Swamp Men,4m 14s,2010-12-06T16:22:46Z
-qZgEf8HqgU,Poor Mama Hippo! | Nat Geo Wild,2m 50s,2010-12-03T15:52:50Z
aSHCO5Qgkqc,Troop Ruler | Secret Worlds,3m 47s,2010-12-02T18:38:31Z
rg_2jHBcJLw,Gut-Busting Death | Explorer: Python vs. Gator,4m 27s,2010-12-01T23:09:54Z
bDmzrGalu4U,Watch Now! | Big Cat Week,16s,2010-11-30T20:51:57Z
Psi8SVE5c_U,Hunting City Hogs | Wild Nights: New Orleans,5m 11s,2010-11-30T18:15:21Z
4P36knVv6os,500 Stings are Fatal | Swamp Men,3m 13s,2010-11-29T21:21:11Z
8wvxSXhlSZQ,Girlfriend Kidnappers | Nat Geo Wild,4m 46s,2010-11-19T16:17:56Z
mcI7jAilNgE,Massive Buffalo Takedown | Nat Geo Wild,3m 9s,2010-11-18T21:41:46Z
P48EppwwZ34,The Wounded Cub That Could | Big Cat Week,4m 52s,2010-11-18T21:39:05Z
iRaS9NFqAEc,Male Lions vs. Female Lions | Big Cat Week,4m 27s,2010-11-18T21:28:56Z
YHIat9jA_X0,Warrior Initiation | Big Cat Week,5m 50s,2010-11-18T21:28:19Z
px-MWE07t48,Leopard Kittens | Big Cat Week,4m 6s,2010-11-18T21:19:26Z
Kt2UXI2ru2E,The Great Warthog Escape | Nat Geo Wild,2m 33s,2010-11-18T15:51:27Z
D3y-Qkphklc,Millions of Pregnant Bats! | Nat Geo Wild,3m 17s,2010-11-18T01:45:11Z
i7hT5N6IH1w,Underwater Alien Planet | Nat Geo Wild,4m 52s,2010-11-16T19:31:23Z
T4dU7tmhUXo,Gelada Family Fued | Nat Geo Wild,2m 30s,2010-11-16T18:42:40Z
_CUHb07d3cM,On Needles and Pins | My Dog Ate What?,3m 58s,2010-11-12T16:09:35Z
93iCYB3U2tk,Cannibal Octopus | Nat Geo Wild,3m 26s,2010-11-11T18:03:35Z
z8QX-tYa-ss,Secrets of Ocean Photography | Nat Geo Wild,4m 24s,2010-11-10T16:21:47Z
aDB40CSKFCM,Untangle Tag and Release | Nat Geo Wild,2m 55s,2010-11-09T16:43:57Z
kIc3Yhi5F2o,Our First Sawfish! | Nat Geo Wild,3m 46s,2010-11-08T15:48:07Z
RlATnagbkPQ,Multiplying Gorillas | Nat Geo Wild,3m 31s,2010-11-05T14:38:43Z
Pn1pUcWY4wE,Acting Screwy | My Dog Ate What?,5m 2s,2010-11-04T15:39:36Z
8Q7Gm3wjMBk,Sea Snake Hunt | Nat Geo Wild,4m 55s,2010-11-03T17:02:15Z
iWMn9XzbtTs,Stone Fish Blues | Nat Geo Wild,3m 45s,2010-11-03T17:00:28Z
j5OmulCe4s4,The Dog Who Eats Tennis Balls | My Dog Ate What?,3m 43s,2010-10-27T15:32:00Z
