Video ID,Title,Length,Published,Region Restriction Count
Wpx1SwRBsQg,Camo the Peacock Gets Treated for Arthritis | Critter Fixers: Country Vets,4m 35s,2022-12-23T15:59:58Z
QQycoRwfth4,Just a turtle being a turtle. #PhotoArk #shorts,14s,2022-12-22T18:41:10Z
6BoLBO7aFx4,Amputating a Cat's Tail | Critter Fixers: Country Vets,4m 20s,2022-12-21T15:59:51Z
7BjfJdtL5nw,LIVE: Enjoy the Holidays with 12 Days of Dr. Pol! Watch Now | Nat Geo WILD | National Geographic,livestream,2022-12-20T17:59:46Z
_GGQxiQ5rd8,A young Peruvian spider monkey for your feed!🐒 #PhotoArk,9s,2022-12-20T16:00:16Z
kXPuDgabd2s,Meet Pikumche the guiña cat #shorts,7s,2022-12-17T16:00:17Z
CqB-q3aKFbs,A Grumpy Goose Gets a Spa Treatment | Critter Fixers: Country Vets,3m 53s,2022-12-16T15:59:49Z
Xclc-iM8ToM,Charlie the Cat Has A Cold | Critter Fixers: Country Vets,3m 15s,2022-12-14T15:59:55Z
n1uXOcEbUEk,Can these #cheetahs make a comeback? #shorts,23s,2022-12-13T16:00:31Z
HaIKzvoNeEU,A closer look at the mighty musk ox #shorts,30s,2022-12-12T18:00:07Z
VtZqhZOQGQg,Meet Maggie the Goat | Critter Fixers: Country Vets,4m 26s,2022-12-09T15:59:46Z
1SySUOBnQfI,Dogs v Cats (Full Episode) | Cesar Millan: Better Human Better Dog,44m 25s,2022-12-08T16:00:00Z
CY_Ml8pDFbw,Neutering a Coyote | Critter Fixers: Country Vets,5m 12s,2022-12-07T15:59:50Z
AERsSu12UXM,Owls for days! #shorts,12s,2022-12-06T16:45:00Z
jeC4yr7fQyc,A Miracle Moose and Doberman Puppy (Full Episode) | Dr. Oakley Yukon Vet,44m 25s,2022-12-05T16:00:30Z
TXL5JcjsK7U,How many legs did you count? #shorts,12s,2022-12-02T18:00:18Z
qTFNo0sQmO8,Knee Surgery for Gus the Dog | Critter Fixers: Country Vets,3m 21s,2022-12-02T15:59:50Z
aVRjDIVuWX0,No Squirrels for Milo | Critter Fixers: Country Vets,3m 26s,2022-11-30T15:59:47Z
osn1aW1vJek,Some adorable baby polar bears for your feed! #shorts,31s,2022-11-29T16:00:22Z
RQ9aGNZJBcU,May the Horse Be With You (Full Episode) | Heartland Docs DVM,44m 25s,2022-11-28T16:00:14Z
U6RetnVaxlM,Turkey Time with Ralph and Penny | Critter Fixers: Country Vets,3m 56s,2022-11-26T15:59:49Z
oHeGkt861do,Feel the chill in the air? ❄️ #PolarBear #shorts,27s,2022-11-25T23:00:35Z
PopwVLHrkEQ,A Giraffe is Born (Full Episode) | Secrets of the Zoo,44m 25s,2022-11-25T16:00:21Z
_IEFBwIRDRQ,Monty the Axolotl Gets a Helping Hand | Critter Fixers: Country Vets,3m 51s,2022-11-23T15:59:48Z
bXMivHP20tI,Noted: Do not challenge a bison to a footrace. #shorts,30s,2022-11-22T16:00:31Z
Q4oIqU_QKqM,Hump Day (Full Episode) | Critter Fixers,44m 25s,2022-11-21T16:00:24Z
FAR-REH9C5s,Building Trust with Todd | Cesar Millan: Better Human Better Dog,4m 39s,2022-11-19T18:00:13Z
SafLDPb5-E0,All about the epic jungle jaguar 🐆 #shorts,20s,2022-11-17T17:30:02Z
uwcWlvP3kdc,Millions of monarch butterflies take to the sky #shorts,20s,2022-11-16T17:02:27Z
PU8kSln8qJI,Baby bobcat cuteness overload 🥹 #shorts,30s,2022-11-15T17:02:04Z
aTy7_KfCoVM,Miss Milo the Guinea Pig | Critter Fixers: Country Vets,3m 18s,2022-11-15T15:59:51Z
WjlOFow8P7Q,Did you know? Bat 101 #shorts,38s,2022-11-14T17:00:18Z
QOlZiCIoBco,Vets for a Day (Full Episode) | Critter Fixers,44m 25s,2022-11-14T16:00:27Z
H28n3tVWuMw,Cannibalistic caterpillars #shorts,57s,2022-11-13T22:00:13Z
lVOlw2lstAc,A honeybee's secret power #shorts,1m,2022-11-12T22:01:29Z
tuAw7-9ZZeo,Meet Jaxx: Unleash the Hulk | Cesar Millan: Better Human Better Dog,5m 38s,2022-11-12T18:00:31Z
H5cZEkVCW3k,Giant Pacific Octopus 101 #shorts,29s,2022-11-11T22:00:10Z
WC6ulzUq47Q,A Polapalooza (Full Episode) | The Incredible Dr. Pol,1h 28m 33s,2022-11-11T16:00:31Z
24Fd4mNy0Bg,I'm just a baby!!! #shorts,34s,2022-11-10T22:03:12Z
QG7uCl5aG7w,Young humpback whale braves a long journey #shorts,33s,2022-11-09T22:00:12Z
FhZxZQkJwwY,The Trouble with Ollie | Cesar Millan: Better Human Better Dog,5m 23s,2022-11-09T21:00:07Z
u94S0ajU0fM,Epic animal powers #shorts,31s,2022-11-08T22:00:25Z
t-1-Lrxjxko,Lord of the Wings (Full Episode) | Heartland Docs DVM,44m 25s,2022-11-07T16:00:34Z
p9PhX3Guevc,This chick needs to leave #shorts,52s,2022-11-06T15:00:37Z
5_N21ZWCo-M,Elephant seals go head-to-head #shorts,33s,2022-11-05T14:00:03Z
gsqVo0pvFFY,Tortoise and the Hairless Cat (Full Episode) | Critter Fixers,44m 25s,2022-11-04T15:00:35Z
rF4m3BY9ZoU,Camouflaged stonefish goes for the kill #shorts,33s,2022-11-04T14:00:26Z
noqLpvn1Ojg,Tiny shrew devours its prey #shorts,32s,2022-11-03T14:00:21Z
6CcZLXO_TLE,Meet Sierra: Moving Forward | Cesar Millan: Better Human Better Dog,4m 54s,2022-11-02T18:00:03Z
HMfTZKrXRaY,A shark on the hunt #Sharks #Shorts,27s,2022-11-02T14:00:19Z
cKQ5Frh0faI,Thousands of baby river turtles hatch on the beach! #Turtles #BabyAnimals #shorts,35s,2022-11-01T15:45:01Z
XB0JkYO9B_8,Handling Hendrix: Guard of the Yard | Cesar Millan: Better Human Better Dog,4m 41s,2022-10-31T15:00:21Z
KHLQVQ0DHkQ,Raccoons Gone Wild (Full Episode) | Bandit Patrol,44m 25s,2022-10-30T12:00:18Z
PNzIcakql60,Silent Biter: Meet Freddie | Cesar Millan: Better Human Better Dog,2m 19s,2022-10-28T15:00:16Z
rxHABWblJ-U,Croc Coast (Full Episode) | Florida Untamed,44m 24s,2022-10-27T12:00:41Z
IAT_igLQAb8,Meeting Zoe the Chihuahua | Cesar Millan: Better Human Better Dog,3m 22s,2022-10-25T17:00:19Z
b18w5MOMgsU,How this lizard breathes underwater #shorts,29s,2022-10-24T21:15:02Z
Gi3Y6_niYvw,Owl in the Family (Full Episode) | Bandit Patrol,44m 25s,2022-10-23T12:00:17Z
T9mAEytnFWs,Assessing Molly's Eyes | Cesar Millan: Better Human Better Dog,4m 18s,2022-10-21T15:00:17Z
ZmW3lLChNkg,Gator Country (Full Episode) | Florida Untamed,44m 26s,2022-10-20T12:00:20Z
s_WBvuTXJ2M,Elephant herd protects newborn from danger #shorts,41s,2022-10-19T20:00:22Z
P6kd9Zqw9Xk,A frog mom gives the gift of poison #shorts,46s,2022-10-17T20:00:11Z
E3y2qYcr8Cs,Dog Therapy Stampede | Cesar Millan: Better Human Better Dog,4m 47s,2022-10-17T15:00:12Z
M6JFKDrg9bs,Vicious Little Mink (Full Episode) | Bandit Patrol,44m 25s,2022-10-16T12:00:22Z
FIEehp7WVSI,Man V. Lion | Full Episode,44m 27s,2022-10-13T12:00:16Z
MkOOmvDMpmY,Flying squirrels that glow in the dark #shorts,28s,2022-10-12T19:00:14Z
7NXhALGWFGw,Stranded Giraffe Gets a Ride on The Giraft | Saving Giraffes: The Long Journey Home | Nat Geo Wild,1m 53s,2022-10-11T14:59:47Z
OZf2mkWvtxg,Birds that backflip #shorts,27s,2022-10-10T23:45:00Z
DTSW2G5eGw8,Red Hawk Down (Full Episode) | Bandit Patrol,44m 25s,2022-10-09T12:00:11Z
VklhdzQEJrU,Lost in the Woods (Full Episode) | Trackers,44m 25s,2022-10-06T12:00:19Z
kduf0xH-6bU,Capturing the Goshawk #shorts,58s,2022-10-05T21:00:21Z
0pjdkfQ6rYA,An underwater duel for dominance #shorts,30s,2022-10-05T18:34:54Z
Eu-w5GyYLnc,Welcoming Giraffes Back to the Homeland | Saving Giraffes: The Long Journey Home | Nat Geo Wild,3m 8s,2022-10-05T14:59:51Z
4ABz55q8NvE,Canine Quarantine (Full Episode) | Cesar Millan: Better Human Better Dog,44m 25s,2022-10-04T12:00:02Z
nppBGCuv2cM,The Bald and the Beautiful (Full Episode) | Bandit Patrol,44m 25s,2022-10-02T12:00:36Z
scuFSp1wjzI,A shrimp's secret weapon #shorts,1m 1s,2022-09-30T18:00:19Z
FBbXGqp0fwI,Finding Hope (Full Episode) | Trackers,44m 25s,2022-09-29T12:00:14Z
NyB4Y_35SJ4,Hungry polar bear goes for the kill #shorts,32s,2022-09-28T18:00:08Z
xk3u-yXY51U,Meet the African Jacanas #shorts,36s,2022-09-26T22:13:14Z
spZuRJ6HPw0,Bat in the Crack (Full Episode) | Bandit Patrol,44m 25s,2022-09-25T12:00:28Z
HsAxx81QlwY,Big Game of Thrones (Full Episode) | Savage Kingdom,1h 40m 23s,2022-09-24T15:00:21Z
eBDnpK5MzjA,Firework Frenzy (Full Episode) | Trackers,44m 25s,2022-09-22T12:00:33Z
FfoEwq0SDw0,Night of the Grizzly (Full Episode) | America the Wild,45m 27s,2022-09-18T12:00:11Z
5WIdIs3A9Ok,Jaguar vs. Croc | Full Episode,44m 25s,2022-09-15T12:00:06Z
6I2iMyCd_CY,Gator Country (Full Episode) | America the Wild,45m 27s,2022-09-11T12:00:05Z
HDT08lLd3Qw,A race against time... and an eagle 🦅 #shorts,1m 11s,2022-09-08T23:30:46Z
lxQIJNrzT8c,Orangs Raccoons & Cool Cats (Full Episode) | Everything You Didn't Know About Animals,44m 25s,2022-09-08T12:00:25Z
yTRajiJ3r1c,A view that'll leave you speechless 🦇 #shorts,16s,2022-09-07T20:12:04Z
F3yse7vTWrw,Super Moose (Full Episode) | America the Wild,45m 27s,2022-09-04T12:00:12Z
NsRqsv_pQiU,How the Calf Stole Christmas | Incredible Tales from Dr. Pol | Nat Geo WILD,5m 15s,2022-09-03T18:00:07Z
Vk8PMzhBlDA,Looks like a sunrise date and dancing is the way to go for these love birds! #shorts,43s,2022-09-02T19:00:04Z
ZoI1RaW27XA,Watch these black bears live it up as they enjoy dinner with a view! #shorts,36s,2022-09-01T18:00:12Z
GE12B-VOif8,Tigers Rhinos & Naked Mole Rats (Full Episode) | Everything You Didn't Know About Animals,44m 25s,2022-09-01T12:00:07Z
U_ib5gVaO90,Baby's all grown up but will he take the leap? #shorts,38s,2022-08-31T22:00:12Z
IG7hZaNb770,A day in the life: Roadrunner edition #shorts,46s,2022-08-30T23:32:47Z
pyYkM71plOk,Taking a moment to appreciate the cutest baby elk ever #shorts,34s,2022-08-29T22:26:16Z
nYCGx07CVYU,Mountain Lion vs. Bighorn (Full Episode) | America the Wild,45m 15s,2022-08-28T12:00:24Z
zdTp64LniwY,A Streetcar Named Pol | Incredible Tales from Dr. Pol | Nat Geo WILD,5m 15s,2022-08-27T18:00:17Z
NJ7TWVxg8oI,Pigs Wolves & Crows (Full Episode) | Everything You Didn't Know About Animals,44m 25s,2022-08-25T12:00:12Z
Qw6E0teDuKU,American Vampire (Full Episode) | America the Wild,45m 27s,2022-08-21T12:00:14Z
6buKYpwCLEw,Cow to Make it in America | Incredible Tales from Dr. Pol | Nat Geo WILD,5m 15s,2022-08-20T18:00:02Z
