##2022
RKZ2-zqxBXM,These Robots Will Change Our Homes Forever [4K] | Tech Effect | Spark,23m 36s,2022-09-23T17:00:15Z
m6x7SVwapUw,How Space Robots Shape The Future [4K] | Tech Effect | Spark,23m 26s,2022-08-26T17:00:34Z
-gdp_VyKr7I,The Robot That Defuses Bombs In Warzones And Cities [4K] | Combat Machines | Spark,44m 2s,2022-06-03T21:00:00Z
6QaG2L02QlM,Could Your Next Best Friend Be A Robot? [4K] | The Age of Robots | Spark,27m 38s,2022-04-29T21:00:04Z
udb_Emx3J2U,What Is The Future of Bionic Prosthetics? [4K] | The Age of Robots | Spark,26m 3s,2022-04-22T21:00:23Z
ISuAzZ7Jwnw,Why Robots Are Better Explorers Than Human Beings [4K] | The Age of Robots | Spark,27m 19s,2022-04-15T21:00:12Z
Kf2SALP5jWc,Meet The Robots Designed To Take Your Jobs [4K] | The Age of Robots | Spark,26m,2022-04-08T21:00:09Z
_tmwVz4T_5s,Biobots: The Scientists Building Robots Inspired By Nature's Design [4K] | The Age of Robots | Spark,25m 47s,2022-04-01T23:00:11Z
bcJn8mAzuLE,Can Humanity Ever Learn To Live With Robots? [4K] | The Age of Robots | Spark,25m 35s,2022-03-25T23:00:16Z

##2021
q8lJN5oJOss,How Robots Are Taking Our Jobs | Future Human A.I. | Spark,47m 26s,2021-04-10T17:00:30Z

##2020
aF6p3zFsmxU,The Underwater Robot That Could Protect Our Shores | The Military Tech Show | Spark,43m 9s,2020-10-07T16:00:00Z
zhX8ks7gmWg,Can This Robot Dance Better Than You? | ExperiMental | Spark,24m 49s,2020-02-22T22:00:13Z
-mkpjvfoK7s,Could A Team Of Robots Beat Professional Football Players? | ExperiMental | Spark,25m 1s,2020-01-04T22:00:01Z
