"Video ID",Title,Length,Published
I3b96aoy5pk,"What Billy Crystal is really like | 60 Minutes Australia","13m 32s","2022-12-26T17:00:15Z"
"N_pqT-9S8FA","Brutal and breathtaking: Life or death in Africa's great wildebeest migration | 60 Minutes Australia","14m 21s","2022-12-23T17:00:12Z"
52IcOuPXsTM,"Jockeying for glory: Inside the world of Australian horse racing | 60 Minutes Australia","14m 5s","2022-12-21T17:00:04Z"
j6u_77qeUmw,"Golf champion Greg Norman is a shark with a heart | 60 Minutes Australia","14m 59s","2022-12-19T17:00:24Z"
VDCgDSyPVAo,"Working class Aussie comic Shane Jacobson taking on the world | 60 Minutes Australia","13m 38s","2022-12-16T17:00:15Z"
FilJbtU4_Oc,"The elephant sized problem: are they better off in the wild or in our zoos? | 60 Minutes Australia","15m 2s","2022-12-14T17:00:08Z"
ShH5pol90_M,"Reporter goes into the heart of Indonesia's dangerous volcano country | 60 Minutes Australia","14m 40s","2022-12-12T17:00:28Z"
31x_yShx4Wo,"Inside access to ancient cannibal tribe living in the jungles of West Papua | 60 Minutes Australia","15m 22s","2022-12-09T17:00:02Z"
y7PWX8IJuSk,"30 year hunt for justice and revenge on the man who stole Celesta's innocence | 60 Minutes Australia","15m 1s","2022-12-07T17:00:30Z"
NozOd8cEn_M,"Who is the King of Swaziland? | 60 Minutes Australia","15m 49s","2022-12-05T17:00:14Z"
oeplRhYFg0s,"Irish supergroup The Corrs on their enchanting success story | 60 Minutes Australia",12m,"2022-12-04T10:32:17Z"
IuYuG6ATHOA,"Serial polluters cause environmental vandalism in Australia | 60 Minutes Australia","16m 22s","2022-12-02T16:30:02Z"
Ab6QU1OtENI,"Sneak peek: The Corrs on 60 Minutes | 60 Minutes Australia",54s,"2022-12-01T06:59:09Z"
3u7JEFZRwr8,"Reporter comes face-to-face with starving polar bear in the Arctic | 60 Minutes Australia","18m 56s","2022-11-30T23:00:03Z"
LQTLTgxO4TY,"Most depraved pedophile ever caught by police sentenced to 129 years | 60 Minutes Australia","4m 19s","2022-11-28T23:28:53Z"
rRQZyFZKtso,"Lisa Greenberg's battle to fight crippling alcohol addiction | 60 Minutes Australia","16m 18s","2022-11-28T10:27:55Z"
"E59yzR-OfLg","The detectives who unmasked the monster 'Bondi Beast' rapist | 60 Minutes Australia","24m 23s","2022-11-28T09:46:41Z"
ErDwbjbkqgE,"The happy country: what happened to happiness and how do we find it? | 60 Minutes Australia","13m 9s","2022-11-25T16:00:11Z"
xc6y2mME_OA,"SNEAK PEEK: High life to rock bottom | 60 Minutes Australia",1m,"2022-11-25T01:06:00Z"
lEzJHMrLNeo,"High life to rock bottom | 60 Minutes Australia",30s,"2022-11-24T08:42:10Z"
mxCvNioi8tg,"Unmasking Australia's most brazen predator, SUNDAY on #60mins.","1m 1s","2022-11-24T01:19:07Z"
jxZMs63KwRk,"The nuclear debate: should Australia embrace nuclear power? | 60 Minutes Australia","13m 47s","2022-11-23T15:00:22Z"
YABhhhTJG_E,"SNEAK PEEK: Hunting the Bondi Beast | 60 Minutes Australia",1m,"2022-11-23T08:20:35Z"
iH29NNBdjPI,"SNEAK PEEK: Hunting the Bondi Beast | 60 Minutes Australia",20s,"2022-11-21T22:35:54Z"
