"Video ID",Title,Length,Published
kzpJVm5qvvo,"The UnXplained: Collection of Cursed Objects Hidden in Ohio (Season 4) | The UnXplained Zone","7m 35s","2023-02-10T19:00:30Z"
Sw8GJvZsTtE,"Space-Time Vortex Sends Plane to Different Dimension (S1, E1) Missing in Alaska | Full Episode","43m 22s","2023-02-10T01:00:20Z"
"IQRDUs4p-8E","My Ghost Story: PARANORMAL ACTIVITY in a Family's Arkansas Home (Season 3) | The UnXplained Zone","8m 10s","2023-02-09T19:00:15Z"
XP4lJRMyIHw,"The Proof Is Out There: TOP 5 JAW-DROPPING UFO SIGHTINGS Caught on Camera | The UnXplained Zone","21m 23s","2023-02-07T19:00:20Z"
c6f70ne7ktg,"The Lowe Files: Venturing Off-Grid in Arizona & Meeting an Alien Abductee (S1, E4) | Full Episode","21m 28s","2023-02-06T23:00:21Z"
UalaT_Ys_fo,"My Haunted House: BEAST Turns Cabin Getaway into a Nightmare (Season 1) | The UnXplained Zone","11m 17s","2023-02-06T19:00:10Z"
Nt1At5MN9kA,"Bret Michaels Pointed Toward his Destiny by Ghost (S2, E20) Celebrity Ghost Stories | Full Episode","43m 47s","2023-02-05T23:00:10Z"
HWQPAeIMhSM,"Ancient Aliens: Shocked Quartz Wormholes in Mexico","4m 58s","2023-02-05T21:00:05Z"
4LMT3nVGS84,"Eyewitnesses Claim to Spot Loch Ness MONSTER in America (S1, E1) MonsterQuest | Full Episode","45m 1s","2023-02-04T23:00:02Z"
XbUuGekQbU4,"VICIOUS, Carnivorous Gnomes in State's Untamed Interior (S1, E5) Missing in Alaska | Full Episode","43m 22s","2023-02-03T01:00:19Z"
iDLpA3XieNM,"Mysterious Disappearances Haunt Georgia Lake | The UnXplained","7m 51s","2023-02-02T21:00:31Z"
IjLJQo_0vFs,"My Ghost Story: MULTIPLE Spirits in Haunted House Recorded and Captured on Video","8m 8s","2023-02-01T23:00:12Z"
fdBTZW4ulJw,"Astounding UFO Sighting Defies Logic | Ancient Aliens #shorts",59s,"2023-02-01T20:00:14Z"
pqd9aUGmcjY,"Revisiting Famous UFO Sightings of the 70'S (S4, E1) UFO Files | Full Episode","44m 18s","2023-01-31T23:00:35Z"
1npxJVYcQuU,"Investigating a MYSTERIOUS Deep-Sea Formation in Malibu (S1, E2) The Lowe Files | Full Episode","21m 7s","2023-01-30T23:00:01Z"
xI_MJvoPOVs,"My Haunted House: SPIRITS REVEALED During Deadly Dice Game (Season 1)","10m 36s","2023-01-30T19:00:20Z"
"iqLwX--w5K8","Cheri Oteri Visits a Medium Who Channels Her Dad (S2, E18) Celebrity Ghost Stories | Full Episode","43m 7s","2023-01-29T23:00:18Z"
SWaUiSjVMKM,"Ancient Aliens: Alien Life in the Ocean","5m 10s","2023-01-29T21:00:07Z"
"82XnrA-E6rM","Hunting CHUPACABRAS in Texas Using DNA Tests (S2, E8) MonsterQuest | Full Episode","45m 12s","2023-01-28T23:00:05Z"
jZl6wIw8Vaw,"My Haunted House: Dog and Spirit of Murdered Woman Warns New Homeowner of Danger","10m 42s","2023-01-27T23:00:25Z"
"wvUm-TDdHrs","The Aurora Borealis & Disappearances in Alaska Triangle (S1, E4) Missing in Alaska | Full Episode","43m 22s","2023-01-27T01:00:32Z"
HG0vulEVRSQ,"Ancient Texts Discovered in Pompeii's Volcanic Remains | The UnXplained","7m 17s","2023-01-26T21:00:14Z"
h0t3vBGcUd8,"My Ghost Story: Active Spirit of Lizzie Borden's Father Captured on Camera","7m 31s","2023-01-25T23:00:18Z"
HGSzJag55C0,"Mysterious Dragons Connect Physically Link & Earth | Ancient Aliens #shorts",55s,"2023-01-25T22:30:03Z"
"URq9D7-DAOg","Top Secret Facility ""Hangar 18"" Hides UFO Evidence (S3, E12) UFO Files | Full Episode","43m 53s","2023-01-24T23:00:19Z"
trXn6fnqX8o,"Curious about AlienCon? Check Out The Full Schedule for March 4-5 in Pasadena!",31s,"2023-01-24T20:58:17Z"
