"Video ID",Title,Length,Published
BK2rOdlcsnY,"وثائقي | سوريا - مختبر تجارب روسيا | وثائقية دي دبليو","42m 26s","2023-03-22T18:00:08Z"
"tPepP-xSIeY","#وثائقي #shorts أكل اللحوم من منظور فلسفي أخلاقي",31s,"2023-03-21T15:00:38Z"
hqPMkhNTQO8,"ريبورتاج | نيبال: لغز تحطم الطائرات | وثائقية دي دبليو","12m 26s","2023-03-20T18:00:25Z"
EXUGqf5tKFA,"وثائقي | أسلوب الحياة النباتي الخالص - هل هو مستقبلنا؟ | وثائقية دي دبليو","31m 49s","2023-03-19T18:00:09Z"
xASsSMMlEqM,"#وثائقي #shorts عنف الشرطة في نيجيريا",29s,"2023-03-18T15:00:44Z"
yclPEPiPrPA,"وثائقي | البحث عن الألماس في جنوب إفريقيا | وثائقية دي دبليو","42m 26s","2023-03-17T18:00:23Z"
mBeDQfTP7gg,"#وثائقي #shorts التجارة المربحة لتهريب البشر في موريتانيا",31s,"2023-03-17T15:00:37Z"
RrdoNWN11Mg,"وثائقي | موزمبيق - فقر وإرهاب وياقوت وحقول غاز | وثائقية دي دبليو","42m 26s","2023-03-16T19:00:21Z"
Om4yTvoa7f4,"وثائقي | لاوس والصين - مشاريع إنمائية ضخمة بتمويل صيني | وثائقية دي دبليو","12m 26s","2023-03-13T18:00:09Z"
"nNsvAZ-h61E","وثائقي | استهلاك اللحوم وعالم المنتجات البديلة للحوم | وثائقية دي دبليو","32m 15s","2023-03-12T18:00:30Z"
emRywLJ6m0c,"وثائقي | جيل وسائل التواصل الاجتماعي وتحدياته | وثائقية دي دبليو","51m 56s","2023-03-11T18:00:13Z"
BANd30X__kg,"#وثائقي #shorts الموساد - تاريخ جهاز الاستخبارات الإسرائيلي",27s,"2023-03-11T15:00:12Z"
Rtp0EtJ_Nzs,"وثائقي | النحاس والجانب المظلم للتحول الطاقي | وثائقية دي دبليو","42m 26s","2023-03-10T18:00:11Z"
"L0qDFfGE-x4","#وثائقي #shorts الساحل الإفريقي: الحرب على الإرهاب",25s,"2023-03-10T13:00:14Z"
HBAtz073r_k,"وثائقي | التجارة المربحة لتهريب البشر في موريتانيا | وثائقية دي دبليو","42m 26s","2023-03-08T18:00:07Z"
GXGq7nBLfL4,"#وثائقي #shorts سموم أوروبا - تصدير المبيدات الحشرية المحظورة",32s,"2023-03-08T15:00:19Z"
0srwBsQdDA0,"وثائقي | أول رائدة فضاء ألمانية | وثائقية دي دبليو","42m 26s","2023-03-07T18:00:01Z"
5pPF3S8F7P0,"ريبورتاج | ممارسة الحب، طوال العمر | وثائقية دي دبليو","12m 26s","2023-03-06T18:06:57Z"
YmExPsbFhFQ,"وثائقي | سموم أوروبا - تصدير المبيدات الحشرية المحظورة | وثائقية دي دبليو","51m 56s","2023-03-05T17:00:32Z"
"-r2COtXrdqA","وثائقي | الموساد - تاريخ جهاز الاستخبارات الإسرائيلي | وثائقية دي دبليو","42m 26s","2023-03-04T18:00:00Z"
0LnASXldnWQ,"#وثائقي #shorts طفولة في صحراء منغوليا",32s,"2023-03-03T15:00:02Z"
3boXEta4hKY,"وثائقي | قانون الإجهاض في السلفادور | وثائقية دي دبليو","42m 26s","2023-03-02T18:00:04Z"
ZhvbIdaq5uA,"#وثائقي #shorts مصر - مشروع ضخم لإنقاذ آثار ومعابد النوبة من مياه النيل",30s,"2023-03-02T15:00:31Z"
S4XGhLXyWWE,"ريبورتاج | فن الجر - فن كويري في برلين | وثائقية دي دبليو","12m 26s","2023-02-27T18:00:10Z"
SUxeIDgTyO8,"#وثائقي #shorts الحرب في أوكرانيا ـ حرب أوروبية في أعين عشرة أشخاص",24s,"2023-02-27T15:00:30Z"
aSxdMa7ZUB8,"وثائقي | أكل اللحوم من منظور فلسفي أخلاقي | وثائقية دي دبليو","32m 15s","2023-02-26T18:00:00Z"
onZDMeW10O8,"#وثائقي #shorts زلزال_تركيا_وسوريا - تبعات الزلزال في سوريا وتركيا#",32s,"2023-02-26T15:00:35Z"
yuAkjfZCj58,"وثائقي | طفولة في صحراء منغوليا | وثائقية دي دبليو","42m 26s","2023-02-25T18:00:35Z"
r70zgFqWtZg,"وثائقي | ماريوبول في الشهر الأول للاحتلال الروسي | وثائقية دي دبليو","42m 26s","2023-02-25T15:00:40Z"
Rb_b333oW0Y,"وثائقي | المعركة الدعائية في حرب أوكرانيا | وثائقية دي دبليو","1h 29m 44s","2023-02-24T19:00:12Z"
F5PbMC251O4,"وثائقي | الروس والحرب - ما رأي المجتمع الروسي في غزو روسيا لأوكرانيا؟ | وثائقية دي دبليو","28m 26s","2023-02-24T15:00:14Z"
ey2246nJTfA,"وثائقي | تبعات زلزال تركيا وسوريا | وثائقية دي دبليو","28m 26s","2023-02-23T17:00:25Z"
"Ok4V-FXAjK8","#وثائقي #shorts حراس الحقيقة - جان دوندار يلتقي سفيتلانا تيخانوفسكايا",1m,"2023-02-23T15:00:15Z"
Y9ZyLqP9cbA,"وثائقي | الحرب في أوكرانيا ـ حرب أوروبية في أعين عشرة أشخاص | وثائقية دي دبليو","42m 26s","2023-02-22T19:00:23Z"
qP09RqwW7Uk,"ريبورتاج | معاداة السامية: لماذا تصعب مكافحتها؟ | وثائقية دي دبليو","12m 26s","2023-02-21T18:00:22Z"
80SzmRy8T7s,"وثائقي | بيلاروسيا: سفيتلانا تيخانوفسكايا تتحدى لوكاشينكو | وثائقية دي دبليو","52m 1s","2023-02-20T19:00:08Z"
XLY5F00SL68,"#وثائقي #shorts هل استهلاك اللحوم ضرورة للبشر؟ (2/2)",37s,"2023-02-20T15:00:22Z"
KZ2vcgMugBY,"وثائقي | هل استهلاك اللحوم ضرورة للبشر؟ | وثائقية دي دبليو","32m 6s","2023-02-19T19:00:13Z"
SNfpZoAUhlc,"#وثائقي #shorts حراس الحقيقة - جان دوندار يلتقي سفيتلانا تيخانوفسكايا",33s,"2023-02-18T15:00:28Z"
"qS-2rljdhno","ريبورتاج | إيطاليا - عصابات المرجان في منطقة المتوسط | وثائقية دي دبليو","12m 26s","2023-02-15T19:00:30Z"
gmRoGq7zTaQ,"وثائقي | ما مدى أهمية بطارية أيونات الليثيوم في عالم التكنولوجيا؟ | وثائقية دي دبليو","42m 26s","2023-02-14T19:00:14Z"
OGvNQPEsrlY,"#وثائقي #shorts التربية الكثيفة للحيوانات ومستقبل الزراعة الحديثة (2/1)",39s,"2023-02-14T15:00:17Z"
uvr72AJ2zm0,"وثائقي | التربية الكثيفة للحيوانات ومستقبل الزراعة الحديثة | وثائقية دي دبليو","32m 20s","2023-02-13T19:00:19Z"
"a8tBTIvvB-M","#وثائقي #shorts ليبيا ـ تدمير أمة",32s,"2023-02-13T16:00:00Z"
FKtW0wjo3r0,"وثائقي | العنصرية في ألمانيا | وثائقية دي دبليو","42m 26s","2023-02-12T19:00:07Z"
XqpIkjzqJVo,"وثائقي | الساحل الإفريقي: الحرب على الإرهاب | وثائقية دي دبليو","42m 26s","2023-02-11T18:00:12Z"
Cc4PuAvGw68,"وثائقي | تركيا - زلزال إسطنبول - خطر محدق وإنذار مبكر (إعادة نشر) | وثائقية دي دبليو","42m 26s","2023-02-10T15:00:14Z"
p1HBD7nerDg,"وثائقي | المناخ والأثرياء: طائرات خاصة ويخوت و سيارات رياضية | وثائقية دي دبليو","27m 11s","2023-02-09T18:00:20Z"
3MJ9CgHya7A,"#وثائقي #shorts كيف انتقلت رواندا من الحرب الأهلية إلى أكثر البلدان نجاحاً في إفريقيا؟",31s,"2023-02-08T15:00:02Z"
"W-0dp3PRzYk","ريبورتاج | ألمانيا الغنية الفقيرة - اتساع الفجوة بين الأغنياء والفقراء | وثائقية دي دبليو","12m 25s","2023-02-07T18:00:11Z"
EViqk7powas,"#وثائقي #shorts أغذية فائقة الجودة أم قاتلة للمناخ؟",31s,"2023-02-04T15:00:19Z"
SRymnoC3Vrw,"وثائقي | الأفوكادو والتوت الأزرق: أغذية فائقة الجودة أم قاتلة للمناخ؟ | وثائقية دي دبليو","42m 26s","2023-02-03T19:00:20Z"
vvNpQhMW6v0,"#وثائقي #shorts هل كان بالإمكان إيقاف هتلر؟",32s,"2023-02-01T15:00:40Z"
SRosYW9jHKw,"ريبورتاج | معاداة الإسلام في الهند: أغانٍ هندية عنصرية تحرض على المسلمين | وثائقية دي دبليو","12m 26s","2023-01-30T19:00:11Z"
