Video ID,Title,Length,Published
GklSjaG2JvM,Mozambique - Land of treasures and turmoil | DW Documentary,42m 26s,2023-03-16T17:00:15Z
OwvhyVKcY8A,How to go from finance to funny | DW Documentary,16m 51s,2023-03-15T19:00:11Z
7b0ApApAqbg,Climate change in the Netherlands - Pioneering coastal management | DW Documentary,28m 26s,2023-03-14T17:00:04Z
R7HsDKAa-CI,China's helping hand in Laos | DW Documentary,12m 26s,2023-03-13T17:00:13Z
5Vq03gYWiXE,The world of meat substitutes | DW Documentary,32m 21s,2023-03-12T17:00:03Z
pTAfxHGUp1o,Gen Z and social media - An unexpected coronavirus chronicle | DW Documentary,51m 56s,2023-03-11T17:00:24Z
jNUbroQ2XZ4,Copper and the dark side of the energy transition | DW Documentary,42m 26s,2023-03-10T17:00:26Z
9UYnv0c744k,Human traffickers conducting a lucrative business in Mauritania | DW Documentary,42m 26s,2023-03-09T17:00:08Z
TTlOz6XoOVU,Destined for space - Germany's first female astronaut | DW Documentary,42m 26s,2023-03-08T17:00:22Z
C9UUKTZUh1U,Lifelong love - Sex and age | DW Documentary,12m 26s,2023-03-06T17:00:12Z
vSRojFkPNyI,The shady business of pesticides - Europe's poisonous export | DW Documentary,51m 56s,2023-03-05T17:00:38Z
j7oymuz5mRw,The workings of Mossad | DW Documentary,42m 26s,2023-03-04T17:00:24Z
s4SjFZXegoU,The Future of Aging: How Long Do You Want to Live? - An online discussion by DW Documentary,1h 27m 37s,2023-03-03T18:10:40Z
c5GLJ5SlwwQ,El Salvador’s extreme anti-abortion laws | DW Documentary,42m 26s,2023-03-02T17:00:22Z
J66WzcITH9g,Tablets for depression - Do antidepressants help? | DW Documentary,42m 26s,2023-03-01T17:00:24Z
l2b4cdAnmIo,Queer art in Berlin | DW Documentary,12m 32s,2023-02-27T17:00:37Z
eF9sqj6CfG4,Ethics and meat consumption | DW Documentary,32m 15s,2023-02-26T17:00:26Z
Kzo6wNPkDSk,Growing up in Mongolia | DW Documentary,42m 26s,2023-02-25T17:00:13Z
g2FwjYIHJak,Children caught up in the Ukraine War | DW Documentary,28m 26s,2023-02-25T12:00:31Z
4ifShcUcfbU,The propaganda war for Ukraine | DW Documentary,1h 29m 44s,2023-02-24T17:00:05Z
5ZoBzUQCjq4,Russia at war - What do Russians say? | DW Documentary,43m 46s,2023-02-24T14:00:03Z
UNliPGgv_fA,Conflict in Ukraine - A European war in 10 voices | DW Documentary,42m 26s,2023-02-23T17:00:29Z
9zHLU4Vgcu0,The murky myths behind antisemitism | DW Documentary,12m 32s,2023-02-22T20:00:03Z
IpvKwDunPUo,The Turkey-Syria earthquakes and their aftermath | DW Documentary,28m 26s,2023-02-21T17:00:10Z
L3ZfAvJqSl8,Rwanda: The price of success | DW Documentary,42m 26s,2023-02-20T17:00:19Z
DN3un29o9Hs,Unleashing the potential of a young population - Founders Valley (3/3) | DW Documentary,26m 2s,2023-02-19T19:00:08Z
hKs7fidCWMA,Do we need to eat meat? | DW Documentary,32m 6s,2023-02-19T16:00:31Z
qluRXH5AcB8,Police violence in Nigeria | DW Documentary,42m 27s,2023-02-18T17:00:28Z
WbcR6O_wVug,Challenging Lukashenko - Sviatlana Tsikhanouskaya's fight for Belarus | DW Documentary,52m 1s,2023-02-17T17:00:30Z
9hxzkssuxpo,Mariupol in the first month of the Russian invasion | DW Documentary,42m 26s,2023-02-16T17:00:09Z
-tZiRjLbJlw,From smartphones to e-cars - How important is the lithium-ion battery? | DW Documentary,42m 26s,2023-02-15T17:00:00Z
ExMPLBu5Ptw,Italy and the illegal red coral trade | DW Documentary,12m 26s,2023-02-13T17:00:09Z
6VOqNVt_cmM,Factory farming animal welfare and the future of modern agriculture | DW Documentary,32m 15s,2023-02-12T17:00:03Z
UIyjRwZf1LE,How healthcare technology saves lives in Rwanda - Founders Valley (2/3) | DW Documentary,26m 2s,2023-02-11T17:00:16Z
-h8sMEXj_1g,Racism in Germany | DW Documentary,42m 26s,2023-02-10T17:30:00Z
Uix59ojUmOw,Istanbul earthquake - Risk and early warning | DW Documentary,42m 27s,2023-02-10T14:30:06Z
dLXtWqJTI88,Sahel: The fight against terrorism | DW Documentary,42m 32s,2023-02-09T17:00:26Z
W8PsoYCZZF4,Oligarchs and millionaires: The business of luxury yachts | DW Documentary,42m 26s,2023-02-08T17:00:19Z
p7yAk5iYm_k,Climate change and the rich | DW Documentary,27m 11s,2023-02-07T17:00:37Z
rEvBbGynDCs,Digital solutions for decent lives - Founders Valley (1/3) | DW Documentary,26m 2s,2023-02-05T17:00:27Z
md5dgkDnZ9k,Superfoods and the environment - Avocados and blueberries from South America | DW Documentary,42m 26s,2023-02-03T17:00:42Z
sp0hEkN-_24,How to become a respected ballet dancer | DW Documentary,20m 35s,2023-02-01T17:00:42Z
OBXz-cafkRM,India: Anti-Muslim hate music | DW Documentary,12m 26s,2023-01-30T17:00:23Z
u1sB4G3mB6o,How can near-death experiences be explained? | DW Documentary,25m 56s,2023-01-29T17:00:36Z
Dm1EdeoIZ94,The global rise of afro house music | DW Documentary,51m 59s,2023-01-28T17:00:08Z
eAIKvD_gLJo,The dirty business of beauty | DW Documentary,42m 26s,2023-01-25T17:00:32Z
PEf3jLqoI3w,Scotland: Is the desire for independence growing? | DW Documentary,28m 26s,2023-01-24T17:00:14Z
-iu5BC3cBe0,Jobs for employees with disabilities | DW Documentary,12m 27s,2023-01-23T17:00:01Z
gPwu-mhPdqk,Farming of the future - From green genetic engineering to vertical farms | DW Documentary,25m 56s,2023-01-22T17:00:22Z
RgZfrYcaG4k,Rich and poor - The growing wealth gap in Germany | DW Documentary,36m 35s,2023-01-19T18:05:00Z
ioe6YQYYFeA,Chinese fishing threatens the livelihoods of Sierra Leone’s fishermen | DW Documentary,42m 26s,2023-01-18T17:00:24Z
jnoqOFMRMN0,Can Lapland’s primeval forests be saved? | DW Documentary,28m 26s,2023-01-17T17:00:34Z
FC0bl2PObW4,Rave in Riyadh - Women and the bassline | DW Documentary,12m 26s,2023-01-16T17:00:16Z
s8TM_RD3qrI,Are we getting dumber and dumber? | DW Documentary,25m 56s,2023-01-15T17:00:24Z
EJIxtD1n6to,How did humans come to be? | DW Documentary,42m 26s,2023-01-14T17:00:08Z
gIYaSEwoblY,Globalization: Profits over people (2/2) | DW Documentary,42m 26s,2023-01-13T17:00:24Z
8DSXkbPUF0g,Lula's return - A Brazil divided | DW Documentary,28m 27s,2023-01-12T16:57:12Z
mPXdhghxe9s,Honduras: Escaping violence and poverty | DW Documentary,42m 26s,2023-01-11T17:00:28Z
DtAaXfZDCSI,Poland: Threat lurking in the Baltic | DW Documentary,12m 26s,2023-01-10T17:00:07Z
IVHqDYh7JJo,How to know if egg freezing is right for you | DW Documentary,14m 47s,2023-01-08T17:00:14Z
yoZiTCz_wYA,Globalization: Winners and losers in world trade (1/2) | DW Documentary,42m 26s,2023-01-06T17:00:37Z
TuLosPeHPSo,Russia’s forests under threat | DW Documentary,42m 26s,2023-01-05T17:00:24Z
P7UQfORDW2Y,The threat of avalanches - Making Austria’s slopes safe | DW Documentary,28m 26s,2023-01-04T17:00:13Z
tLcYnH6O_Zo,Afghanistan - A new hand for Abdul | DW Documentary,12m 26s,2023-01-02T17:00:34Z
LqZJ25ohvEc,How are movie sounds produced for blockbusters? | DW Documentary,25m 56s,2023-01-01T17:00:17Z
Hz6xkR4mNlo,The melting ice of the Arctic (2/2) | DW Documentary,42m 26s,2022-12-30T17:00:08Z
lphMcjwqTBg,Parenting while blind | DW Documentary,12m 26s,2022-12-27T19:00:15Z
MKeIx4wVjIg,The remote archipelago of Svalbard | DW Documentary,28m 26s,2022-12-27T16:00:14Z
GystZIxWQ3o,The melting ice of the Arctic (1/2) | DW Documentary,42m 26s,2022-12-25T17:00:06Z
cwHzOOE2tNE,Africa GMOs and Western interests | DW Documentary,42m 26s,2022-12-21T17:00:33Z
8GH0TcmTQ6Q,Why zoos sometimes kill animals? | DW Documentary,28m 26s,2022-12-20T17:00:05Z
c_mJMFg4mOE,Rebels in Myanmar | DW Documentary,12m 26s,2022-12-19T17:00:31Z
PkBQi62J_k4,Coffee: The future of coffee growing and production | DW Documentary,25m 56s,2022-12-18T17:00:12Z
aK3lhinHd_8,Humans and multitasking - How much can we do simultaneously? | DW Documentary,42m 26s,2022-12-16T17:00:00Z
vyit-1zKsZ4,Doctors apps and artificial intelligence - The future of medicine | DW Documentary,28m 26s,2022-12-13T17:00:35Z
js4BKXIPcw0,Devastating drought and famine in Somalia | DW Documentary,12m 26s,2022-12-12T17:00:33Z
uXBOrxvFJqc,War on Ukraine - Life in Kherson under Russian occupation | DW Documentary,42m 26s,2022-12-09T17:00:36Z
NWBYCdurOYY,Sustainable silk fashion | DW Documentary,28m 26s,2022-12-06T17:00:12Z
orX0DCjL0yI,German football fans in Qatar | DW Documentary,12m 25s,2022-12-05T17:00:35Z
UGAo334jrC8,How to decide if you are a city dweller or ready for nature | DW Documentary,19m 49s,2022-12-04T17:00:14Z
B930rHvtaKE,Grain and the war in Ukraine - Is Russia using wheat as leverage? | DW Documentary,28m 26s,2022-11-29T17:00:09Z
Mk10LIbEcI0,Russian deserters in Georgia | DW Documentary,12m 26s,2022-11-28T16:00:18Z
ONWW02pNvFk,War crimes in Ukraine | DW Documentary,42m 26s,2022-11-26T17:00:14Z
YoFfw-xoijI,Jewish life in Istanbul - Freitagnacht Jews | DW Documentary,46m 41s,2022-11-25T17:00:32Z
SxMc6uK3_fQ,Fighting for women's rights - Latin America’s feminist movement | DW Documentary,42m 26s,2022-11-24T17:00:30Z
3DhW2feGqyA,Qatar: Between tradition and modernity | DW Documentary,42m 26s,2022-11-23T17:00:02Z
ejd7Zmz1r64,Qatar - In the spotlight of the World Cup | DW Documentary,28m 26s,2022-11-22T17:00:25Z
7ot-Z-Tg1RE,Deadly superstitions - Nigeria's witch children | DW Documentary,12m 26s,2022-11-21T17:00:05Z
ufuilQjDJUc,Fighting to preserve ugly species | DW Documentary,25m 56s,2022-11-20T17:00:39Z
O2pD_y61jx4,The first modern financial crisis in the globalized world | DW Documentary,42m 27s,2022-11-16T17:00:31Z
0zfUSoWC4Eg,China's New Silk Road in Europe | DW Documentary,28m 26s,2022-11-15T17:00:02Z
0xyZosz2Yks,Art thieves and ransoms - The murky world of stolen art | DW Documentary,42m 26s,2022-11-14T20:00:01Z
TVQm5lTRMO0,Climate change or politics? - Why Madagascar is going hungry | DW Documentary,12m 26s,2022-11-14T17:00:18Z
HBMlQZeXMiA,Future cities: Urban planners get creative | DW Documentary,25m 56s,2022-11-13T17:00:12Z
3uFFPTV8P-o,Jewish identity in Tel Aviv - Freitagnacht Jews | DW Documentary,45m 24s,2022-11-11T17:00:03Z
yKNmqI7H3cA,The last mountain gorillas need more space | DW Documentary,42m 26s,2022-11-10T17:00:52Z
gvoT8QANp8I,Music in Nazi Germany - The maestro and the cellist of Auschwitz | DW Documentary,1h 26m,2022-11-09T20:00:24Z
hx6wFq9B-BM,What does climate neutral mean? | DW Documentary,27m 31s,2022-11-08T17:00:36Z
q4syhqpFzfM,Soccer World Cup: Migrant laborers in Qatar | DW Documentary,12m 26s,2022-11-07T17:00:38Z
KbqrglVsCtI,Jewish life in Buenos Aires - Freitagnacht Jews | DW Documentary,45m 16s,2022-11-04T17:00:17Z
