"Video ID",Title,Length,Published,"Region Restriction Count"
3bzELvR6wks,"Fabulous Fashionistas: The Art Of Growing Old | Real Stories","47m 43s","2023-01-01T17:00:03Z","11 (blocked)"
"I0-BaBALfDY","The Gods Of Times Square (Nostalgic New York City Documentary) | Real Stories","1h 53m 49s","2022-12-31T17:00:09Z",""
Us5UDRFQ5xI,"""I Like To Break Handcuffs"" 🚔 #shorts",59s,"2022-12-30T19:00:09Z","8 (allowed)"
YRnARYxWriM,"The Story Of Collectable Miniature Toys (Toy's Origin Documentary) | Real Stories","44m 1s","2022-12-29T17:00:29Z","71 (allowed)"
"UhGp-k6n5RY","Idris Elba: What Is Ambition? 😮 #shorts",20s,"2022-12-28T19:00:11Z",""
cdtJxat2ayk,"Idris Elba: Cut From A Different Cloth (Celebrity Documentary) | Real Stories","54m 20s","2022-12-27T17:00:18Z",""
"eX-omk2RrFs","Running Through The Hard Times 🏃‍♀️ #shorts",55s,"2022-12-26T19:00:12Z",""
"sq8-eujHVSs","FBI Files: The Heist Collection (True Crime Documentary) | Real Stories","3h 18m 38s","2022-12-25T17:00:33Z","1 (blocked)"
iTOC0COLxug,"The Ivy: Renovating the World's Most Eminent Restaurant | Real Stories","1h 1s","2022-12-24T17:00:33Z",""
_UtENm4849c,"A True British Samaritan 🫖 #shorts",49s,"2022-12-23T19:00:12Z",""
xQF4xl0GyM0,"Holloway Prison: Women Behind Bars (Female Prisoners Documentary) | Real Stories","43m 34s","2022-12-22T17:00:37Z","6 (blocked)"
iKU2OUqJ5nw,"Jail Holder Claimed To Only Have 1 Beer... 🤔 #shorts",59s,"2022-12-21T19:00:17Z",""
8YWe89X4vRM,"Data and Disinformation: Investigating Cambridge Analytica (Exposé Documentary) | Real Stories","1h 32m 7s","2022-12-20T17:00:08Z","8 (allowed)"
"MflO_-Fp1WE","911 Call of Woman Who Shot Abusive Husband #shorts",55s,"2022-12-19T18:45:00Z",""
"h-aiB3dW5ms","Felix Austria! | Triumphant Adventures Of A Man With An Incurable Disease | Real Stories","1h 16m 44s","2022-12-18T17:00:19Z","6 (allowed)"
TXMeGKmJ0eI,"A Future Without HIV: Investigating South Africa (HIV Pandemic Documentary) | Real Stories","1h 38m 49s","2022-12-17T17:00:27Z",""
U46tICjQ6zs,"Growing Up in a New Country: The Children's Stories | Real Stories","1h 33m 27s","2022-12-15T17:00:15Z","2 (blocked)"
rV0u4cdm8c8,"When Water Kills: Rip-Current Heroes (Rescue & Survival Documentary) | Real Stories","49m 43s","2022-12-13T17:00:35Z","10 (allowed)"
nTv7DBzeZjw,"The Innocence Network (Wrongful Convictions Documentary Marathon) | Real Stories","2h 56m 27s","2022-12-11T17:00:27Z","12 (blocked)"
Flr27KCQ5jY,"Just Do It: Activists Or Anarchists? (Environmental Campaigners Documentary) | Real Stories","1h 28m 47s","2022-12-10T17:00:12Z",""
"kUA90aPVX-k","Family Doctors: Behind The Curtain (Medical Documentary Marathon) | Real Stories","2h 14m 31s","2022-12-08T17:00:24Z","6 (allowed)"
"RkVX-AgU0Yo","Confronting My Mother's Attacker (Award-Winning Documentary) | Real Stories","1h 13m 48s","2022-12-04T17:00:11Z",""
sJckop0fjYI,"Inside A Las Vegas Jail (US Detention Center Documentary Double Bill) | Real Stories","41m 18s","2022-12-03T17:00:33Z",""
Q9YyIQV27IA,"The Performances That Were Never Sung #Shorts",59s,"2022-12-01T19:00:08Z","2 (allowed)"
pBGFfqhSO6E,"Idris Elba: Mandela, My Dad And Me (Finding Your Roots Documentary) | Real Stories","52m 57s","2022-12-01T17:00:24Z",""
liVockTGe8M,"My Mohamed Is Different (Age-Gap Romance Documentary) | Real Stories","52m 6s","2022-11-29T17:00:25Z","22 (blocked)"
"Rqe-jFulb1E","We Won't Pay! Behind the Rent Strike Of 1979 (Nick Broomfield Documentary) | Real Stories","57m 19s","2022-11-26T17:00:30Z","9 (allowed)"
An3io22Megw,"A Meal Fit For A King! 🫅 #shorts",53s,"2022-11-25T19:00:05Z",""
DC6mvl5gr1s,"Paul Hollywood Eats Japan: Complete Series (Food & Culture Documentary) | Real Stories","2h 12m 3s","2022-11-24T17:00:06Z","6 (blocked)"
kjOs61BtnkM,"A Time To Live (Living With Terminal Illness Documentary) | @RealStories","59m 17s","2022-11-22T17:00:29Z","1 (blocked)"
C_MpbXJGeQg,"Freddie Foreman: The Terrifying British Godfather (Mobster Documentary) | Real Stories","1h 30m 18s","2022-11-20T17:00:12Z",""
8JVHotswhIk,"Banksters: The Untouchable Bank (Global Finance Scandal Documentary) | Real Stories","1h 26m 41s","2022-11-19T17:00:12Z","1 (blocked)"
"sCR4-vWGYBs","How To Make A Royals Posh Jacket Potatoes 🥔 #shorts",58s,"2022-11-18T19:00:32Z",""
_hs1iGLRcyg,"Being Queer In My Conservative Pakistani Family (LGBTQ+ Documentary) | Real Stories","54m 22s","2022-11-17T17:00:28Z",""
EGGV0PB7JAw,"California's Maximum Security Hell For Juvenile Delinquents (Prison Documentary) | Real Stories","1h 23m 40s","2022-11-15T17:00:09Z","9 (allowed)"
wLyN3Ls_E40,"The Murderer Who Used Water To Hide His Trace (Crime Investigation Documentary) | Real Stories","46m 11s","2022-11-13T17:00:42Z",""
v_FJkgelFHg,"The Biggest Scandal In Sport? (Cricket Corruption Documentary) | Real Stories","1h 37m 21s","2022-11-12T17:00:42Z",""
"FCggdd-nB94","King Charles and Queen Camilla: Into the Unknown (Royal Documentary) | Real Stories","49m 56s","2022-11-10T17:00:08Z","1 (blocked)"
Vh96SS86PYA,"Stacey Dooley's Favourite Documentary",59s,"2022-11-10T12:00:19Z",""
KX60QjKF0yU,"Prince William Taking Notes From His Mother Diana 🤚 ⛔️ #shorts",16s,"2022-11-09T22:00:06Z",""
pni0g2LMP8s,"The Tragic Life & Death of Princess Diana (Diana Documentary Double Bill) | Real Stories","1h 36m 55s","2022-11-08T17:00:39Z",""
YHtdtdAKJC4,"Her Son Paid The Ultimate Price For This Mothers Addiction 💉 #shorts",47s,"2022-11-07T22:00:14Z",""
WRZqDXQKVd0,"America's Biggest Heist & Millionaire's Daughter for Ransom (True Crime Double) | Real Stories","1h 40m 9s","2022-11-05T17:00:16Z","1 (blocked)"
cpaSl1x0Puc,"Hidden Cameras Caught Violent Gang Members Red Handed 📹 #shorts",51s,"2022-11-04T22:00:28Z",""
Tkqo1wsbq50,"Gun Violence In America: What Is The Solution? (Gun Debate Documentary) | Real Stories","1h 3m 38s","2022-11-03T17:00:30Z",""
_entnSEVkzc,"Prisoners Were Forced To Perform Horrific Apartheid ""Dance"" 😞 #shorts",50s,"2022-11-02T22:00:15Z","5 (blocked)"
dWxwtILhfvE,"Decadence and Downfall In Iran: The Greatest Party In History | Real Stories","1h 16m 19s","2022-11-01T17:00:33Z",""
10VFmPftY6E,"No-One But Kids See Ghosts In Haunted House 👻 #shorts",50s,"2022-10-31T22:00:00Z",""
ynvx9ryutDQ,"The Man Who Doesn’t Breathe (Extraordinary Person Documentary) | Real Stories","1h 27m 24s","2022-10-30T17:00:46Z",""
eYlnZWYDrcs,"America's First Traveling Cat Circus (Acro-Cats Documentary) | Real Stories","57m 22s","2022-10-29T16:00:21Z","9 (allowed)"
Z9UxxCvAdJI,"American High School: Straight Outta Orangeburg (Complete Series) | Real Stories","4h 34m 49s","2022-10-27T16:00:19Z","5 (blocked)"
"hoPt-UqegK8","Pushcart Men: Jamaica's Most Extraordinary Race (Unique Sports Documentary) | Real Stories","50m 47s","2022-10-25T16:00:24Z",""
9WXIHuCH1c8,"Married For 71 Years: Irwin & Fran (Romance Documentary) | Real Stories","1h 21m 46s","2022-10-23T16:00:05Z",""
_kDktGj2Wuo,"Taken: Canada's Missing Women (True Crime Marathon) | Real Stories","2h 9m 27s","2022-10-22T16:00:31Z","7 (allowed)"
duOwZI3TYgY,"Killer Used Secret Hidden Rooms To DISPOSE His Victims 🤢 #shorts",52s,"2022-10-21T18:00:19Z","1 (blocked)"
31ZgQ8ugzPE,"How Apple Almost Went Bankrupt In The Mid-90s (Tech Giant Documentary) | Real Stories","46m 7s","2022-10-20T16:00:04Z",""
juuLhSLIY4E,"She Has ZERO Remorse After Shooting Someone Blind 🔫 #shorts",51s,"2022-10-19T18:00:16Z","6 (blocked)"
uoSfO21O2cs,"Understanding The British Class System (Nick Broomfield Documentary) | Real Stories","28m 44s","2022-10-18T16:00:37Z","9 (allowed)"
0JiYp_2fgkg,"They Don't Make Trailers Like These Anymore... 🙈 #shorts",54s,"2022-10-17T18:00:00Z","1 (blocked)"
t844au1XTPk,"America's Oldest Hospital: Abandoned (Hurricane Katrina Documentary) | Real Stories","1h 3m 47s","2022-10-16T16:00:28Z",""
ZRfWrNGEVN0,"Victims Suffered Severe Irreversible Damage To Their Health 😞 #shorts",50s,"2022-10-14T18:00:18Z","5 (blocked)"
"czvB-MJkYnw","His Memory Is Short, But His Love Is Infinite ❤️ #shorts",51s,"2022-10-13T17:00:20Z",""
AwZXGn2n_RY,"Silence After The Storm: Return To My Homeland (Syria Documentary) | Real Stories","25m 19s","2022-10-13T16:00:05Z",""
5yODrHk2jUM,"It All Went So Wrong, But They Still Went Ahead?! 🤯 #shorts",44s,"2022-10-11T17:00:03Z","5 (blocked)"
lqk8wBIA5jw,"Birthright: A War Story (Abortion Rights Documentary) | Real Stories","1h 39m 20s","2022-10-11T16:00:33Z","9 (allowed)"
YFGkL4wUFQw,"The Abduction Of Amber Guiboche (Missing Woman Documentary) | Real Stories","22m 2s","2022-10-09T16:00:20Z","9 (allowed)"
