"Video ID",Title,Length,Published
PBJUsDScwmM,"Chant of the Mystics: Veni Sancte Spiritus - 8h Version","8h 4m 41s","2023-03-30T22:34:13Z"
huTeytcnLyQ,"Fighting Deception & Demonetization: Launching my new Label, Shop & CDs","28m 54s","2023-02-16T19:00:10Z"
zq_uWsjvQdg,"Chant of the Mystics, Vol. 1 - FULL ALBUM - Divine Mystical Chant - Gregorian Chant - Patrick Lenk","1h 14m 55s","2023-01-02T16:00:10Z"
AW97UzrvMac,"Chant of the Mystics, Vol. 1 - Exsultet (English) - Divine Mystical Chant - Gregorian Chant","12m 57s","2023-01-01T16:00:10Z"
_9Cgul49Fy0,"Chant of the Mystics, Vol. 1 - Salve Regina - Divine Mystical Chant - Gregorian Chant","3m 32s","2022-12-31T16:00:08Z"
19IYLYBFr9E,"Chant of the Mystics, Vol. 1 - Rorate Caeli - Divine Mystical Chant - Gregorian Chant","6m 1s","2022-12-30T16:00:09Z"
Z3UhlAgEWTo,"Chant of the Mystics, Vol. 1 - Pange Lingua - Divine Mystical Chant - Gregorian Chant","4m 55s","2022-12-29T16:00:07Z"
0r7FkoMIEsE,"Chant of the Mystics, Vol. 1 - Dies Irae - Divine Mystical Chant - Gregorian Chant","8m 18s","2022-12-28T19:30:10Z"
8WhmoqdbQHw,"Chant of the Mystics, Vol. 1 - Veni Sancte Spiritus - Divine Mystical Chant - Gregorian Chant","7m 57s","2022-12-27T16:00:08Z"
SLjR_fOYLvA,"Chant of the Mystics, Vol. 1 - Pater Noster - Divine Mystical Chant - Gregorian Chant","4m 44s","2022-12-26T16:00:07Z"
nnFaqDnlUWI,"Chant of the Mystics, Vol. 1: Missa Regia Gloria - Angelic Hymn - Divine Gregorian Chant","4m 18s","2022-12-25T16:00:09Z"
DztMX3rBZAg,"Chant of the Mystics, Vol. 1: Lux Et Origo Credo - Divine Gregorian Chant","6m 11s","2022-12-23T16:00:08Z"
fJULYlGor4E,"Chant of the Mystics, Vol. 1: Signum Magnum - Divine Mystical Chant - Gregorian Chant","8m 53s","2022-12-22T16:00:09Z"
KBjsQcjKIfw,"Chant of the Mystics, Vol. 1 - Orbis Factor Kyrie - Divine Mystical Chant - Gregorian Chant","7m 48s","2022-12-17T19:15:07Z"
5FjAgonZeoY,"Orchestralis - Choir","7m 21s","2022-08-19T12:55:36Z"
WyWAZTzTAgo,"Orchestralis - Choir Drones","6m 48s","2022-08-19T12:46:57Z"
"9KuqI89-hm0","Orchestralis - Atmospheric Choir","8m 26s","2022-08-19T12:38:55Z"
6ajDuMD1jio,"Orchestralis - Angelic Choir","5m 34s","2022-08-19T12:33:12Z"
UqInNowmZac,"Orchestralis - Ambient Choir","8m 50s","2022-08-19T12:22:24Z"
fOiHz5FYSxU,"PIANODAYs - Cathedral","4m 14s","2022-08-17T22:03:06Z"
"x7t15-0g3FY","Luca Francini - Church Choir","7m 16s","2022-08-17T21:56:53Z"
CzuejOq8h9I,"Cleanmindsounds - Choir","8m 32s","2022-08-17T11:07:55Z"
rNF86bm1rqI,"Luca Francini - Angelic Church Choir","5m 27s","2022-08-17T11:04:01Z"
Mo1cM7iqjMk,"DreamnoteMusic - Atmospheric Voices","5m 40s","2022-08-17T11:03:28Z"
"EP-2_qD0rIo","Cleanmindsounds - Cathedral","6m 3s","2022-08-17T11:02:01Z"
h6BZtm14YOQ,"Katcamusic - Celestial Church Choirs","4m 7s","2022-08-17T10:55:57Z"
YB0DTJiVb2s,"Blacksmith - Choir Angels","4m 26s","2022-08-16T22:33:53Z"
JPpuh_3cMZA,"Allen Grey - Sad Angelic Choir","4m 27s","2022-08-16T22:26:02Z"
oBFNW8w8bkw,"Allen Grey - Epic Emotional Choir","9m 24s","2022-08-16T21:52:14Z"
91H08XLkMTY,"Allen Grey - Angelic Choir","7m 21s","2022-08-16T21:27:40Z"
"tLf-W2VVIB4","Allen Grey - Angelic Choir Divine Elevation",7m,"2022-08-16T21:00:28Z"
"7xUCpIl-iP0","24/7 Chant of the Mystics (🌳 Forest Ambient) - Gregorian Chant - Orthodox - Templar - Chant Radio",livestream,"2022-05-11T15:03:32Z"
"Yw-NwtdZ6OM","1.5 Hour Chant of the Mystics 🌧️ Rain Ambient Mix - Divine Gregorian Chant Rain Background Mix","1h 39m 35s","2022-05-09T18:15:12Z"
zCmcvUIazhA,"24/7 Chant of the Mystics (🌧️ Rain Ambient) - Chant Radio",livestream,"2022-05-04T21:34:02Z"
BmqHiTF3XXA,"24/7 Sacred Choir & Chant Radio for Relaxation, Prayer, Work, Meditation & Sleep",livestream,"2022-05-04T21:23:33Z"
8TMuAVK2WBQ,"4 Hours of Sacred Choir Music for Relaxation, Prayer, Work, Meditation & Sleep","4h 27m 12s","2022-04-29T19:00:16Z"
tRKTpdaB_AI,"24/7 Hearing Sacred Music from an Ancient Church at Nighttime and you're sitting under the Full Moon",livestream,"2022-04-17T00:47:29Z"
voskCert548,"Mystical Christian Jesus Prayer (Ukrainian) - Prayer of the Heart - Noetic Prayer - 2 Hours","2h 35s","2022-03-26T20:58:53Z"
aYTfSQwu8HY,"Mystical Christian Jesus Prayer (Church Slavonic) - Prayer of the Heart - Noetic Prayer - 2 Hours","2h 2m 4s","2022-03-18T17:54:24Z"
03LcBWjNb1M,"Chant of the Mystics: Pater Noster (2 Hours) - Our Father - Gregorian Chant - Lord's Prayer - Latin","2h 12s","2022-03-01T19:00:34Z"
tJJvSbcSZRg,"Mystical Christian Jesus Prayer (Latin) - Prayer of the Heart - Noetic Prayer - 2 Hours","2h 1m 2s","2022-02-04T16:00:13Z"
"72L-EOdjJC0","Mystical Christian Chant: In The Dark Night - Ukrainian Orthodox Chant - Chant of the Deep - Carol","5m 52s","2021-12-25T01:43:45Z"
51zHlXSyDBU,"Chant of the Mystics: Asperges Me - Divine Gregorian Chant - Healing & Purifiying Chant Music","6m 20s","2021-11-14T18:15:08Z"
2gEfBe4_sOg,"Chant of the Gnostics: Lo Boier (2 Hours) - Cathar Music - Gnostic Chant - Gnosticism - Catharism","2h 7m 2s","2021-09-19T13:00:11Z"
"KAY-gPOlcK4","Chant of the Mystics: O Filii Et Filiae Instrumental (2 hours) - Soothing Mystical Background Music","2h 2s","2021-09-05T17:00:10Z"
A59D7mUX9OA,"Mystical Orthodox Prayer Chant: Thy Resurrection (Deine Auferstehung)","8m 20s","2021-08-31T18:27:45Z"
"Ypx8uvh-COA","[#1] 100k Subscribers Special: The Realization That Changed My Life (Award - Story - Questions)","27m 16s","2021-06-11T19:00:13Z"
wToW9YjkZHs,"Chant of the Mystics: Veni Sancte Spiritus - Come Holy Spirit - Divine Gregorian Chant - 2h Version","2h 1m 48s","2021-05-16T16:00:11Z"
"mOYS-XtHTME","Chant of the Gnostics: Lo Boier (Acapella) - Cathar Music - Gnostic Chant - Gnosticism - Catharism","8m 42s","2021-04-17T16:00:13Z"
GCajh8D4RQ8,"Give Me A Little Peace - Mystical Longing Prayer Chant - Time of Trial and Ordeals - Maundy Thursday","6m 17s","2021-04-01T22:30:16Z"
mbGrq_QaEg4,"Chant of the Heart: Miserere Mei (Psalm 50/51) - Mystical Repentence & Transformation Chant","27m 30s","2021-03-28T19:00:15Z"
"ZPNhE1g-Hm4","The Deep Purpose Of True Art","4m 20s","2021-02-11T16:45:01Z"
GzduFfQxuCY,"Mystical Christian Jesus Prayer (English) - Prayer of the Heart - Noetic Prayer - 2 Hours","2h 1m 21s","2021-01-27T18:45:31Z"
vyfQo6j0Bvg,"Mystical Christian Jesus Prayer (Russian) - Prayer of the Heart - Noetic Prayer - Иисусова молитва","2h 2m 4s","2021-01-11T16:00:10Z"
"JZr-dAZl1uI","Chant of the Mystics: Rorate Caeli - Divine Gregorian Chant - Mystery of Christmas - Incarnation","6m 8s","2020-12-24T12:13:30Z"
8vQjI3FqbQ0,"Orthodox Repentance Chant: Cry My Soul Always (2 Hours)","2h 25s","2020-12-05T15:30:09Z"
V2ZWIVMY82A,"Chant of the Mystics: O Filii Et Filiae (Pure Chant Version - 2 Hours)","2h 1m 6s","2020-12-03T16:00:10Z"
9KGGts6WXsg,"1 Hour Divine Gregorian Chant Compilation Mix - Chant of the Mystics Vol. 1 Album - Mystical Chants","1h 11m 56s","2020-11-17T16:30:10Z"
bBHrh7a0fgM,"Daily Prayer: Regina Caeli - Chant of the Mystics - Marian Practise - Prayer for Purity - Godseekers","3m 21s","2020-10-25T17:00:10Z"
MJwuNMv4i6M,"Chant of the Mystics: Dies Irae (Prayer For The Dead) - Divine Gregorian Chant - Requiem Chant","8m 24s","2020-09-20T11:09:56Z"
qw63QynbWTY,"Chant of the Mystics: Dies Irae (Thunder Version) - Divine Gregorian Chant - Prayer for the Dead","8m 26s","2020-09-12T15:14:45Z"
eRELmVkJDdk,"2h Divine Mystical Chant: We Have Seen The True Light - Cosmic Harmony - Nature Tones - Meditation","2h 33s","2020-06-20T13:25:46Z"
3P70yvLy4tI,"Chant of the Mystics: Exsultet (Easter Night Chant) - English - Gregorian Chant - Light in Darkness","12m 58s","2020-04-11T23:45:11Z"
uuNAfLyPgzk,"Chant of the Deep: Cry My Soul Always - Orthodox Chant - Wisdom of Death - Repentance Chant","3m 42s","2020-04-06T17:29:55Z"
ED4AYD2gZ7k,"Chant of the Gnostics: Lo Boier - Cathar Music - Gnostic Chant - Gnosticism - Catharism - Le Bouvier","8m 57s","2020-03-26T20:13:01Z"
2j9heGfeaNk,"Chant of the Mystics: Veni Sancte Spiritus - Come Holy Spirit - Divine Spark - Gregorian Chant","7m 55s","2020-03-01T16:18:11Z"
WQhZOX8bQfs,"Chant of the Mystics: Pater Noster - Our Father - Divine Gregorian Chant - Lord's Prayer - Latin","4m 45s","2020-02-01T12:09:46Z"
OUxmlNJruBc,"Chant of the Mystics: Pange Lingua (Pure Gregorian Chant Version)",5m,"2019-12-10T14:15:38Z"
DPQLUwUAetQ,"Chant of the Mystics: Pange Lingua - Divine Gregorian Chant - Eucharistic Hymn - Lyrics and Notes",5m,"2019-11-05T15:52:52Z"
o_uNf1vuP7o,"Chant of the Mystics: Missa Regia Gloria (2 hours) - Angelic Gregorian Chant - lyrics & notes","2h 1m 54s","2019-10-27T01:19:23Z"
e3kOK13fGTI,"Chant of the Mystics: Credo (Lux et Origo) - Divine Gregorian Chant - Great Confession of Faith","6m 10s","2019-10-22T15:58:39Z"
Y4DeFLfEIpQ,"EPIC ORCHESTRAL MUSIC: Overcome (by Patrick Lenk)","3m 59s","2019-10-15T13:17:54Z"
aICW1JRpE5E,"Chant of the Mystics: Gregorian Chant ""Salve Regina"" (Monastic Tone) - Hymn to Purity - 2hours","2h 2m 8s","2019-10-13T14:47:49Z"
"Usun5biE-Kg","Chant of the Mystics: Gregorian Chant ""Salve Regina"" (Monastic Tone) - Hymn to Purity","3m 29s","2019-10-12T09:37:53Z"
"53WK6XqP-gM","Chant of the Mystics: Divine Gregorian Chant ""Signum Magnum"" (2 hours)","2h 2m 21s","2019-10-05T16:45:38Z"
"Y2GWd-8RR7U","Chant of the Mystics: Angelic Gregorian Chant ""Gloria (missa regia)"" - lyrics & notes","4m 15s","2019-10-01T13:23:35Z"
djkLm3WpUOE,"Chant of the Mystics: Divine Gregorian Chant ""Kyrie eleison (orbis factor)"" - 2 hour Version","2h 45s","2019-09-24T17:27:32Z"
i65JYOeT8J0,"Chant of the Mystics: Divine Gregorian Chant ""Signum Magnum"" - lyrics & notes","8m 53s","2019-09-18T23:40:14Z"
EW5AMFit1BI,"EMOTIONAL PIANO & CHOIR MUSIC: Silvernight (by Patrick Lenk)","4m 43s","2019-09-17T16:42:41Z"
j8B_BLtpxQM,"Chant of the Mystics: Divine Gregorian Chant ""Kyrie eleison (orbis factor)"" - lyrics & notes","7m 46s","2019-09-12T00:14:26Z"
s3uPu25UsDs,"Chant of the Mystics: Gregorian Chant to Mary - ""Dei Matris Cantibus"" (Lyrics video)","4m 30s","2019-09-10T09:16:55Z"
f9lIrHr_16o,"Chant of the Mystics: Sad Gregorian Chant ""Lamentations of Jeremiah"" (Lyrics video)","5m 27s","2019-08-16T13:05:05Z"
_ao8v3Idjjk,"Chant of the Mystics: Divine Gregorian Chant ""O filii et filiae""","8m 15s","2019-08-14T12:10:14Z"
OEQQ0EKhclc,"Orchestral Choreography Music: Dance Of Life (by Patrick Lenk)","3m 1s","2019-08-11T09:35:58Z"
AvvHqNKw9vM,"Magical Exploration Music: Enchanted (by Patrick Lenk)","4m 28s","2019-08-01T09:16:59Z"
5nkpO5z4Jac,"Sad Loneliness Piano Music: Wayless (by Patrick Lenk)","5m 33s","2019-07-27T22:48:11Z"
"vWTP-1V4GW4","Grief and Mourning Music: I will remember you forever (by Patrick Lenk)","4m 10s","2019-07-21T08:33:25Z"
lqMNU1lwb8o,"Music for Seekers - Cry To The Heaven (feat. Lydia Salnikova - by Patrick Lenk)","4m 31s","2019-07-20T11:34:19Z"
xpO7mnMnepA,"Spiritual Journey Music: Astral Temple (by Patrick Lenk)","4m 24s","2019-07-18T21:15:19Z"
Jm_UGMt1U4I,"Celtic Harp Music: Celtic Angel (2hours) - Irish Music (by Patrick Lenk)","2h 1m 28s","2019-01-25T22:11:59Z"
WuK59jQ5bwU,"Chant of the Mystics: Divine Gregorian Chant ""O filii et filiae"" (2 hours)","2h 5s","2019-01-20T17:54:02Z"
u2_K5HU22hQ,"🔵 MAGNIFICENT SPACE MUSIC for Sleep, Focus Work, Relaxing, Study & Meditation (by Patrick Lenk)","2h 10s","2019-01-15T18:18:20Z"
"JbQ-4GuEEnM","Overcome Guilt & Shame Music: Let go of the past (2hours music - by Patrick Lenk)","2h 2m 44s","2019-01-07T05:49:22Z"
NB2Z8HTKrHU,"Divine Mystical Spiritual Chant: Choral Meditation Prayer Music (by Patrick Lenk)","2h 1m 10s","2018-12-23T18:57:39Z"
0laK1PV7vx0,"Rain Music: Fading Days - Sad & Melancholic Minimal Piano (by Patrick Lenk)","2h 2m 28s","2018-11-08T03:49:34Z"
SvbfObTthZU,"🔵 SADNESS THERAPY: Heal Grief, Pain & Sorrow - Sad Music - Tears - Broken Heart - Loss","4h 31s","2018-04-21T23:27:47Z"
e4yiLBW7O_Q,"🔵 HEAL AT NIGHT: Healing Choir Night Music (432hz - by Patrick Lenk)","2h 16s","2018-04-14T01:26:51Z"
