Video ID,Title,Length,Published
ns5_XxvuGVo,Moving on from Guilt and Shame,8m 27s,2022-12-28T15:00:28Z
UgMLyELgmCU,Guided Meditation: Our Being Stands Revealed as God's Being,16m 26s,2022-12-25T15:00:21Z
MCHa0L-wmOk,Rupert Reads from Meister Eckhart for Christmas,16m 19s,2022-12-23T17:33:56Z
SH6MXkrrcLg,Rupert Spira Podcast Episode 54: Cathy Heller,1m 1s,2022-12-21T15:00:23Z
_2ROx7TAPps,Is the World Real or Just an Illusion?,9m 45s,2022-12-18T10:00:15Z
sdIFS9zQlGY,A Discussion on Samskaras and Their Release,6m 55s,2022-12-16T15:16:33Z
5N5kbthg_JU,Harness the Energy of the Universe #rupertspira #consciousness #nonduality #advaita #allisone,57s,2022-12-14T15:50:31Z
Ooe1TxzCrYc,Why Do We Laugh? And What Is Humour?,6m 8s,2022-12-14T15:00:23Z
OqPnVsz25Sg,I Am The Love With Which I Love | Corey Hunter & Rupert Spira,52m 15s,2022-12-11T17:00:10Z
rQPTwNhFC7E,You Are Not a Person,4m 23s,2022-12-09T17:20:11Z
Qt_z1dp9Idc,Can I Change My Destiny If There is No Free Will?,8m 47s,2022-12-07T15:00:19Z
5Qyn0Gz8Y7I,Searching for Oneness | Non-Duality (Rupert Spira),8m 13s,2022-12-04T15:00:04Z
AN7u3gper8s,You Won't Find Happiness In The Future,6m 33s,2022-12-02T15:00:09Z
2sbiutgBU_E,Infinite Consciousness' Unique Expressions #rupertspira #nonduality #advaita #infiniteconsciousness,23s,2022-12-02T10:20:51Z
wk6ZNH7jthI,Rupert Spira Podcast Episode 53: Corey Hunter,59s,2022-11-30T15:00:36Z
T3JC_YSWPN8,The Fastest Path to The Deep Peace of Being #rupertspira #nonduality #advaita #peace #thedirectpath,1m,2022-11-28T12:29:01Z
00eDU0EnT84,Stepping Out of Time Into Eternity,18m 6s,2022-11-27T17:00:01Z
jFKht8MQRYU,The Great Stillness and Nisargadatta Maharaj — A Short Reading by Rupert Spira,18m 54s,2022-11-25T15:00:28Z
Ijavgre9-tY,The Remedy for the Dark Cloud of Fear,5m 45s,2022-11-23T15:00:13Z
bK3TqQqoahg,Guided Meditation: The Silence Behind the Silence | Rupert Spira,1h 39m,2022-11-20T15:00:19Z
5X34gKi6xgs,For Lasting Inner Peace You Need Only Know These Two Things,5m 21s,2022-11-18T15:00:04Z
dwW0gILWz4M,Can We Ever Truly Forgive Someone or Ourself?,3m 57s,2022-11-16T15:00:20Z
_8udymX0Da0,The Ultimate Form of Healing #shorts #nonduality #rupertspira,27s,2022-11-15T11:21:40Z
BX8LDIYeElo,Humanity's Transformation to Kindness — World Kindness Day 2022,7m 11s,2022-11-13T15:00:07Z
qBDSZO0UDho,How Does Evolution Exist If Time Is an Illusion?,13m 57s,2022-11-11T15:00:38Z
oWWPHfRm88c,Rupert Spira Podcast Episode 52: Oxford Psychedelics Society,1m 1s,2022-11-09T15:00:36Z
UA78MzFM-VA,Where True Inner Peace Is Found #rupertspira #nonduality #shorts #innerpeace #happiness,35s,2022-11-08T19:42:19Z
MaNiVWpmoos,Do Dreams Have a Message and Where Do They Come From?,5m 20s,2022-11-06T20:00:05Z
cqPTw9JWL5A,The World Is Not What We See It Is the Way We See,11m 10s,2022-11-02T14:53:25Z
pdP6B2puKag,Happiness and The Nature of Our Being,1h 30m 25s,2022-10-30T15:00:44Z
nIZrBtSdshM,You Are Not Born and You Never Die,7m 31s,2022-10-28T14:01:38Z
dgk882QQr10,Harness the Energy of the Universe with Your Ambitions,5m 21s,2022-10-26T14:00:18Z
6B5VflEsTO4,Meditation: The Great Ocean of Peace Behind Thoughts and Feelings,11m 12s,2022-10-23T14:00:06Z
asS3b655Rjk,How Can I Find Awareness? #rupertspira #awareness #enlightenment #seeking #lettinggo #shorts,53s,2022-10-22T21:31:54Z
38cA6DB5gog,Dealing With Intense Physical Pain,10m,2022-10-21T14:00:03Z
lHeDTDWC8_M,Rupert Spira Podcast Episode 51: SHINE,58s,2022-10-19T14:00:33Z
T1bameEv4Vw,Finding Your Inspiration Passion and Creativity | Non Duality,11m 1s,2022-10-16T14:00:14Z
LP3a2LvjKzE,What Is Emptiness? Is It The Same As A Blank State of Mind?,10m 55s,2022-10-14T14:00:11Z
BFqrUyuK-Sk,How Do I Live Without Expectation or Hope?,4m 35s,2022-10-11T14:00:09Z
jcZ6qkI1ZIY,Finding Inner Peace in Parenthood – Zoe Blaskey & Rupert Spira (Non-Duality),53m 22s,2022-10-09T14:00:32Z
hxodi345SY0,John Milton’s Poem ‘Paradise Lost’ — an Excerpt Recited by Rupert Spira,7m 18s,2022-10-06T14:00:20Z
zgm_vFBU98E,Overcoming Addiction to Guilt,3m 45s,2022-10-04T14:00:26Z
zTMYxxeWRGQ,Love Is Not A Feeling or an Emotion,3m 44s,2022-10-02T14:00:27Z
p0kj1JDMuow,Healing Your Trauma In the Light of Awareness | Rupert Spira,4m 36s,2022-09-30T14:00:30Z
MAxzh4ecOsY,Where Is My Mind? #shorts #rupertspira #nonduality #mind #reality #enlightenment #awakening,1m 1s,2022-09-28T18:49:06Z
Ka6QMD3phwg,Rupert Spira Podcast Episode 50: Zoe Blaskey,55s,2022-09-28T14:00:09Z
2Y9Etfhbg4c,Understanding the 'I Am' | Non-Duality | Rupert Spira,4m 22s,2022-09-25T14:00:01Z
-QxH2FRvEjo,Guided Meditation: Awakening to Oneness – The Unity of Being,1h 2m 14s,2022-09-23T14:00:00Z
4IeKxvTOA-c,When You Feel Hurt by Others | Non-Duality (Rupert Spira),4m 57s,2022-09-20T14:00:02Z
iHXgRFOOEB4,The Hard Problem of Matter: Deepak Chopra and Rupert Spira,1h 5m 39s,2022-09-19T07:00:14Z
lu1HFUwh6NE,What Is Consciousness Debate | Rupert Spira Bernardo Kastrup & Christof Koch,1h 44m 38s,2022-09-18T14:00:31Z
r8ADV0M-DAI,Heaven Is The Truth Of Our Being,4m,2022-09-16T15:32:19Z
xP-JZzeDklA,Can I Accept What Is and Still Wish for Things to Change?,6m 14s,2022-09-12T15:00:39Z
JR6rwbG97fA,Are You Destined for Spiritual Awakening or Enlightenment?,7m 19s,2022-09-11T15:00:21Z
mNAw9cUSea4,What Is Enlightenment? #shorts #rupertspira #nonduaity #awakening #enlightenment,20s,2022-09-09T19:18:58Z
q2phAZ1i13Q,Understanding Our Thoughts Emotions Feelings and Perceptions,8m 21s,2022-09-09T15:04:53Z
cGTuJF4-8lY,Rupert Spira Podcast Ep. 49: Oxford Psychedelics Panel,54s,2022-09-06T15:00:31Z
m6Y1PXWfbKI,The Ego Doesn't Die It Never Existed,4m 33s,2022-09-04T15:00:33Z
y9UJwZeNtZk,There Is No Thinker but There Are Thoughts,6m 1s,2022-09-02T15:00:39Z
RWukFtqUexQ,What Happens When We Meditate?,2m 52s,2022-08-31T22:28:34Z
5dRD3vJI3R8,Bernardo Kastrup & Rupert Spira: With Reality in Mind,2h 42m 9s,2022-08-30T17:50:30Z
KqYFO8om71k,How Do I Break The Cycle of Karma?,3m 49s,2022-08-28T15:00:18Z
UQoDjcGirEc,Awakening to Your True Self – Kimberley Snyder & Rupert Spira,47m 41s,2022-08-26T15:00:16Z
z3hxyqC6zpU,Dissolving Intense Emotions or Feelings,10m 15s,2022-08-23T17:00:37Z
2bBH4DShFVA,What If Reality Was One? #rupertspira #nonduality #whatisreal #reality #oneness #enlightenment,1m,2022-08-22T19:30:55Z
bD0Y7bPN3Qg,What Happens When We Die? Understanding Death and Consciousness,5m 37s,2022-08-21T15:00:32Z
_6Xfo54AFBk,Unshakeable Peace in the Midst of Experience,8m 56s,2022-08-19T15:00:27Z
K2LtmcQ9CLE,Consciousness Cannot Know Objective Experience Directly #rupertspira #awareness #nonduality,16s,2022-08-17T21:37:44Z
e8KCJrsRr8M,Rupert Spira Podcast Episode 48: Kimberley Snyder,1m 1s,2022-08-16T15:00:32Z
ZQJ6yMPKjsY,Guided Meditation: Your Being Is God's Being,30m 10s,2022-08-14T15:00:13Z
pA1uRkJMfmA,Is the Universe Created from Nothing? The Big Bang Reinterpreted,9m 1s,2022-08-12T15:00:38Z
Wwbw9Di6TYQ,A Practice for Stopping Negative Mind Chatter While Playing Sport,9m 39s,2022-08-09T15:00:24Z
dWUv_WAbXec,The Ultimate Realty #rupertspira #nonduality #awareness #awarebeing #reality #natureofreality,6s,2022-08-08T19:00:35Z
adcU3tsk1kA,Non-Duality and the Nature of Consciousness (The Weekend University & Rupert Spira),1h 5m 50s,2022-08-07T15:00:02Z
dEm4XgKBUi4,What Is Déjà Vu and Why Does It Happen?,13m 18s,2022-08-05T15:00:22Z
wIeDRxFg-3k,The Unbearable Void #rupertspira #nonduality #blaisepascal #void #shorts,49s,2022-08-04T21:50:34Z
QnPRXhEkRKU,Experiencing Christ Within,6m 54s,2022-08-02T15:00:31Z
ECT-jpRjiEc,Rupert reads from his new book You Are the Happiness You Seek (Part 2),17m 11s,2022-07-31T15:00:08Z
FcTwiI9JlsY,The Illusion of Distance and Space  – Understanding Reality,5m 47s,2022-07-29T15:00:17Z
jiG5n_pmeYA,Only Consciousness Is Ever Experienced #rupertspira #knowing #nonduality #consciousness #shorts,43s,2022-07-27T18:30:01Z
el6HIfNd-os,Rupert Spira Podcast Episode 47: The Weekend University (Non-Duality & the Nature of Consciousness),1m 1s,2022-07-26T15:00:25Z
zLkwhE7OYbw,The Only Thing that Is Ever Truly Known #shorts #rupertspira #nonduality #consciousness,59s,2022-07-25T18:51:07Z
2tNDLkOwz5w,Freedom from Suffering – the Direct Path to Inner Peace,1h 31m 3s,2022-07-24T15:00:03Z
ShUvbTrwPZQ,Rupert reads from his new book You Are the Happiness You Seek (Part 1),27m 9s,2022-07-22T17:27:27Z
nVvzji2JB30,How Is Buddha’s Enlightenment Different from Others?,3m 38s,2022-07-19T15:00:36Z
U-HkEzd5EVA,What is reality? #shorts #rupertspira #nonduality reality #consciousness,1m 1s,2022-07-18T21:03:43Z
IxmCDb0uouU,Guided Meditation: Your Own Being Is Happiness Itself,19m 1s,2022-07-17T15:00:11Z
cU4mJgfJs3c,The Being of Everything Is the Ocean of Oneness,5m 32s,2022-07-15T19:32:49Z
v5Q-lQ3FB6Q,You Are the Happiness You Seek – Ramana Maharshi a Short Reading by Rupert Spira,7m 6s,2022-07-13T17:25:33Z
-OhwK7pFFdE,Is Infinite Consciousness Omniscient? #shorts #rupertspira #consciousness #infinite,56s,2022-07-11T17:24:36Z
5HBA8AesM6o,When Thought Stops Happiness Is Revealed,11m 38s,2022-07-10T16:00:03Z
JET1EUbJM6o,The Separate 'I' or Self Is an Illusion,7m 3s,2022-07-08T15:00:11Z
mgpACUBFfq0,Podcast Episode 46: Watkins Mind Body Spirit Magazine (You Are the Happiness You Seek),1m 1s,2022-07-06T15:00:23Z
kokgIoExtbM,The Highest Meditation #rupertspira #meditation #nonduality #shorts,1m 1s,2022-07-04T16:20:04Z
zsHy8BVn7as,Mind and Matter Are Not Two Separate Things,11m 37s,2022-07-03T18:31:00Z
MIZfqWAPrHg,Stop Searching for Happiness It Is Not a Feeling or Emotion,6m 36s,2022-07-01T19:09:07Z
AYq3EzkRFmM,The Place In Everyone That Has Never Been Hurt,7m 47s,2022-06-28T16:00:44Z
nfRbfNBLiIE,The Delightful Revelation of The Truth | Rupert Spira & Henry Shukman (Part 2),1h 30m 23s,2022-06-26T15:00:24Z
VA7Z5U80LX0,Does Everything Happen for a Reason?,10m 13s,2022-06-24T15:00:15Z
jo_KBCNMnls,Time Does Not Exist Without The Mind #rupertspira #thenow #time #shorts,26s,2022-06-23T16:47:22Z
gfe8uXzCazg,Processing Grief From Intensely Traumatic Events,4m 46s,2022-06-22T15:00:25Z
FKW-C895Qro,Time is Never Experienced: Rupert Spira,34m 56s,2022-06-21T10:44:11Z
