"Video ID",Title,Length,Published
x5SDu9huoTA,"Where Did That One Thick, Dark Hair Come From?","5m 26s","2023-03-17T21:00:33Z"
"AktBT6D-ewg","Why aren't commercial jets getting faster? #shorts #science #SciShow",42s,"2023-03-17T19:00:10Z"
usKVk0fsEbE,"Drilling Holes in Glaciers to Save Them","7m 5s","2023-03-16T21:00:33Z"
WoIUl4mc9eA,"How Elephant Taste Buds Are Fighting Climate Change","4m 9s","2023-03-15T21:05:29Z"
WegO4bzv6Gg,"Rhododendrons solved sibling rivalry by taking turns. #shorts #science #SciShow",41s,"2023-03-15T19:00:26Z"
e8wkplOPqcs,"Why Are We Making Dolphin-Cow Hybrids?","7m 28s","2023-03-14T22:06:44Z"
LK5cPn6eGbc,"The Sharpest Object In The World Can't Cut Anything","11m 32s","2023-03-13T22:34:14Z"
Wc7Q2UJ3WtE,"We solved Roman concrete #shorts #science #SciShow",58s,"2023-03-13T21:32:54Z"
"O-D-W1U3lW4","How Goldfish Went From Pretty To Invincible And Back Again","10m 35s","2023-03-10T22:22:01Z"
Slq_GD01lsI,"Your dog doesn't think you're the alpha. #shorts #science #SciShow",51s,"2023-03-10T20:00:09Z"
4wUOK2KTe1c,"How Traditional Ice Fishing Led to the French Fries in Your Freezer","6m 19s","2023-03-09T22:00:01Z"
qPtElXngMSg,"The climate crisis is coming for your syrup. #shorts #science #SciShow",55s,"2023-03-09T01:00:24Z"
uyNg86CuSwc,"We Can Give Vaccines to Honey Bees!","7m 29s","2023-03-08T22:00:31Z"
IF8VveNsGEI,"Releasing Invasive Species on Purpose","11m 38s","2023-03-07T22:00:09Z"
pZa3fh59dzI,"There's A New Pollution Problem in The Arctic. Can We Fix It?","8m 22s","2023-03-06T22:00:32Z"
paZmliQb1K4,"Mood roofs change color with the season. #shorts #science #SciShow",51s,"2023-03-06T20:00:16Z"
dpHTAooelGg,"The Mineral From Space That’s Harder Than Diamond","7m 22s","2023-03-03T22:16:57Z"
OVZUhWRyefY,"You just fell in the deepest hole in the world. #shorts #science #SciShow",50s,"2023-03-03T20:00:10Z"
8AJkQnNEWWQ,"This Rocket Stage Did More Than Get Us to the Moon","6m 56s","2023-03-02T22:46:31Z"
A7S8ze9TQKE,"Why is lightning shaped like that? #shorts #science #SciShow",50s,"2023-03-02T00:00:03Z"
zTdCC_rh0Rg,"Why Is Our Moon Two-Faced?","7m 39s","2023-03-01T22:00:27Z"
JiHLK_GIZxg,"How Dung Beetles Clean Up Our Messes","8m 3s","2023-02-28T22:17:37Z"
"nk8-tTFIBk8","How Smart Are Crows Actually?","7m 57s","2023-02-28T01:12:36Z"
aaAeiUbH9po,"What do milk alternatives really do for the environment? #shorts #science #SciShow",51s,"2023-02-27T20:00:00Z"
VANRsx7sTk0,"How Do We Keep Airplanes From Hitting Rockets?","7m 11s","2023-02-24T22:07:46Z"
"MVDw-M6VzaQ","Most mammals have this, but not you. #shorts #science #SciShow",51s,"2023-02-24T20:00:11Z"
2YFAMlOzKx0,"Where Are A Whale's Nipples?",4m,"2023-02-23T22:05:50Z"
8StI2PyQCos,"The Moon Isn't As Dead As You Think","7m 42s","2023-02-22T22:00:02Z"
laoSEp7NNzk,"When your stomach can't dissolve it, Coke can. #shorts #science #SciShow",47s,"2023-02-22T20:46:14Z"
"RFdq-RH-zo4","The Bizarre Evolution of Hemipenes (yes...hemipenes.)","10m 20s","2023-02-21T22:00:13Z"
Tn4hG7nLnyg,"Monsoons: Nature’s Air Purifiers","5m 39s","2023-02-20T22:00:12Z"
KzADZYiclyA,"Can worms get tied in knots? #shorts #science #SciShow",34s,"2023-02-20T20:00:04Z"
