"Video ID",Title,Length,Published
2pJY7kBXBb4,"What Are We Really Doing While We Sleep | Compilation","28m 7s","2022-07-25T23:40:06Z"
cIH1FyNTzMw,"Being a New Parent is Hard | Compilation","27m 52s","2022-06-13T23:42:15Z"
"MX3RLigD-UA","Cinema Psychology | Compilation","25m 47s","2022-05-16T19:00:05Z"
TR1jAlI_VYw,"The Psychology of Senses | Compilation","33m 36s","2022-04-11T19:00:07Z"
LNBXhocsQyY,"Tune Into Psychology | Compilation","22m 17s","2022-03-14T19:00:30Z"
uhCxUsSlcPU,"The Stages of a Failed Relationship | Compilation","37m 43s","2022-02-15T00:24:57Z"
udZqhQO7nAc,"Your Most Burning Psych Questions | Compilation","40m 33s","2021-12-30T20:00:29Z"
duPUrUuofI0,"Why Is It So Hard to Make a Decision?","5m 41s","2021-12-23T20:00:21Z"
XzLgw2Y8gNw,"Can This AI Hear Alzheimer’s on the Phone?","6m 20s","2021-12-16T22:07:35Z"
"nAC5wImVF-4","Your Nose Does More Than You Give It Credit For","6m 16s","2021-12-09T21:30:43Z"
plUMFlryKDc,"How to Get Things Done by NOT Doing Them | Compilation","26m 36s","2021-12-02T20:00:19Z"
x06dB_jxsEk,"How Our Brains Learn Consciousness","5m 51s","2021-11-25T20:00:11Z"
27Rlcu1C9HE,"Your Brain on Psilocybin","6m 28s","2021-11-18T20:51:49Z"
pfIG7gkuDZ4,"The Taste of Color","6m 46s","2021-11-11T20:00:11Z"
qeZpkXOWKt0,"Your Brain and Stress | Compilation","28m 22s","2021-11-04T22:57:14Z"
_oDqdfVNrxc,"How Self Care Can Save the Environment","5m 26s","2021-10-30T19:00:11Z"
OYGp9JHPrTU,"Dopamine Isn’t Just a Happy Chemical","4m 41s","2021-10-29T22:37:54Z"
0_uegbXrYtU,"What Squids and Frogs Taught Us About How Brain Cells Talk","6m 8s","2021-10-22T22:45:42Z"
eTKfyKKLQPU,"Have You Seen That Face Before?","5m 14s","2021-10-08T21:29:10Z"
237yhd2YxNc,"The Sound of Your GPA Slipping Away","5m 53s","2021-09-30T19:26:48Z"
mHVnhtuJNuE,"What’s In Your Brain? | Compilation","36m 56s","2021-09-16T19:00:11Z"
"S5KktZb-zWo","Are Your Eyes Part of Your Brain?","6m 38s","2021-09-09T21:15:13Z"
2dL4ebhPfX4,"Is Mind Control Possible? | Compilation","33m 54s","2021-09-02T19:00:01Z"
tfh84jUUDxE,"Remote Control Brain Receptors","8m 2s","2021-08-24T23:04:35Z"
l1foR2yo_70,"Is Teletherapy Really Effective?","5m 26s","2021-08-12T19:48:09Z"
edrqQHEbuLw,"Getting Free Serotonin from Nature | Compilation","23m 16s","2021-07-29T19:00:09Z"
BxPQ9bFfEP0,"The Human Neocortex Isn’t as Special as We Thought","6m 6s","2021-07-22T19:00:05Z"
m6BALyClWyg,"Do we have more than 5 senses?","5m 20s","2021-07-15T20:18:13Z"
2IQ3d8TIgZA,"The Tiny Molecule Responsible for Startle Syndrome","7m 5s","2021-07-08T22:31:56Z"
8c0HMbgJ2oc,"This Is Your Brain On Food | Compilation","33m 3s","2021-07-01T23:07:46Z"
EZyswO7Is10,"Your Brain on Retail Therapy","4m 55s","2021-06-24T20:14:13Z"
mv8y_cxegyI,"Why YOU Should Take a Break to Watch This Video","4m 47s","2021-06-17T19:00:24Z"
dRiuhK4a9xE,"This Is Your Brain on Language | Compilation","31m 5s","2021-06-10T19:00:06Z"
"AYLU-HiUPAQ","Why You Think You Look Better in Selfies","5m 28s","2021-06-03T19:00:03Z"
"nanW2-dSXms","The Overlap of Autoimmunity and Mental Health Conditions","7m 10s","2021-05-27T20:40:03Z"
cek02jB5eI8,"The Neuroscience of Tongue Twisters","5m 30s","2021-05-20T19:00:09Z"
Uch5QxkYeX4,"Why Do We Have Bright Ideas in the Shower?","5m 45s","2021-05-13T19:00:12Z"
91rAPnJMtdQ,"The Secret World of Temper Tantrums","6m 50s","2021-05-06T19:00:02Z"
6zynZzSUZlc,"Communication While Dreaming","6m 12s","2021-04-29T19:00:04Z"
IQoqYth4oWY,"Video Games Hack Your Brain (In a Fun Way)","4m 48s","2021-04-22T21:01:59Z"
AWwvgNWLWdE,"What Neuroscience Can Learn from Meditation","6m 24s","2021-04-15T19:00:02Z"
3AqKU5ktBG4,"Meet Your Microglia: Your Brain's Overlooked Superheroes","9m 42s","2021-04-08T19:01:03Z"
mt_fM0zTrjo,"Is That Shiny Thing Pretty, or Are You Just Thirsty?","6m 11s","2021-04-01T19:00:08Z"
BFUTRU5JwLk,"How to Reprogram a Brain Cell","5m 40s","2021-03-25T22:00:36Z"
qo18ijOMgF8,"Why Does Crying Make You Feel Better?",6m,"2021-03-18T19:00:22Z"
id987QbZmug,"Why Does Lithium Help Bipolar Disorder?","5m 27s","2021-03-11T20:00:09Z"
K4A66EOfLWQ,"How Fast Food Can Make You More Impatient","6m 45s","2021-03-04T22:49:28Z"
yvvdT75eNng,"The Science Behind Our Niche Interests | Compilation","26m 56s","2021-03-01T22:56:02Z"
xPecMsFmEm4,"Is Coding a Math Skill or a Language Skill? Neither? Both?","5m 45s","2021-02-25T22:09:18Z"
yF5ulbytZE4,"Why a Bad Series Finale Ruins the Whole Show","5m 8s","2021-02-18T20:21:05Z"
xMFs0ijNmJg,"Beautiful Baby Brains! | Compilation","29m 13s","2021-02-11T20:00:28Z"
sSlM2yV7ZcM,"You Read More Slowly As You Get Older — Here's Why","6m 25s","2021-02-04T23:40:24Z"
Q4lRRm9v3Bk,"Why You Can’t Listen to Music While You Work","5m 30s","2021-01-28T20:00:11Z"
oJLfygtRy0A,"Do ""Game Faces"" Really Work in Sports?","6m 3s","2021-01-22T00:29:54Z"
s6FuBFZc2SE,"Why Do We Have Such Long Childhoods?","4m 54s","2021-01-14T20:00:08Z"
sCj6EwXSO50,"How Music Can Heal the Brain","6m 33s","2021-01-07T20:00:29Z"
rGxyKCwzxkM,"Why We Respond to Disasters with Altruism","6m 39s","2020-12-31T20:00:09Z"
0P1qO8e3BAc,"5 Psychology Videos to Prep for Next Semester | Compilation","28m 29s","2020-12-24T21:15:21Z"
tezaNSrv3tw,"This Jawless Fish Could Help Treat Brain Diseases","5m 30s","2020-12-17T20:00:07Z"
gkI551rjVzc,"The Dark Side of Disgust","6m 11s","2020-12-10T22:13:57Z"
d_LqlsEyRvQ,"Why You Shouldn't Always Trust Your Gut | The First Instinct Fallacy","5m 2s","2020-12-03T20:00:05Z"
uJ1AT8sPJXk,"Magic Isn't Magic: It's Psychology","6m 45s","2020-11-26T20:00:16Z"
IEsMpgdPeY4,"Why Are Some U.S. Cities Declaring Racism a Public Health Crisis?","8m 25s","2020-11-19T22:25:49Z"
"d4aD-epti4c","Why It's So Hard to Admit You're Wrong | Cognitive Dissonance","5m 31s","2020-11-12T20:00:09Z"
vxawgQnWCBc,"How Fake Internet Accounts Divide Us and How to Stop Yourself From Falling for Them","5m 41s","2020-11-05T23:23:07Z"
IqE3YjstENg,"Why Ouija Boards Are So Convincing","5m 22s","2020-10-29T22:26:32Z"
ROuhS5vEJQ0,"How Paintings Help You See the World Differently","6m 3s","2020-10-22T19:00:03Z"
78RhBJAEAtk,"Identity Politics: How All Your Identities Sway Your Vote","6m 27s","2020-10-15T19:00:02Z"
8NYaDNK0xvM,"How Political Questions Mess with Your Brain","6m 20s","2020-10-08T19:16:24Z"
A91tvp0b1fY,"We Don't All Have a ""Mind's Eye"" | Aphantasia","6m 36s","2020-10-01T20:16:02Z"
LaX2Db9syRg,"How Losing Your Job Changes You","5m 33s","2020-09-24T19:00:03Z"
"4nq-g1BXkt8","How Psychics Exploit Our Cognitive Biases","5m 14s","2020-09-17T19:00:00Z"
ULdW78vnRQs,"Why Is It So Hard to Remember Things Right Now?","5m 2s","2020-09-10T19:00:05Z"
xsGJkSDtLvo,"Studying the Brain with... Quantum Mechanics?","11m 34s","2020-09-03T21:39:20Z"
2IkBJogw5G0,"Why We Love Movie Villains (According to Psychology)","6m 40s","2020-08-27T20:28:50Z"
jwwr5zuaW9o,"3 Friendly Robots Improving Our Social Lives","5m 7s","2020-08-20T20:17:37Z"
7gvfDB5_cz4,"What Whistled Speech Tells Us About How the Brain Interprets Language","6m 31s","2020-08-13T19:00:02Z"
xq7tSzfjolE,"5 Myths You've Probably Seen on TV","27m 56s","2020-08-06T23:33:18Z"
__igs6RhSXk,"How to Write Directly on the Brain","5m 32s","2020-07-30T19:00:10Z"
I3MOsc6DDN0,"Why Do Some Words Sound So... Lumpy?","6m 10s","2020-07-27T21:18:43Z"
"MOtrHV-vTn8","Forget Angry: Here’s How Hunger Makes You Impulsive","5m 58s","2020-07-16T19:24:08Z"
5IfuwgI95tI,"Why Do You Always Have Room for Dessert?","6m 21s","2020-07-09T20:29:32Z"
"-JcfEnagvRk","Why You Don't Really Know the Size of a Walrus","6m 18s","2020-07-02T19:04:07Z"
