"Video ID",Title,Length,Published
8qyFAa2T0vs,"The Last Total Solar Eclipse","3m 4s","2023-02-17T22:00:03Z"
MV1hNtkTYQE,"Why Did 38 Satellites Fall Out of the Sky?","7m 7s","2023-02-14T22:00:12Z"
xPFqWkUx0NI,"Astronomy’s Unsung Hero is a Plain Ol’ Aluminum Ball","6m 38s","2023-02-08T22:00:33Z"
gYxDMReAOmk,"The Fraught History of Re-Usable Rocketry","6m 21s","2023-02-03T22:24:06Z"
UAApe31cFvk,"We Don’t Know Why Astronauts Get Motion Sick","6m 58s","2023-01-31T22:00:20Z"
"wsOXT8-ALtY","The Biggest Star In The Universe Is Too Small","7m 10s","2023-01-27T20:00:16Z"
GLURSGpgahQ,"This Toxic Liquid Telescope from the 1850s Is Finally Useful","6m 55s","2023-01-24T20:00:04Z"
RQvZt2VmPtc,"JWST: Looking Beyond The Pretty Pictures","7m 38s","2023-01-20T22:28:54Z"
nO233LsL7lc,"Is Our Solar System Missing Moons?","6m 41s","2023-01-17T20:03:21Z"
_rT2Qj_1vAM,"The Future of the Search for Life","12m 21s","2023-01-14T00:24:11Z"
5zqE9ffrCfk,"Eavesdropping On Other Worlds","6m 30s","2023-01-10T20:00:02Z"
s9zVV3o9cR8,"Atlas: The Little Rocket That Still Can","6m 54s","2023-01-06T21:30:11Z"
07FQ4_YzUN0,"What's Going to Space in 2023?","6m 13s","2023-01-03T20:35:20Z"
8IeXcHj9yFI,"Did Earth's Continents Come from Space?","5m 54s","2022-12-27T21:16:03Z"
bNx1OoOM39M,"A Big Bang Beginner’s Guide | Compilation","15m 19s","2022-12-23T20:00:11Z"
"s8FcuXUZU-8","Space Superlatives of 2022","7m 9s","2022-12-20T23:55:46Z"
2eTKPCcmawQ,"This Year in Space News (That Isn't JWST)","5m 46s","2022-12-16T20:37:03Z"
gng6rop6Ii0,"Five Of The Biggest, Baddest Supernova Varieties","11m 16s","2022-12-13T23:00:18Z"
k8WmJSwPCPs,"How Can Stars Quake Without Tectonic Plates? (And Other Seismic Mysteries) | Compilation","31m 16s","2022-12-09T21:53:51Z"
"oE-ffViGcqU","How Blocking the Sun Makes Mars Hotter","5m 30s","2022-12-06T20:00:28Z"
IJ3fMYH_1BQ,"How Do You Find the Moon’s Best Picnic Spot?","5m 27s","2022-12-02T21:59:10Z"
"2_-ivpODiyk","Are Space Sounds Lies?","7m 55s","2022-11-30T00:31:10Z"
gmqMPrj3F1U,"What A Wonderful Universe | Compilation","29m 23s","2022-11-25T20:00:14Z"
LkxzrHLucco,"Earth’s other moons","6m 19s","2022-11-22T20:12:16Z"
67DViw0xOZg,"Why Does Physics Love Donuts? | Compilation","14m 17s","2022-11-18T20:00:02Z"
"BexmYmcW-Hs","Early Earth Microbes May Have Eaten Raw Meteorites","4m 20s","2022-11-15T20:00:04Z"
JNRGe83ergw,"Holes In Space That Aren't Black | Compilation","15m 15s","2022-11-11T23:45:32Z"
nbnks2NXryY,"Life on an 8-Hour Planet","5m 20s","2022-11-08T22:10:00Z"
Fd1COeZVVkg,"In Space, Anything Is Possible | Compilation","16m 32s","2022-11-04T19:32:27Z"
M5QxBowETq8,"The Spacecraft That Wasn't Designed To Land, But Did","6m 9s","2022-11-01T19:27:26Z"
nuJivyMTsu4,"How to Make a Dark Matter Planet","6m 29s","2022-10-28T20:41:36Z"
K7fSyuSlp68,"Great Minds: Conny Aerts, the Starquake Professor","5m 39s","2022-10-25T19:00:07Z"
uzN_jYdxQQY,"Why Space is the Place For Halloween Lovers | Compilation","17m 3s","2022-10-21T20:47:43Z"
xVe0dxij1UA,"Why are Astronomers So Bad at Naming Things?","6m 39s","2022-10-18T22:56:23Z"
vd6KGw4y_dw,"How to Supersize a Telescope | Compilation","18m 37s","2022-10-14T19:00:25Z"
pys167VJhcE,"How Do You Date a Star?","6m 7s","2022-10-12T00:43:47Z"
MfvE8elQpFU,"Meet the Milky Way | Compilation","36m 44s","2022-10-07T21:14:36Z"
CVcjflM2ER4,"The One-Second Success Story of Venera 7","5m 32s","2022-10-04T23:49:01Z"
bEPSM7b9wMg,"Goodbye, SOFIA, the Telescope That Actually Flew","5m 28s","2022-09-30T23:41:52Z"
LKNOMpQgS_Y,"Goodbye SOFIA, Thanks for All the Discoveries","6m 15s","2022-09-27T22:58:57Z"
AUAEBjlROWQ,"Where Did Water Come From?","12m 9s","2022-09-27T20:38:04Z"
T30BOkG_bdg,"What Will It Be Like To Live on the Moon? | Compilation","17m 23s","2022-09-23T20:22:53Z"
"Aiz1VDXb-yY","How to Move the Sky","5m 48s","2022-09-20T19:32:39Z"
FAXrky7MwlM,"Putting Pulsars To Work | Compilation","19m 37s","2022-09-16T19:04:26Z"
gxsOTHU8JBw,"New and Ancient Lessons from Lunar Eclipses","5m 57s","2022-09-13T20:07:18Z"
_7k_Wdz3_zg,"Where Did Mercury’s Spots Come From?","5m 21s","2022-09-06T21:44:03Z"
01lhrppsiaY,"The Ominous Reason Phobos Has Lines on It","5m 37s","2022-09-01T21:22:35Z"
YXu6emiprTk,"Don’t Look At the Sun! …Unless | Compilation","14m 51s","2022-08-30T20:52:28Z"
