"Video ID",Title,Length,Published
aququFO3Ts0,"La operación militar rusa en Siria | DW Documental","42m 26s","2023-03-22T20:00:01Z"
ykr4XiO_v7Q,"Ucrania: vivir en guerra | DW Documental","28m 26s","2023-03-21T20:00:15Z"
DDYO87Ap79k,"¿Es vegano el futuro de la alimentación? | DW Documental","31m 49s","2023-03-19T20:00:04Z"
Z19DfnM90Mg,"En los campos de diamantes de Sudáfrica | DW Documental","42m 26s","2023-03-17T20:00:19Z"
"-mR4kAJVBpo","Mozambique: país de tesoros, pobreza e insurrecciones | DW Documental","42m 26s","2023-03-16T20:00:00Z"
YJIXGjMOClo,"Cambio climático: Países Bajos protege su litoral | DW Documental","28m 26s","2023-03-14T20:00:10Z"
E4Ktsqk8yAw,"El consumo de carne y sus alternativas | DW Documental","32m 21s","2023-03-12T20:00:03Z"
"0-AVtjmA5VU","La generación Z y las redes sociales - La generación ralentizada | DW Documental","51m 56s","2023-03-11T20:00:01Z"
nVERa8sSML4,"El cobre y el lado oscuro de la transición energética | DW Documental","42m 26s","2023-03-10T20:00:18Z"
5RioraxKl_M,"Los traficantes de personas hacen un lucrativo negocio en Mauritania | DW Documental","42m 26s","2023-03-09T20:00:01Z"
g_26b5omq2k,"¡Al espacio! - La primera mujer alemana en la Estación Espacial Internacional | DW Documental","42m 26s","2023-03-08T20:00:12Z"
uOjcA7t6B8M,"Pesticidas prohibidos - Veneno de exportación europeo | DW Documental","51m 56s","2023-03-05T20:00:22Z"
422YfgE7FHY,"Mosad - El servicio de inteligencia israelí | DW Documental","42m 26s","2023-03-04T20:00:02Z"
ixiLi8JDTbw,"La brutal ley del aborto en El Salvador | DW Documental","42m 26s","2023-03-02T20:00:24Z"
3zTYosJteJ4,"Pastillas contra la depresión - ¿Funcionan los antidepresivos? | DW Documental","42m 26s","2023-03-01T20:00:01Z"
gpXiurShzOY,"Ética y consumo de carne | DW Documental","32m 15s","2023-02-26T20:00:14Z"
ga7irOVIkVQ,"Infancia en Mongolia - Entre la tradición y los nuevos comienzos | DW Documental","42m 26s","2023-02-25T20:00:11Z"
Uhq4XIWxSDU,"Niños en la guerra de Ucrania | DW Documental","28m 26s","2023-02-25T14:00:16Z"
GQ4iMNvZUdw,"Batalla propagandística por Ucrania | DW Documental","1h 29m 44s","2023-02-24T19:00:09Z"
G8ti4fmc3L4,"Rusia en guerra - ¿qué piensa la sociedad rusa? | DW Documental","28m 26s","2023-02-24T14:00:13Z"
