"Video ID",Title,Length,Published
"6wU-IFAEP8w","Development Squad v Arsenal U21 (1-0) | Highlights | PL2","4m 15s","2023-02-27T22:02:34Z"
LNME69yK9_g,"Development Squad v Arsenal U21s | PL2 | LIVE MATCH","2h 8m","2023-02-27T21:24:09Z"
jzFs61XNEGc,"JOAO FELIX & STERLING efforts go unrewarded as Blues lose London Derby | Matchday Unseen","5m 14s","2023-02-27T20:56:57Z"
"vIMw-oFNC3Q","Chelsea v Arsenal (2-0) | Highlights | Women's FA Cup","3m 7s","2023-02-27T12:00:38Z"
"c61yCta-SOQ","Tottenham Hotspur v Chelsea (2-0) | Highlights | Premier League","1m 55s","2023-02-26T22:00:09Z"
TfJpXTEJgTA,"Emma Hayes and Jelena Cankovic react to Women's FA Cup victory over Arsenal","3m 32s","2023-02-26T17:20:34Z"
ljtpPtFv0zw,"'WE NEED TO DO BETTER' | Graham Potter | Tottenham Hotspur v Chelsea PL","2m 22s","2023-02-26T16:37:59Z"
hpOTl5orWEc,"Spurs vs Chelsea | All The Reaction! | Matchday Live","12m 46s","2023-02-26T15:54:10Z"
2WWfU0l8Fj8,"Spurs vs Chelsea | All The Build-Up LIVE | Matchday Live | Premier League","55m 2s","2023-02-26T13:35:10Z"
HfyiV61HFzc,"MUDRYK'S Tantalising Stepovers 🤯 | FELIX On Target 🎯 | Derby Day Preparation 💪 | Cobham Unseen","8m 33s","2023-02-24T19:08:03Z"
"jCr-0dLQV-0","“THE RESPONSE FROM THE PLAYERS HAS BEEN REALLY GOOD” | Graham Potter Press Conference","14m 22s","2023-02-24T15:02:20Z"
h7WkpfCihmo,"🎞 KEPA, BETTINELLI, SLONINA & BEACH | Chelsea Goalkeepers up close at Cobham | Training Day 💪🧤","5m 8s","2023-02-23T14:15:59Z"
GmW6KZPN3Tc,"EXCLUSIVE: CESAR AZPILICUETA RETURNS","1m 17s","2023-02-22T12:48:06Z"
IMxhAZ53p6Q,"Prehabbing For Success | Magdalena Eriksson | Singer Capital Markets","1m 29s","2023-02-21T16:00:08Z"
"ksQbFxF-jfI","Colourful & Bold - Trevoh takes us through his style! | The Pride: Trevoh Chalobah","1m 12s","2023-02-21T13:00:35Z"
EuGhn90IcqI,"STERLING returns as goal line clearances and Ward-Prowse deny BLUES the points","6m 36s","2023-02-19T22:00:54Z"
a1Uls8UvZCo,"Chelsea v Southampton (0-1) | Highlights | Premier League",2m,"2023-02-18T22:00:01Z"
RPyzJQi5j1U,"'IT WAS A REALLY DISAPPOINTING EVENING' | Graham Potter | Chelsea v Southampton PL","2m 35s","2023-02-18T18:15:22Z"
"LWu-7xORR3Q","Chelsea vs Southampton | All The Reaction! | Matchday Live","10m 15s","2023-02-18T17:18:59Z"
Xuq7UzUTWGY,"Chelsea vs Southampton | All The Build-Up LIVE | Matchday Live | Premier League","52m 21s","2023-02-18T14:57:58Z"
av51PHpJu9U,"STERLING, FELIX, NONI, MUDRYK & ZAKARIA lace up for more EPL action! 🔵⚽️","7m 14s","2023-02-17T23:15:42Z"
"ysh-8153vs4","""WE'RE STILL IN THE EARLY STAGES OF VAR"" | Graham Potter Press Conference | Chelsea vs Southampton","10m 12s","2023-02-17T15:15:03Z"
7Y7iwtU6dHE,"Borussia Dortmund v Chelsea (1-0) | Highlights | UEFA Champions League",2m,"2023-02-17T06:52:27Z"
56mWiTA1qIg,"'I THOUGHT WE WERE THE BETTER TEAM' | Graham Potter | Dortmund v Chelsea UCL",43s,"2023-02-15T23:29:54Z"
T82BrpCSxuo,"Borussia Dortmund vs Chelsea | UEFA Champions League | All The Reaction! | Matchday Live","13m 36s","2023-02-15T22:12:23Z"
9ZkX9mCFFU4,"Borussia Dortmund vs Chelsea | All The Build-Up LIVE | Matchday Live | UEFA Champions League","46m 21s","2023-02-15T20:01:20Z"
NwW8eP21PoY,"UEFA Champions League G⚽️⚽️LS so far🔥 #shorts",54s,"2023-02-14T21:00:20Z"
fuTX_f0vCwc,"POTTER & AZPILICUETA'S LIVE PRESS CONFERENCE | UEFA Champions League | Borussia Dortmund v Chelsea","21m 48s","2023-02-14T18:23:49Z"
01qO4kUjuwQ,"CHILWELL, HAVERTZ and GALLAGHER get cosy on VALENTINE'S DAY ❤️","10m 50s","2023-02-14T07:00:00Z"
WVMWjlxN1VY,"Academy Star DERRICK ABU Releases New Music Video 🎵🤩","1m 17s","2023-02-13T08:00:14Z"
XLbOnZvRMRY,"JOAO FELIX SCORES FIRST BLUES GOAL on his return! #WHUCHE","5m 32s","2023-02-12T21:52:28Z"
EDjFRGM9vaA,"When EDEN HAZARD did THIS! 🏈 🤯 #shorts #superbowl",28s,"2023-02-12T10:00:09Z"
hqI5ChkbhZo,"West Ham v Chelsea (1-1) | Highlights | Premier League","1m 50s","2023-02-11T22:00:13Z"
"8ZoiYD-uQHs","'We needed to get that second goal' | Graham Potter & Joao Felix | West Ham 1-1 Chelsea | PL","4m 50s","2023-02-11T15:46:04Z"
LDkAOE8QhJs,"West Ham vs Chelsea | All The Reaction! | Matchday Live","11m 50s","2023-02-11T14:43:07Z"
mYZ7Pvq2sgI,"West Ham vs Chelsea | All The Build-Up LIVE | Matchday Live | Premier League","1h 4m 26s","2023-02-11T12:31:09Z"
zKXpmuBP5OY,"FELIX, ENZO, ZIYECH & MUDRYK 🔥 The BEST Finisher At Chelsea Is...? | Cobham Unseen","6m 32s","2023-02-10T19:00:23Z"
"HrxEYhnHN-I","'JOAO FELIX is a player that can really make a difference for us' | Graham Potter Press Conference","11m 44s","2023-02-10T17:06:28Z"
"I-LbaYIjE24","Who In The Academy Is The TOP BINS King? 👑","1m 13s","2023-02-10T13:29:14Z"
bXXAzIfUTNI,"West Ham v Chelsea (0-7) | Highlights | FA Women's League Cup","5m 43s","2023-02-10T12:00:38Z"
1wchmfe1Kpc,"MUDRYK, MOUNT, FERNANDEZ & FELIX? The Keeper NEVER Stood A Chance 💀 #shorts",23s,"2023-02-10T07:00:00Z"
fa850UEa_e4,"Emma Hayes and Sam Kerr react to victory over West Ham!","3m 32s","2023-02-09T22:09:48Z"
q23oAlIrLyM,"🎞 JOAO FELIX Up Close At Cobham | Training Day 👀💪","3m 26s","2023-02-09T19:47:00Z"
YkZf9CQXB4o,"Top Trades: Eden Hazard 🔝 | Presented by GO Markets #shorts",56s,"2023-02-09T11:30:09Z"
VHKPPrLXK1U,"Sam Kerr's Hotel Checklist 📋 #shorts",31s,"2023-02-08T16:00:15Z"
Ftvb786HwTQ,"DAVID FOFANA Reflects On His Chelsea Debut 😁","1m 21s","2023-02-08T13:45:04Z"
"81e-7ZQYdIg","Lauren James Sails Past Spurs Defence To Secure WSL Victory | Unseen Extra | Presented by trivago","4m 35s","2023-02-07T20:00:03Z"
BfzgKeo1Jyo,"Zećira Mušović Is Just Getting Started 🧤✍️",55s,"2023-02-07T18:00:04Z"
2sB48uIfC8A,"Sam's Italian Australian delicacy 🍝🥪 #shorts",30s,"2023-02-07T17:00:01Z"
uO9GcO1vRe8,"SQUAD BATTLES ⚔️🤣 #shorts",25s,"2023-02-07T12:40:04Z"
"_XMrfpol-mc","Sam Kerr Reveals Her Unusual Pre-match Meal 🤣 | On The Road - Episode 3 | Presented by trivago","12m 15s","2023-02-06T16:00:18Z"
IzfW0S8reWc,"Tottenham v Chelsea (2-3) | Highlights | Women's Super League","4m 15s","2023-02-06T12:00:12Z"
