"Video ID",Title,Length,Published
"_BK-FWNIYb8","Never change Robbo! #shorts #lfc",24s,"2023-03-04T09:00:31Z"
"Fq2E-kRlImc","Luis Diaz getting back! 💪 #shorts #lfc",47s,"2023-03-03T23:23:59Z"
cK1fPWuysXg,"Liverpool goals against Man Utd at Anfield | Suarez, Torres & goalie celebrations!","7m 26s","2023-03-03T20:00:17Z"
"DrmWA-AyVlg","Inside Training: All-action session and brilliant two-touch shooting challenge ahead of Man Utd","11m 12s","2023-03-03T17:30:11Z"
zXEn7NYnuzE,"Preview Show: Liverpool vs Manchester United",48m,"2023-03-03T16:55:12Z"
qdJGDu5ZpqI,"Gakpo: Competition for places will improve us all","2m 28s","2023-03-03T16:31:02Z"
QJbCsQY7o4w,"Matchday Live: Liverpool vs Manchester United | Premier League build up from Anfield",livestream,"2023-03-03T11:35:25Z"
_h3P_0PFUyA,"Jürgen Klopp's pre-match press conference | Liverpool vs Manchester United","22m 31s","2023-03-03T09:50:45Z"
vSDE1RUI64w,"SHOWREEL: Virgil van Dijk's dominant display against Wolves","2m 29s","2023-03-03T06:45:02Z"
"EBL-dVwUD1c","Inside Anfield: Liverpool 2-0 Wolves | The BEST view from the tunnel as Salah & van Dijk win it!","13m 51s","2023-03-03T00:00:08Z"
IgB8O6ZEaBk,"Extended Highlights: Liverpool U19s 1-1 Porto (Reds win 6-5 on penalties)","10m 51s","2023-03-02T17:36:13Z"
lgdhh_643_o,"Highlights: Liverpool U19s 1-1 Porto (6-5 on penalties)","2m 39s","2023-03-02T17:34:03Z"
ZYqhZZz3At8,"🎶 And we watch him score! #vvd #lfc #shorts",16s,"2023-03-02T16:40:03Z"
d8NS1toiTyo,"Cleaning up 🧹 #Bajcetic #LFC #Shorts",11s,"2023-03-02T08:00:16Z"
m17eqARnFIE,"Salah finishes team move 🤩 #LFC #shorts",24s,"2023-03-02T00:04:47Z"
