Video ID,Title,Length,Published
tq7wArik4Yo,Scary Things Hikers Have Encountered in the Woods,13m 33s,2023-03-16T21:00:20Z
ncczFWE-HsM,5 Creepy True Cemetery Horror Stories,21m 4s,2023-03-09T22:00:30Z
3j6HYqR8u5k,3 Craigslist Ads With Disturbing Backstories,11m 35s,2023-03-04T01:30:02Z
Bmr1-AvmEfw,3 Disturbing TRUE Farm Horror Stories,15m 2s,2023-02-23T21:00:04Z
Pntd3pNed-A,3 Really Creepy TRUE Arcade Horror Stories,14m 33s,2023-02-11T00:00:23Z
bv4ABag5HbI,5 Disturbing Voicemails with Backstories (Vol. 2),12m 56s,2023-02-04T00:00:50Z
xO-F3VeI6DY,3 Scary TRUE Stories That Happened While Watching MR. NIGHTMARE,13m 21s,2023-01-27T20:00:28Z
Wh3MYrj5EEA,4 Terrifying TRUE Night Drive Horror Stories,18m 47s,2023-01-21T19:00:16Z
XJE0iR9hB3k,3 Disturbing TRUE Airbnb Horror Stories (Vol. 2),18m 34s,2023-01-12T23:00:25Z
7WHl6cyTUaU,3 Scary TRUE Crazy Ex Horror Stories,16m 5s,2023-01-11T00:30:01Z
SyNN6l8I2eg,Scary Videos Caught on RING Cameras (Vol. 5),9m 40s,2022-12-29T21:15:01Z
ZGDwT_o5ZrI,Scariest Snapchats People Have Received,13m 41s,2022-12-24T19:15:00Z
nj2nQGUcRb8,3 Scary REAL Christmas Horror Stories,13m 30s,2022-12-15T01:08:31Z
jeTU79ypmgQ,3 Disturbing True Hospital Horror Stories,17m 32s,2022-12-13T00:00:12Z
LYwxGrvjrOI,Disturbing Cases of REAL Killer Santas,17m 6s,2022-12-07T21:00:13Z
4QLfw0jRMA4,Most Disturbing Cave Videos,11m 32s,2022-12-01T23:33:34Z
P5y2vt1p12o,3 Disturbing True Traveling Horror Stories,15m 6s,2022-11-30T05:00:56Z
ge-IdO0kxQo,3 More Text Conversations with Disturbing Backstories,12m 38s,2022-11-17T22:00:30Z
AUYR8nU9MIA,3 Disturbing True New House Horror Stories,15m 18s,2022-11-10T01:30:02Z
WXGKPtgGrx0,3 Creepy Disappearances you Haven't Heard Before,11m 9s,2022-11-04T00:30:08Z
nzHlOqvxw5g,6 of my Favorite Scary True Stories Through the Years,21m 25s,2022-10-27T22:45:01Z
6pXltlv6Fk4,3 True Scary Stories with Footage,11m 36s,2022-10-24T23:00:02Z
3juuxgzutNs,Horrifying Haunted Houses That Take it too Far,12m 35s,2022-10-21T21:15:00Z
Qg9uDbCImXQ,3 Truly Unsettling Halloween Horror Stories,12m 32s,2022-10-18T21:00:25Z
IcAoqTl4Pjc,3 TRUE Disturbing Fall Horror Stories,13m 37s,2022-10-14T21:00:07Z
6jdlRl-NHEA,Disturbing Dascham Videos with Backstories,13m 56s,2022-10-13T21:15:00Z
GQUavW3NF2o,Disturbing Cases of People Disappearing into the Woods,16m 24s,2022-10-07T21:00:30Z
eZL6UHrGHHM,Compilation of Stories That Genuinely Freaked me out the First Time I Read Them,17m 41s,2022-10-04T21:00:31Z
_6RHo2DdJkQ,3 Unnerving True College Dorm Horror Stories,14m 40s,2022-10-02T20:30:02Z
SUCaXBH9cdg,Horrifying Things that Happened on Horror Movie Sets (Part 2),9m 39s,2022-09-21T21:00:08Z
Rlvll7JUspI,3 Scary TRUE Babysitting Horror Stories,12m 28s,2022-09-16T20:00:09Z
bMz2-_MT8N0,Scary Videos Caught on Ring Cameras (Vol. 4),9m 21s,2022-09-13T21:00:17Z
eVQeNqHSewU,4 Disturbing REAL Diary Entries,13m 47s,2022-09-10T22:00:30Z
kYtD0AEVVxE,3 Disturbing TRUE Horror Stories,13m 37s,2022-09-09T23:30:05Z
LMZJsmHEN9s,Disturbing Mysteries Still Unsolved in 2022,11m 8s,2022-08-24T21:00:09Z
Wdp7CF9j2Z0,3 Scary TRUE Summertime Horror Stories,13m 3s,2022-08-19T20:00:06Z
OQCUTwpTetc,Horrifying Things That Happened on Horror Movie Sets,8m 57s,2022-08-05T21:00:11Z
Zj96MSKcON4,YouTubers who Turned into KILLERS,14m 10s,2022-07-29T21:00:16Z
RiyOXhgu6-g,3 Scary TRUE Thunderstorm Horror Stories,15m 24s,2022-07-15T21:15:00Z
r-ViIM4eZiI,Scary Videos Caught on Ring Cameras (Vol. 3),13m 52s,2022-06-29T21:00:33Z
hODHtoSVcyM,3 Creepy True BEACH Horror Stories (Vol. 2),13m 21s,2022-06-29T21:00:32Z
mGRE5011oag,3 TRUE Disturbing Police Horror Stories,14m 22s,2022-06-07T21:00:17Z
97ZOphfQHUE,Scariest Things that Happened to School Buses,11m 31s,2022-05-24T23:00:03Z
6WUqb4wEGmA,Text Conversations with Disturbing Backstories,12m 15s,2022-05-18T00:03:59Z
DuBVXXntYPA,3 Disturbing True Hostel Horror Stories,15m 26s,2022-05-06T22:00:04Z
vWX1kn_Hr6M,4 Scary TRUE Highway Horror Stories (Vol. 2),16m 36s,2022-04-28T01:30:09Z
Vvy66yWT-DY,Disturbing REAL FOOTAGE Recorded in Crawlspace,8m 25s,2022-04-20T23:30:04Z
g_Sb6QDVPLo,5 Disturbing TRUE Home Alone Stories,22m 1s,2022-04-15T00:45:01Z
PsAere8s7Ac,5 Most Disturbing Videos Taken in Attics/Roofs,11m 12s,2022-04-12T22:00:16Z
-TeyHLd5J5M,3 Disturbing Children's Drawings with Backstories (Part 2),12m 18s,2022-04-08T21:00:00Z
7-6OivmgXY0,3 Disturbing TRUE Airbnb Horror Stories,13m 34s,2022-03-31T22:00:04Z
b1Nv2PHk3Aw,3 True Scary Stories that Happened on FaceTime,14m 3s,2022-03-16T21:15:02Z
71mQzfbByVw,3 Videos with Disturbing Backstories,13m 2s,2022-03-11T22:00:04Z
A_6JOEHKtGU,3 Disturbing True Neighbor Horror Stories (Volume 2),15m 5s,2022-03-03T00:45:00Z
GMfyhOjuN4I,3 Disturbing 911 Calls with Backstories,18m 38s,2022-02-24T23:35:30Z
KnKcOzNC32o,10 Terrifying True Scary Stories (Volume 8),29m 4s,2022-02-18T21:58:42Z
x3ZwEBckieo,4 Disturbing True Instagram Horror Stories,19m 18s,2022-02-10T00:15:02Z
PKcIi3FMPQc,3 Photos with Really Creepy Backstories,11m 25s,2022-02-02T22:00:10Z
0iAbxGxxU-Y,3 True Scary Field Trip Horror Stories (Vol. 3),12m 11s,2022-01-21T22:00:01Z
cW5ks5EHpJU,3 Creepy Emails with Disturbing Backstories,11m 5s,2022-01-13T21:00:13Z
peBcCL9Cjv0,5 of the Creepiest Unsolved Mysteries,9m 21s,2021-12-30T02:00:10Z
E2Fir3aMFJM,7 Creepy things that Happened on New Year's Eve,10m 29s,2021-12-26T18:30:10Z
Tcqagp1AF-g,3 Disturbing True Christmas Horror Stories,14m 38s,2021-12-16T21:15:01Z
zUy6aEZTkWE,5 Freaky Videos Recorded by RING Cameras (Vol. 2),10m 59s,2021-12-08T23:30:11Z
ZaUUueQWPjI,3 Disturbing True Office Horror Stories,14m 10s,2021-11-24T22:00:10Z
g8VQMnc4xAM,8 Creepy Unexplainable Phone Calls,11m 44s,2021-11-10T22:00:14Z
yV-OwDKdNlQ,3 Disturbing TRUE Motel Horror Stories,12m 53s,2021-11-01T23:00:33Z
j302qmRzPAo,3 True Trick-or-Treating Horror Stories,13m 49s,2021-10-24T21:00:25Z
kGVJ9tSb1AE,3 Scary REAL Las Vegas Horror Stories,14m 27s,2021-10-21T15:17:18Z
QYb07iam3ao,8 Unsolved Mysteries that Happened on Halloween,12m 42s,2021-10-12T21:00:22Z
-Ba4QVAE4q0,3 True Disturbing October Horror Stories,13m 29s,2021-10-05T23:00:01Z
jrIzvmEfuFs,5 Disturbing Voicemails with Backstories,12m 34s,2021-09-29T21:00:32Z
IFNuAgcL7bU,3 True Scary Horror Stories,13m 40s,2021-09-14T23:00:05Z
wsSgAUoPmu0,3 Internet ads with Sinister Backstories,11m 31s,2021-09-04T02:00:09Z
y4bbgxwHQ5s,5 Freaky Videos Recorded by RING Cameras,11m 17s,2021-08-23T21:00:19Z
z_lTP7oVOyQ,3 True Scary Wedding Horror Stories,14m 12s,2021-07-30T01:45:01Z
fVdI06oBsNA,3 Tinder Matches from Hell with Backstories,11m 57s,2021-07-22T23:30:02Z
zm5B4IjYlaE,3 Disturbing Children's Drawings with Backstories,9m 52s,2021-07-02T23:00:28Z
xQRXfTz4vl0,3 Real Mountain Climbing Horror Stories,13m 59s,2021-06-21T21:30:06Z
hPWu7UAovxk,3 Text Conversations with Creepy Backstories,9m 22s,2021-06-11T22:30:08Z
OvQAz2KbgoI,3 Nightmarish True Honeymoon Stories,14m 22s,2021-06-04T21:30:01Z
_lxv4MWTpZU,3 TRUE Uber/Lyft Horror Stories,12m 58s,2021-06-03T21:30:06Z
Pbqi90bWe3w,3 Disturbing True Warehouse Horror Stories,13m 31s,2021-05-19T21:00:23Z
zvHOCW6_n5o,6 Paranormal Videos to Keep you up at Night,13m 2s,2021-05-14T21:30:03Z
I2jvfPQ5wvs,3 Disturbing True Snapchat Stories,17m 37s,2021-05-03T01:00:03Z
c2eWuv5n1FU,3 Disturbing TRUE Parents Horror Stories,11m 31s,2021-04-24T21:00:10Z
gCLER7W8D9Q,3 Scary TRUE Military Stories,13m 44s,2021-04-15T21:00:25Z
GBbTb2Lwbn4,3 Disturbing TRUE Scary Stories,13m 59s,2021-04-08T02:45:00Z
KQuji9RRBBc,3 Scary TRUE Lockdown Horror Stories (Vol. 4),12m 4s,2021-04-08T02:45:00Z
u69F_lVAtj0,3 Disturbing TRUE Hacker Horror Stories,12m 47s,2021-03-25T21:00:10Z
bBSYrsz-_S0,3 Disturbing TRUE Dog Walking Horror Stories,12m 50s,2021-03-10T22:00:17Z
2g-kZHKRqFA,4 Scary TRUE Craigslist Stories,14m 11s,2021-02-25T22:00:00Z
_-tvLFQr5_8,3 Disturbing TRUE Movie Theater Stories - Vol. 2,12m 47s,2021-02-20T22:00:06Z
C-FRvKpEsfc,3 Freaky TRUE Dating App Horror Stories,13m 33s,2021-02-15T22:00:10Z
rtmtXBKJD1s,3 Scary TRUE Sneaking Out Horror Stories,12m 55s,2021-02-05T22:30:02Z
qLh9IMnBP6w,3 Scary TRUE Crazy Best Friend Horror Stories,13m 35s,2021-01-31T01:00:07Z
MoLnt2zK03M,3 True Ding-Dong Ditch Horror Stories,13m 28s,2021-01-21T22:00:04Z
I5U-uDsvrxs,4 True Scary Stories with Footage,12m 3s,2021-01-08T23:30:01Z
fhPKZ3E58ZE,2 Scary True New Year's Eve Stories to end 2020,9m 48s,2020-12-28T20:30:02Z
bjDICRoTx6Q,4 True Christmas Time Horror Stories,14m 2s,2020-12-23T17:15:04Z
XQstZ6cmTdw,3 Chilling True Blizzard Stories (Vol. 2),12m 9s,2020-12-15T20:15:03Z
irbi6KuF61g,2 True Scary Thanksgiving/Black Friday Stories,10m 2s,2020-11-26T20:00:04Z
v15Gvk7oCFQ,3 True Scary Biking/Bicycle Stories,12m 50s,2020-11-26T01:00:17Z
7-Z7l7IQHWc,6 Really Creepy Unexplained Mysteries,7m 19s,2020-11-26T01:00:00Z
MpS0zGpamGI,3 Scary TRUE Pizza Delivery Horror Stories,11m 6s,2020-11-11T03:00:07Z
QsgkuhLeG2c,3 Disturbing True Horror Stories,12m 27s,2020-11-07T01:04:46Z
a4q-3VHHc1k,12 Most Disturbing Craigslist Ads,8m 59s,2020-10-29T21:15:00Z
x834_BKu7OY,3 True Disturbing Fall Horror Stories,11m 59s,2020-10-23T01:00:04Z
iy5w5h1sCL8,3 True Scary Halloween Stories,13m 1s,2020-10-17T20:00:03Z
wkS18U-E8cU,4 True Scary Stories with Footage,11m 49s,2020-10-14T00:15:04Z
avBrGVOeTYQ,3 Disturbing True Retail Stories,11m 48s,2020-10-06T01:45:00Z
