"Video ID",Title,Length,Published
z2sEGSbfGCw,"Airline: Desperate Passenger Shows Up for Flight DAYS Early (S2, E4) | Full Episode","21m 19s","2023-02-10T23:00:44Z"
EtLx9OH6AN8,"Genealogy Website Leads to Killer's Confession 39 YEARS After Murder | Cold Case Files | A&E","13m 47s","2023-02-10T20:33:20Z"
"4YRY-KtXUUw","Steve Austin #EnterTheRing Challenge! #WWEonAE | A&E #shorts",27s,"2023-02-10T19:02:28Z"
jlAhDjz6vgI,"Court Cam: Personal Injury Attorney CURSES A LOT to Make His Point | A&E","3m 14s","2023-02-10T18:00:21Z"
85Zocb2O6Oc,"Nightwatch: Top 5 Luckiest Patients | A&E","22m 18s","2023-02-10T17:00:05Z"
KJ9fqGyXJ7c,"Billy the Exterminator: Raccoon Terrorist & Massive Hive of Bees (S3, E13) | Full Episode","21m 38s","2023-02-09T23:00:18Z"
kUKcUuNohzQ,"WILD Late-Night Brawl as Pizza Workers Pummel Customers | Neighborhood Wars | A&E #shorts",50s,"2023-02-09T21:00:19Z"
"h-XQ0u9yf-w","Detectives Back Murder Suspect into a Corner with SURPRISE Revelation | The Interrogators | A&E","5m 30s","2023-02-09T20:00:12Z"
vbpKTzPZNI0,"Patrol Officer Investigated for Dead Teenager Found in San Diego Ravine | City Confidential | A&E","12m 44s","2023-02-09T18:00:34Z"
y_0Rc3YsDfs,"Nightmare Neighbor TRIES TO KICK DOWN FRONT DOOR at 2 AM | Neighborhood Wars | A&E","6m 29s","2023-02-09T17:00:49Z"
"x-Pu8pOWzWI","I Survived...: Serial Killer Abducts Young Girl and her Best Friend (S10, E7) | Full Episode","43m 6s","2023-02-08T23:00:44Z"
npfWQPZ6Rhw,"Retired Police Captain Shoots and Kills Man in Movie Theater | Taking the Stand | A&E","12m 5s","2023-02-08T20:00:14Z"
mGSwouZu2Wo,"The Search for Kayla Unbehaun and The Bradley Sisters | Vanished | A&E","17m 19s","2023-02-08T18:00:20Z"
a9I0CnLSrus,"Axe-Wielding Driver Causes Absolute MAYHEM on the Highway | Road Wars | A&E","2m 12s","2023-02-08T17:00:00Z"
"kk-bK1nWBTs","Shipping Wars: Delivering Sad Family News & Antique Fire Engines (S7, E9) | Full Episode","21m 14s","2023-02-07T23:00:35Z"
3gG_bRNiTnU,"NYPD Steps In To Shut Down WILD Parking Spot Feud | Neighborhood Wars | A&E #shorts",57s,"2023-02-07T20:30:00Z"
