"Video ID",Title,Length,Published,"Region Restriction Count"
"LHo7tE-GbOs","Pleagle the Dog Finds a Loving Home! | Pit Bulls & Parolees","12m 41s","2022-11-03T13:00:23Z","1 (blocked)"
5_OGfn9YIm0,"Deuces FINALLY Gets a Forever Home! | Pit Bulls & Parolees","15m 12s","2022-10-28T13:00:05Z","1 (blocked)"
6YoKIuCuXXU,"Adorable Pup Fights to Overcome Spinal Injury! | Pit Bulls & Parolees","13m 3s","2022-10-20T13:45:06Z","1 (blocked)"
l2LchJyftbI,"A New Toucan Moves In and Gets Some Tasty Snacks! | The Zoo","10m 19s","2022-09-15T13:00:26Z","1 (blocked)"
ce2n9vZ691g,"Welcoming New Sand Cats to The Zoo! | The Zoo",1m,"2022-09-09T13:00:22Z","1 (blocked)"
i10WIgsHl4A,"Sidney the Harbor Seal Moves Cross Country! | The Zoo","12m 33s","2022-09-08T13:00:32Z","1 (blocked)"
rAHaWLtHOnI,"Elvis The Crocodile Gets Dinner | The Zoo",59s,"2022-09-02T13:00:36Z","1 (blocked)"
"lYX_CJkxd-4","Edward, The Bat-eared Fox Becomes an Ambassador! | The Zoo","11m 41s","2022-09-01T16:11:17Z","1 (blocked)"
ZgrkR4j40sY,"Incredible Sloth Encounter! | The Zoo",59s,"2022-08-29T13:36:43Z","1 (blocked)"
wbW8AmExER4,"The Zoo's Only Tree Kangaroo Gets a New Friend! | The Zoo","9m 15s","2022-08-25T13:09:49Z","1 (blocked)"
bEKrryUdhMQ,"Meet Amos the White Pelican! | The Zoo",58s,"2022-08-20T13:00:20Z","1 (blocked)"
G3FoHFqnljA,"Introducing a New Lemur Companion to the Enclosure! | The Zoo","12m 53s","2022-08-19T13:00:06Z","1 (blocked)"
AARLwdtY8TQ,"Pork Tapeworms in the Brain | Monsters Inside Me",1m,"2022-08-12T13:00:06Z","1 (blocked)"
_oxEwyCg4h0,"Young Boy Narrowly Survives Swallowing a Battery! | Monsters Inside Me","13m 24s","2022-08-11T13:00:31Z","1 (blocked)"
guwmdwpZPfQ,"""If We Don't Find Out What it is, Her Lungs Are Going to Fail"" | Monsters Inside Me",59s,"2022-08-08T12:00:23Z","1 (blocked)"
"vVry9q-yKPY","7 Year Old Barely Survives Parasite! | Monsters Inside Me",52s,"2022-08-05T12:00:39Z","1 (blocked)"
