##2023
HXG0Z1ohpP0,Stunning Coastlines in HD | Our Blue Planet | BBC Earth,38m 49s,2023-02-09T17:17:21Z

##2019
MIFVtVYfU90,Dive with Giant Manta Rays in Mexico in 3D 360 | Our Blue Planet VR | BBC Earth,6m 14s,2019-11-02T10:59:47Z
N2lNelDyQbI,Dive with Octopuses and Eels in 360 3D! | Our Blue PlanetVR | BBC Earth,8m 44s,2019-09-13T15:17:40Z

##2018
OARGpnSur1Y,Turtle Necropsy: Discovering the Causes of Death | Our Blue Planet | Earth Unplugged,9m 11s,2018-10-27T16:00:05Z
LjjU95acQrA,Athleteâ€™s Paralympic Journey Inspired by Prosthetic Tail Dolphin | Our Blue Planet | Earth Unplugged,7m 1s,2018-09-22T17:00:05Z
svFhhmUhXHI,The Amazing Underwater Cinematography of Blue Planet II | Our Blue Planet | Earth Unplugged,3m 11s,2018-07-12T09:30:01Z
1pHPibEtBz8,Revealing the Secrets of the Deep Ocean | Our Blue Planet | Earth Unplugged,3m 54s,2018-04-19T09:00:00Z
GHIswa0FpVg,Jumbo squid caught on camera for Blue Planet II | Our Blue Planet | Earth Unplugged,3m 17s,2018-03-08T09:59:52Z

##2017
7xBzUjcxvbs,Tagging the Largest Shark On Earth | Our Blue Planet | BBC Earth,3m 31s,2017-05-24T13:42:11Z
a5nZ1ZDk6Zk,Tagging the Largest Shark on Earth | Our Blue Planet | Earth Unplugged,3m 31s,2017-04-27T11:08:39Z
