##2023
KsTs7-Q8hJM,The Secret Behind Jupiter's Northern Lights | Space Mysteries | BBC Earth Lab,7:56,2023-03-23T14:00:19Z
cqRndpt65RQ,Strongest Magnet In the Universe | Space Mysteries | BBC Earth Lab,7:24,2023-03-16T14:58:34Z
Tx3nWHWc2_A,Why Is Earth Spinning Faster? | Space Mysteries | BBC Earth Lab,7:34,2023-03-09T15:00:16Z
dYwS9-UvOMY,Mission DART: Stop Planet-Killing Asteroids | Space Mysteries | BBC Earth Lab,8m 7s,2023-03-02T13:00:31Z
WeyZFuPPJvI,Did Life On Earth Arrive From Space? | Space Mysteries | BBC Earth Lab,7m 6s,2023-02-24T18:00:24Z

##2021
THE4FZYEy1o,What Is Dark Energy? | Space Mysteries | Earth Lab,7m 57s,2021-11-23T14:00:10Z
BNDMmGo_nds,Why Is 95% Of The Universe Missing? | Space Mysteries | Earth Lab,7m 10s,2021-11-16T14:00:03Z
JCeS8B1gNWY,Is There Another You In A Parallel Universe? | Space Mysteries | Earth Lab,8m 29s,2021-11-09T14:00:16Z
5av1zHERg8Y,Are These Signals From Aliens? | Space Mysteries | Earth Lab,7m 24s,2021-11-02T14:00:03Z
UfmygZLiuoM,Have We Trashed Space Forever? | Space Mysteries | Earth Lab,7m 56s,2021-10-26T13:00:13Z
