##2021
VXJsiGXX7wA,Mark and Digger Find the Perfect Water to Make Whiskey | Moonshiners,10m 29s,2021-12-31T15:00:26Z
vIXBzAj0N98,By Far the Worst Night of My Life | Naked and Afraid,8m 54s,2021-12-30T15:00:28Z
H51r3UUADAg,The Summer Bay Nearly Capsizes!! | Deadliest Catch,8m 3s,2021-12-29T15:00:09Z
YnXjDZ79uK8,Very Bitter Rematch—Chuck vs Justin Swanstrom | Street Outlaws: No Prep Kings,3m 23s,2021-12-28T15:00:13Z
pO__X5pHpKU,Permafrost Makes 200-Ounce Gold Haul Almost Impossible | Gold Rush,10m,2021-12-27T15:00:34Z
MgqO-nUaXA0,Could YOU Operate an Excavator? | Gold Rush: The Dirt,3m 19s,2021-12-25T15:00:17Z
dc1TQLYjq2Y,Mark and Huck Make Their Best Fortified Wine Ever | Moonshiners,8m 45s,2021-12-24T15:00:21Z
6M_ELhXMtFs,One Last Hunt Before Starvation Hits | Naked and Afraid,8m 36s,2021-12-23T15:00:03Z
bPzEKfepYkY,Kye Kelley Races His Fiancé Lizzie Musi | Street Outlaws: No Prep Kings,3m 21s,2021-12-21T15:00:16Z
8IRAWFOCM20,Rick’s $1000000 Excavator Fixed by Rookie Mechanic | Gold Rush,9m 53s,2021-12-20T15:00:08Z
PDXV7Csog_M,Tony Beets Repairs an Engine With Zip Ties! | Gold Rush,3m 7s,2021-12-18T15:00:09Z
t895Aw5w1yg,Mike and Jerry Fix Their Exploding Barrel | Moonshiners,10m 23s,2021-12-17T15:31:04Z
IMCWziBH6h4,There Are Black Widows in Our Cave! | Naked and Afraid,10m 14s,2021-12-16T15:00:07Z
gS0uKSIo_0M,The Saga Finds 435 Crabs in ONE Pot | Deadliest Catch,8m 18s,2021-12-15T18:18:44Z
qH-3rs9J8Bo,Should We Call Out Cheating? | Street Outlaws: No Prep Kings,3m 19s,2021-12-14T15:00:29Z
6r40kBRcUaA,Tony Beets’s $5 MILLION Fleet of Machines | Gold Rush,9m 40s,2021-12-13T15:00:02Z
7Qjh6iXLN7w,Parker Decides to Shut Down a Wash Plant | Gold Rush,3m 7s,2021-12-11T15:00:07Z
pMZQgqBJ0Rc,Testing a Wooden Barrel Still?? | Moonshiners,10m 29s,2021-12-10T15:00:23Z
BJ43yrUcQMA,Vegan Has to Eat Lizard Meat | Naked and Afraid,10m 10s,2021-12-09T15:00:05Z
MiwmF9yD4Lc,The Wizard Sails Right Up to the Ice Pack | Deadliest Catch,10m 17s,2021-12-08T15:00:09Z
atS_ZFn4wYA,Ryan Martin Races for $40000! | Street Outlaws: No Prep Kings,3m 19s,2021-12-07T18:00:03Z
EuAqbGsPNtY,Eye To Eye With the Tiger | Project CAT,5m 2s,2021-12-07T12:00:13Z
QlaKk4EIoIs,Noah Trains His New Warhorse | Alaskan Bush People,9m 30s,2021-12-06T15:00:13Z
ffWTETolYx4,Tony Beets Saves His Season with Huge Gold Find | Gold Rush,3m 18s,2021-12-04T15:00:32Z
E_u1xXpW5wQ,Cops Pay Mark and Digger A Visit | Moonshiners,9m 46s,2021-12-03T15:00:07Z
oWbSgCtz7uI,Swimming Naked with Sharks | Naked and Afraid,9m 44s,2021-12-02T15:00:19Z
gTOdiQllpEs,The Wizard Is Rocked with 30 Foot Waves | Deadliest Catch,8m 12s,2021-12-01T15:00:21Z
MkpbhvsCFko,Team X Has to Race Against Themselves | Street Outlaws: No Prep Kings,3m 12s,2021-11-30T15:00:28Z
Wb4yxeltDR8,Gabe and Bam Bam Fix the Road and Build a Culvert | Alaskan Bush People,8m 32s,2021-11-29T15:00:16Z
Birxvu8DaP8,Fred's Team Has Its First Official Gold Weigh | Gold Rush,3m 2s,2021-11-27T15:00:05Z
7V83faxW-VU,The Time Bandit Is Now Public Enemy Number 1 | Deadliest Catch,10m 11s,2021-11-26T15:00:05Z
B3_OId68JnY,Naked in Cambodia and Arguing the Whole Time | Naked and Afraid,10m 21s,2021-11-25T15:00:08Z
MfBbSRFEtj0,HUGE Swells at St. Paul Harbor | Deadliest Catch,9m 51s,2021-11-24T15:00:19Z
fdgPfbKPD2E,I Beat Him By 6 Inches! | Street Outlaws: No Prep Kings,2m 18s,2021-11-23T16:49:25Z
pjQGc5mYXHA,Bear Puts Out Multiple Forest Fires | Alaskan Bush People,9m 8s,2021-11-22T15:00:24Z
2IGQqvKj3qU,Big Red Finally Brings In over $400K of Gold for Parker | Gold Rush,3m 16s,2021-11-20T15:00:02Z
cQQNNQ1PrnA,Finding $100000 Worth of Gold Coins | Expedition Unknown,9m 15s,2021-11-19T15:00:19Z
eVQPAx5CiwM,The Mosquitos Are Eating My Vajayjay Alive | Naked and Afraid,10m,2021-11-18T14:33:40Z
NNW54m8q4tk,Shocking Photo Finish for the Trophy | Street Outlaws: No Prep Kings,3m 4s,2021-11-16T15:00:08Z
On7r-eoBrUo,Forest Fire Threatens the Ranch | Alaskan Bush People,10m 32s,2021-11-15T17:11:36Z
n2j77Liq2UM,Huge Frost Chunks Derail Tony Beets's Operation | Gold Rush,3m 25s,2021-11-13T15:00:18Z
-iR1IgJa1As,Finding El Dorado Ruins in a Dangerous Jungle | Expedition Unknown,10m 7s,2021-11-12T15:00:01Z
oqMInWz1tH8,Amateur Survivalists Freeze without a Shelter | Naked and Afraid,9m 8s,2021-11-11T15:00:33Z
V4RsCtv0ymU,The Summer Bay's Propeller Gets Tangled | Deadliest Catch,10m 15s,2021-11-10T15:00:14Z
lk_Ed4AiQ48,What It Takes to Beat a Pro Racer | Street Outlaws: No Prep Kings,3m 20s,2021-11-09T15:00:19Z
b_DMMm1ns8A,The Family Builds a Zipline and Looks for Gold | Alaskan Bush People,9m 19s,2021-11-08T18:45:34Z
DTIaKZRv-H0,Parker's $2500000 Gamble Finally Starts to Pay Off | Gold Rush,3m,2021-11-06T14:00:04Z
7STn29CrTWM,Uncovering the Legendary El Dorado City of Gold | Expedition Unknown,10m 11s,2021-11-05T14:00:02Z
4xjUczkP-Sw,Finding Another Naked Person | Naked and Afraid,11m 10s,2021-11-04T14:00:01Z
vozilM0VlSk,He Jumped the Light! | Street Outlaws: No Prep Kings,3m 14s,2021-11-02T14:00:19Z
BKJYcqSPfzg,Repairing a Huge $500000 Dozer | Gold Rush: Winter's Fortune,9m 15s,2021-11-01T14:00:03Z
dItUx34ljYA,Tony Beets's New Sluicing Operation Goes Up in Smoke | Gold Rush,3m 25s,2021-10-30T14:00:14Z
MCJVfgXejZs,DB Cooper's Legendary Plane Jump Recreated | Expedition Unknown,10m 22s,2021-10-29T14:00:09Z
aq3BPq3P5Rs,Preparing for a Brutal Two Day Extraction | Naked and Afraid,12m 17s,2021-10-28T14:00:01Z
CkGdzZrGgqU,The Summer Bay Has Catastrophic Part Failure | Deadliest Catch,9m 13s,2021-10-27T14:00:13Z
ow84v9AY6CE,Daddy Dave Has a Major Crash | Street Outlaws: No Prep Kings,3m 15s,2021-10-26T14:00:28Z
n-6Uj7sPX8A,Dave Finds Hidden Gold Claim Worth Millions | Gold Rush: Winter's Fortune,9m 52s,2021-10-25T14:00:20Z
i6FggAbQtHU,Fred Nearly Wrecks 28-Ton Excavator During Inspection | Gold Rush,3m 17s,2021-10-23T14:00:26Z
splA7rBlaak,Uncovering a Crashed World War II Bomber | Expedition Unknown,11m 13s,2021-10-22T17:21:36Z
xig2kTWTvUg,Survivalists Escape from the South African Jungle | Naked and Afraid,10m 42s,2021-10-21T14:00:34Z
A8zi_0E75K0,Huge Crash! Jerry Bird vs Tony McKinney | Street Outlaws: No Prep Kings,2m 34s,2021-10-19T14:00:06Z
keEztm4EOng,Retrieving Gear from an Avalanche Becomes a Survival Situation | Gold Rush: Winter's Fortune,10m 28s,2021-10-18T14:00:13Z
0unE2vNmzL0,Tony Beets Loses a $10 Million Gold Claim | Gold Rush,3m 21s,2021-10-16T14:00:00Z
sy6Tx4TvCgA,Searching for John Dillinger's Buried Treasure | Expedition Unknown,9m 52s,2021-10-15T14:00:33Z
b5icm_3CW_I,When a Contestant Has Zero Survival Skills | Naked and Afraid,9m 5s,2021-10-14T14:00:13Z
QchcPil5qYI,This Car Is a Masterpiece! | Street Outlaws: No Prep Kings,3m 10s,2021-10-12T14:00:22Z
