"Video ID",Title,Length,Published
hu5cVkeyvtQ,"Chowchilla survivor Jodi Heffington tells her story","5m 41s","2023-03-18T00:08:40Z"
iBvYSRbpIng,"What Angelina Saw | Full Episode","42m 3s","2023-03-17T11:00:36Z"
rUvhhIMiI2A,"Sneak peek: Remembering the Chowchilla Kidnapping","3m 53s","2023-03-16T12:30:22Z"
l_qKT_4nrW4,"Maggie Murdaugh’s friends break their silence","2m 36s","2023-03-15T15:57:22Z"
eQ7EH3Hpyp4,"The Writing on the Wall | Full Episode","41m 56s","2023-03-14T11:00:25Z"
YA18cy0ca2M,"What didn't Angelina Fernandes know about her mom's relationship with Andrew Wagner?","4m 4s","2023-03-12T01:45:27Z"
OZTB0csf6DU,"What Angelina Saw | Sneak peek","3m 12s","2023-03-09T18:07:28Z"
yj8pFxSQBks,"The Trial of Alex Murdaugh | Full Episode","41m 26s","2023-03-07T12:00:47Z"
VURQodcnqAE,"The Trial of Alex Murdaugh | Sneak peek","4m 9s","2023-03-04T22:32:21Z"
CSacWEEPkdE,"Kassanndra's Secret | Sneak peek","3m 15s","2023-03-03T04:00:05Z"
B9KdSqi5J7o,"The Plot to Kill Jamie Faith | Full Episode","41m 38s","2023-02-28T12:00:09Z"
i05NIVhJtpc,"The Brighton ax murder of 1982","3m 48s","2023-02-27T17:36:12Z"
O5uhNiMwdzE,"Current wife defends man convicted of murdering first wife","4m 14s","2023-02-27T17:34:52Z"
YIBe2LybGcQ,"The Murdaugh Mysteries | Full Episode","42m 2s","2023-02-24T04:29:13Z"
"Pwzc6sTF-9k","The Brighton Ax Murder | Sneak peek","2m 58s","2023-02-22T19:48:10Z"
lS8yXu7XibE,"The Psychiatrist and the Selfie | Full Episode",44m,"2023-02-21T12:00:33Z"
"7-uz7zO6CGM","Victims of kidnapping forgive attacker 20 years later","6m 55s","2023-02-15T12:00:09Z"
CA77P4rTrns,"The Snapchat Clue | Full Episode","41m 42s","2023-02-14T12:00:06Z"
MjLOVihNNG0,"""Kidnapping was a piece of cake compared to [MS]"" says survivor","6m 33s","2023-02-13T16:52:53Z"
8r0ePDrPXpg,"The Kidnapping of Michelle & Breea Renee | Sneak peek","3m 30s","2023-02-09T13:30:04Z"
