##2023
2VEc9hZ9EfY,The Brighton Ax Murder | Full Episode,41:24,2023-09-15T11:00:03Z
At9umianChg,The Preppy Killer | Full Episode,41:21,2023-09-12T11:00:08Z
sSmbBUIz588,Resident Evil | Full Episode,41:52,2023-09-05T11:00:40Z
5fis5nO5rPo,Blood in the Sand | Full Episode,42:41,2023-08-30T11:00:07Z
4ZiFcF5kGoY,Out of the Shadows | Full Episode,42:55,2023-08-29T11:00:05Z
KnU4rfkTyww,The DNA of a Killer | Full Episode,43:15,2023-08-22T11:00:12Z
eFmCUzrDJbI,The Unsolvable Murder of Roxanne Wood | Full Episode,41:12,2023-08-18T11:00:30Z
3A4X2exTnaM,Jayme Closs: Hometown Hero | Full Episode,42:53,2023-08-15T11:00:02Z
G4a8SfgunNg,The Case Against Nicole Addimando | Full Episode,41:36,2023-08-08T11:00:12Z
6q41wmV7TU0,The Tree that Helped Solve a Murder | Full Episode,41:23,2023-08-04T11:00:11Z
OWtg5HljteI,The Pact | Full Episode,42:23,2023-08-01T11:00:27Z
HNTDIfZ6L6w,Searching for Maya Millete | Full Episode,41:31,2023-07-28T11:00:26Z
xBVH5obMP10,Sins of the Father | Full Episode,43:39,2023-07-25T11:00:45Z
b0h7TGwZQdY,Good Cop/Bad Cop: Solving the Murder of Heather Bogle | Full Episode,41:11,2023-07-18T11:00:28Z
feHZ-lSovcw,The Hunt for the Long Island Serial Killer | Full Episode,41:31,2023-07-14T14:52:16Z
wZvt-NSA0bo,The Case Against Michael Politte | Full Episode,42:7,2023-07-14T11:00:51Z
3cnLMaXq2VQ,Solve this case: Who Killed Kay Wenal? | Full Episode,43:36,2023-07-11T11:00:03Z
GeRSS4UzTGM,Killer App | Full Episode,44:7,2023-07-04T11:00:13Z
ff6ZeZsZYPI,A Man with a Past | Full Episode,41:15,2023-06-30T11:00:35Z
BHEEdUjrX-Q,The Deliveryman Murders | Full Episode,41:39,2023-06-27T11:00:12Z
hXaRJ7HKbUM,The Shooting of Lauren Kanarek  | Full Episode,40:56,2023-06-23T11:00:29Z
y_x4W-UUL30,The Widow on Solway Road | Full Episode,42:4,2023-06-20T11:00:51Z
uPQaU2IRWa4,The Strange Death of Professor Shockley | Full Episode,41:49,2023-06-19T15:37:42Z
wyiVgEMKpUA,Caught in the Crossfire Part 2 | Full Episode,43:43,2023-06-16T11:00:46Z
c_EbxrrY56I,Caught in the Crossfire Part 1 | Full Episode,42:27,2023-06-13T11:00:34Z
XZ1FM0gnyiM,The Case of the Poison Cheesecake | Full Episode,40:51,2023-06-09T11:00:33Z
SnsjtL7YLfE,What Happened to the Perfect Child? | Full Episode,41:21,2023-06-06T11:00:30Z
um60S3jFQ_4,A Stabbing in Colts Neck | Full Episode,41:53,2023-05-26T11:00:51Z
3ng9Lv59Qnc,Where is Jennifer Kesse? | Full Episode,41:31,2023-05-23T11:00:02Z
X4C4cCtS88s,The COVID Cover-Up: Searching for Gretchen Anthony | Full Episode,42:26,2023-05-19T11:00:33Z
mneiFxNX72c,Lori Vallow Daybell: Guilty | Full Episode,41:2,2023-05-16T11:00:28Z
baboZqLFfCk,Where is Diana Duve? | Full Episode,42:3,2023-05-12T11:00:25Z
