Video ID,Title,Length,Published
TyQzvocgniY,23-Year-Old Fights for Her Life Against Knife-Wielding Attacker | Crimes Gone Viral | ID,8:47,2023-04-09T16:00:23Z
bnwLK0U-kI0,Shop-Owner Pries Shotgun Out of Attacker's Hands | Crimes Gone Viral | ID,3:16,2023-04-08T16:00:21Z
ErScra0eiNA,The Lacey Spears Case: Munchausen by proxy Part 4 #shorts,49,2023-04-07T20:55:11Z
VlVOzrEgmnk,The Lacey Spears Case: Munchausen by proxy Part 3 #shorts,1:,2023-04-07T20:51:19Z
IdHmENAEP94,The Lacey Spears Case: Munchausen by proxy Part 2 #shorts,1:,2023-04-07T20:49:09Z
2s7frDNOHuw,The Lacey Spears Case: Munchausen by proxy Part 1 #shorts,52,2023-04-07T20:10:39Z
A6BgHFRL_WI,Inmates Use Trash Cans To Escape Prison | Crimes Gone Viral | ID,3:43,2023-04-07T17:00:08Z
b74pDA1aZfQ,Daughter Reacts To Conversation With Her Convicted Killer Mother | #shorts #investigationdiscovery,57,2023-04-04T19:55:10Z
umUOQxwgips,Donnie Wahlberg Hosts New Season of Very Scary People on ID,10,2023-04-04T17:29:49Z
ZwwpxZgz0jQ,S4 Ep.1: First Kill,36:53,2023-04-04T07:14:14Z
u5q1RjBWkWI,Men Fight Back Against Attempted Robbery At Gunpoint | Crimes Gone Viral | ID,9:23,2023-04-02T16:00:28Z
4K7u9HMX15g,Thieves Kidnap Shark In Baby Stroller | Crimes Gone Viral | ID,3:25,2023-04-01T16:00:03Z
XT71oI9dlCw,Victim Brutally Attacked With His Own Eyeballs | Homicide Hunter: My, My Mysteries | ID,22:45,2023-03-31T20:02:11Z
zgCTL1NlQJA,ENRAGED Dad Catches Man Trying To Meet His Teen Daughter | Crimes Gone Viral | ID,3:28,2023-03-31T16:00:43Z
ibjC5_YGMK0,Thieves Kidnap Shark from the San Antonio Aquarium #Shorts,,2023-03-29T16:00:26Z
arT-LOwI7yo,Man Posed As Filmmaker To Lure Aspiring Actress To Tragic Death | Hidden Hollywood | ID #shorts,,2023-03-28T15:00:04Z
PFnkMTjV2zY,Woman Fights Off Attacker in Apartment Gym | ID #shorts,,2023-03-27T19:00:09Z
UuQxGSxWoLY,Young Woman Bravely Fights Off Car Jackers | Crimes Gone Viral | ID,3:16,2023-03-25T16:00:25Z
ZjzNcKERQUA,Young Woman Bravely Fights Back In Attempted Carjacking #Shorts,,2023-03-24T17:00:31Z
2x_YtCV7S9o,Young Woman&#39;s Split-Second Kidnapping Caught on Camera | Crimes Gone Viral | ID,3:19,2023-03-24T17:00:03Z
PzMVYONhbmM,Introducing Mind of a Monster: Jeffrey Dahmer,1:29,2023-03-23T20:21:44Z
D8_8k04Nahg,Teen Girl&#39;s Dad Beats Up Predator Lurking Outside Their Home #shorts,,2023-03-23T17:00:14Z
cp3HC_rQINU,Very Scary People | Official Trailer | ID,1:18,2023-03-23T15:59:01Z
F1aDMoB9FTY,CCTV Captures Woman Being Saved From Kidnapping #shorts,,2023-03-22T17:00:09Z
pcguAPKQW7Q,Man Claims Missing Ex-Wife Had Covid | ID #shorts,,2023-03-21T21:30:08Z
LLYM3fCxnFY,Aspiring Model Juliana Redding Murdered In Her Home | Hidden Hollywood | ID #shorts,,2023-03-21T16:00:18Z
I_5yZNNogWI,Woman Questioned 17 Years After Girl In Her Clique Found Dead | ID #shorts,,2023-03-20T19:47:06Z
BTFRk_c6_R8,Baby Trapped Under Vehicle  Officers Attempt Rescue | ID #shorts,,2023-03-20T15:00:15Z
