##2007
2fRccWTrJd4,Not Without My Brother! | Dogtown,3m 28s,2007-12-28T20:58:07Z
0oh8GgRaYT0,Polar Bear Attacks Ring Seal | National Geographic,1m 5s,2007-12-28T20:49:45Z
BlvhJilFwto,Find me a Home! | Dogtown,6m 7s,2007-12-28T20:48:55Z
iZq-v0Tl58o,From Near Death to Perfect Pet | Dogtown,3m 19s,2007-12-28T20:43:57Z
-8QrjbtYktc,Women Behind Bars | National Geographic,3m 8s,2007-12-28T12:37:38Z
62YEUY7vyyY,Snowy Egret's Nest | National Geographic,1m 34s,2007-12-28T12:30:32Z
j3mTPEuFcWk,High-Velocity Falcon | National Geographic,3m,2007-12-27T13:40:42Z
BsLfWgAFFIE,Have You Ever Seen a Dog Fetus? | National Geographic,1m 47s,2007-12-27T13:35:26Z
l4K-2MLF2Fk,World's Largest Spitting Cobra | National Geographic,3m,2007-12-21T17:08:37Z
QNoQvjlmGdk,Platypus Parts | National Geographic,3m 44s,2007-12-21T13:58:20Z
DrEjuO8bE70,Whale of a Meal | National Geographic,2m 59s,2007-12-21T13:53:06Z
ZGIZ-zUvotM,Initiation With Ants | National Geographic,4m 2s,2007-12-21T13:51:01Z
ddWZ9qEAOG8,Bugling Elk | National Geographic,2m 42s,2007-12-21T13:48:17Z
6ahOL5ohc6s,Patti Labelle Has Puppy Blues | Dog Whisperer,2m 45s,2007-12-21T13:46:02Z
S3XrKkrAZpY,A Lesson in Aggression | Dog Whisperer,4m 16s,2007-12-21T13:43:40Z
Lfhot7tQcWs,Scarification | National Geographic,5m 23s,2007-12-20T15:07:18Z
vpN4Gd1htXw,Is Your Dog a Genius? | National Geographic,3m 36s,2007-12-20T15:04:23Z
myAhcWEv56Y,Shell Shocked | Dog Whisperer,4m 51s,2007-12-19T15:16:09Z
81JPj8BqBBQ,Boy To Man | National Geographic,4m 35s,2007-12-19T14:23:36Z
LbpH9FrMAG4,Deadly Venomous Viper | National Geographic,3m 24s,2007-12-19T14:17:57Z
m83UAO2ThGM,Timkat | National Geographic,5m 7s,2007-12-17T15:19:20Z
THpp3ynOUsI,Hauling Illegal Liquor | National Geographic,3m 19s,2007-12-17T15:04:43Z
UxhKb-zZoWE,Sumo | National Geographic,2m 7s,2007-12-14T15:22:14Z
huF2mrhTtCw,Warrior Civilization Vanishes From History | National Geographic,1m 54s,2007-12-14T15:09:49Z
RvZc8y9KT0A,Biblical Relic or Clever Hoax? | National Geographic,3m 13s,2007-12-13T14:55:06Z
Y3Tr_yDdwRQ,Japan Geishas | National Geographic,2m 34s,2007-12-13T14:44:13Z
Rxkz_ygndLU,The Missing Years of Jesus | National Geographic,5m 42s,2007-12-12T21:22:04Z
XnzufLjYU1U,Get in the Car! | Dog Whisperer,3m 42s,2007-12-11T15:57:16Z
5ExbebXMw1M,Birds of Paradise - Toucan | National Geographic,1m 36s,2007-12-11T15:37:33Z
CQGsGd8hmuE,Mentally-Ill Billionaire | National Geographic,2m 45s,2007-12-11T15:36:09Z
9Eft-0i2sQg,Birds of Paradise - Lovebirds | National Geographic,1m 39s,2007-12-11T15:27:41Z
Xr_WCPHDX-8,Dissecting a Dinosaur | National Geographic,4m 59s,2007-12-07T14:59:05Z
RNqQUoX26RY,Sri Lanka Tsunami | National Geographic,27s,2007-12-07T14:38:23Z
sSYFmyn3n3c,What is a Dino Mummy? | National Geographic,4m 56s,2007-12-06T14:18:51Z
V0WuSCaTYI0,Seattle Quake | National Geographic,3m 29s,2007-12-06T14:12:43Z
2wY_t7zVIXY,Lightning Strikes! | National Geographic,5m 50s,2007-12-05T19:50:24Z
E20_lwZ8FY8,T. Rex Granddaddy | National Geographic,3m 14s,2007-12-05T14:57:10Z
