##2022
uHLmh6yphUc,Fascinating Truths About Our Universe | Cosmic Vistas Season 5 Compilation | Spark,2h 12m 49s,2022-12-11T18:00:17Z
Aa6OxQfHs7Q,The Most Jaw Dropping Sights In Our Universe | Cosmic Vistas Season 4 Compilation | Spark,2h 16m 1s,2022-12-04T18:00:02Z
LQWiiphxkY0,Everything We Know About The Planets In Our Solar System | Cosmic Vistas Compilation | Spark,2h 15m 59s,2022-11-27T18:00:08Z
EdCyr6-uVxc,The Most Magnificent Cosmic Phenomenona | Cosmic Vistas [Season 2 All Episodes] | Spark,2h 13m 14s,2022-11-20T18:00:06Z

##2021
8vkqH3r1-f4,The Most Breathtaking Sights In Our Galaxy [4K] | Cosmic Vistas [Season 1 All Episodes] | Spark,2h 35m 25s,2021-12-19T17:00:04Z
dMGoj0XIF34,Solar Eclipse Reveals The Truth About Earth | Cosmic Vistas | Spark,22m 8s,2021-10-06T17:00:31Z
H7iIM52SZoE,Was The Universe Made Just For Us? | Cosmic Vistas | Spark,22m 8s,2021-09-29T17:00:20Z
2FbDByz5f5M,How Are Stars Born? | Cosmic Vistas | Spark,22m 3s,2021-09-22T17:00:01Z
V_Ka4cJkCNQ,Studying Dark Energy: Mysterious Force That Shaped The Universe | Cosmic Vistas | Spark,22m 10s,2021-09-15T22:00:20Z
PVk_aGZ2-6Q,Constellations : The Beautiful Nebulas And Galaxies Within Them | Cosmic Vistas | Spark,22m 16s,2021-09-08T22:00:22Z
Bjw5cVh-rfA,What Is The Curiosity Rover Doing On Mars? | Cosmic Vistas | Spark,22m 16s,2021-09-01T17:00:08Z
ZRub5uf48x4,Landsat 8: The $900 Million Advanced Satellite | Cosmic Vistas | Spark,22m 20s,2021-08-11T17:00:32Z
-iCB3VsNgSE,Where Are The Aliens? | Cosmic Vistas | Spark,22m 18s,2021-08-04T17:00:00Z
-J54HjCRdaA,Cosmic Rays: Messengers From A Million Light-Years Away | Cosmic Vistas | Spark,22m 12s,2021-07-28T17:00:00Z
Vsm90GJiW90,How Understanding The Planet Mercury Tells Us The Secrets Of The Universe | Cosmic Vistas | Spark,22m 23s,2021-07-21T17:00:18Z
Ox7YMwe7Cls,What Actually Caused The Universe To Be Born? | Cosmic Vistas | Spark,24m 50s,2021-07-14T17:00:12Z
AuAGJYSu_LE,The Mythology Of Ancient Skywatchers | Cosmic Vistas | Spark,22m 13s,2021-07-07T17:00:04Z
H19V4w2P7fE,Everything We Know About Mars... So Far | Cosmic Vistas | Spark,22m 40s,2021-06-30T17:00:07Z
xpfCp57msD4,The Evolution Of The Space Shuttle | Cosmic Vistas | Spark,22m 39s,2021-06-23T17:00:23Z
VbVRmz-wlUI,How Gravity Controls Everything In Our Universe | Cosmic Vistas | Spark,22m 39s,2021-06-16T17:00:13Z
fOLk7zk55Vw,What Does Water On Other Planets Mean For Life? | Cosmic Vistas | Spark,22m 40s,2021-06-11T17:00:17Z
rIXQhR_1QZ4,Secrets Of The Asteroid Belts: Exploring Ceres & Vesta | Cosmic Vistas | Spark,22m 40s,2021-06-04T17:00:22Z
vlb-b5ch81k,The Many Seasons Of Saturn & Other Planets | Cosmic Vistas | Spark,22m 42s,2021-05-28T17:00:11Z
FEVigFpnL-A,What Did Our Universe Look Like Billions Of Years Ago? | Cosmic Vistas | Spark,22m 41s,2021-04-09T17:00:12Z
Qt9smxiDDNk,Cosmic Secrets Of The Aurora Borealis | Cosmic Vistas | Spark,22m 40s,2021-04-02T17:00:12Z
Wpn1AlBoDOs,Where Is The Best Place To See The Milky Way? | Cosmic Vistas | Spark,22m 37s,2021-03-26T18:00:15Z
ZPI9Fa-FXqM,Secrets Of The Universe Revealed Using Infrared | Cosmic Vistas | Spark,22m 41s,2021-03-19T18:00:33Z
eRTovFxMAh4,How Scientists Look For Planets Like Earth | Cosmic Vistas | Spark,22m 40s,2021-03-12T18:00:23Z
vS2MO7CZGXw,The Disaster Of Space Shuttle Columbia STS-107 | Cosmic Vistas | Spark,22m 33s,2021-03-05T18:00:32Z
3vijOMIbu0w,Secrets Of The Solar System's Asteroid Belts | Cosmic Vistas | Spark,25m 27s,2021-02-19T18:00:01Z
pJNNzamNN8c,What Humanity Can Gain From Other Moons | Cosmic Vistas | Spark,25m 27s,2021-02-12T18:00:30Z
rNyPtClrfHs,The Most Distant Planets In Our Solar System | Cosmic Vistas | Spark,25m 27s,2021-02-05T18:00:24Z
OJtiZZg25d0,What Do The Deserts Of Mars Look Like? | Cosmic Vistas | Spark,25m 27s,2021-01-29T18:00:06Z
UVYlYoHaNRo,Where Does Humanity Go After The Moon? | Cosmic Vistas | Spark,25m 25s,2021-01-22T17:00:30Z
5GDb7lE_FWs,Unlocking The Secrets Of The Universe With Satellites | Cosmic Vistas | Spark,25m 25s,2021-01-15T17:00:02Z
