##2022
vraOyF69Fb8,How The Space Shuttle Program Saved Hubble Space Telescope | Trajectory | Spark,23m 19s,2022-12-16T18:00:32Z
eN8PX-Fy6ro,Hubble's Most Amazing Discoveries [4K] | Zenith | Spark,24m 19s,2022-09-21T17:00:17Z

##2019
nEimjZssljg,The Beauty Of The Hubble Telescope | Hubble's Canvas | Spark,24m 26s,2019-11-23T22:00:04Z
JDzfZoowWLY,How Do Telescopes See Into The Past | Hubble's Canvas | Spark,26m 14s,2019-11-22T22:00:02Z
AenKt3EqIvM,What Is A Black Hole? | Hubble's Canvas | Spark,26m 14s,2019-06-17T21:00:01Z
w3gH5mhiQIo,The Grand Designs In Outer Space | Hubble's Canvas | Spark,26m 14s,2019-06-10T21:00:10Z
4KYNO4sJswM,How Telescopes Capture The Beauty of Space | Hubble's Canvas | Spark,26m 14s,2019-05-27T21:00:00Z
ZEaqnUrct2k,The Effects Gravity Has On Light In Space | Hubble's Canvas | Spark,26m 14s,2019-05-20T21:00:01Z
1oprjir1rz8,How The Hubble Telescope Takes Amazing Photos | Hubble's Canvas | Spark,26m 14s,2019-05-13T21:00:00Z
