"Video ID",Title,Length,Published
zJsr2u6Uq3A,"The New Face of Chinese Propaganda","9m 21s","2023-03-22T15:00:40Z"
dCNhNkSPqoY,"Why I Risk My Life Climbing Skyscrapers #shorts",34s,"2023-03-21T15:00:33Z"
jSu5p1lsjow,"A Day With the World’s Most Dangerous Stunt Crew | Better Man","27m 46s","2023-03-19T15:00:29Z"
EBZQeZ5Q1w8,"What’s in America’s Abandoned Malls | Abandoned","43m 55s","2023-03-17T15:00:09Z"
dSAUbaWh5KQ,"Can a One Star Chiropractor Heal My Back Pain? #shorts",14s,"2023-03-16T15:00:33Z"
WGPeN3FDUa8,"Climbing a 440 ft Skyscraper Without Ropes","23m 12s","2023-03-15T15:00:21Z"
"_ssq96g-cfE","The Cult Behind Japan’s Deadliest Terrorist Attack | The Business of Crime","7m 31s","2023-03-13T16:00:31Z"
"J4rbC9q-P1I","Drug Dealing to Survive Ibiza’s Eternal Sesh | High Society (Clip)","4m 6s","2023-03-12T16:00:18Z"
0VumyCBhbeE,"Icons Unearthed: Marvel","48m 6s","2023-03-10T16:00:00Z"
b3iZ2UxD5v4,"This Guy Has Only Eaten Mac and Cheese for 17 Years #shorts",56s,"2023-03-09T16:00:18Z"
gE_uuJckDns,"Peace, Love & Drugs: Inside the Rainbow Gathering | Fringes","22m 57s","2023-03-08T16:00:25Z"
pZH9ZYFU26U,"Narco-Propaganda is Fuelling Mexico’s Drug War | The War on Drugs","10m 1s","2023-03-06T16:00:24Z"
v8kRiouKOHM,"Unlicensed Doctors Botched My Face","14m 3s","2023-03-05T16:00:27Z"
"uWD-QQl8phc","The Japan You Never Knew | VICE Guide to Ehime","11m 44s","2023-03-03T19:29:48Z"
azTSGVdXIiA,"People Debate 'Reverse Colorism' #shorts",44s,"2023-03-02T16:00:04Z"
T_yb3l4KFyE,"""Nostalgia Orgy"": The Wild Moments That Should Have Gone Viral | Super Max Retro Show","25m 6s","2023-03-01T16:00:23Z"
bRmtLtA2858,"Transphobic Influencers Are Driving A Violent Groomer Conspiracy | Decade of Hate","12m 55s","2023-02-28T16:00:16Z"
9Rj3sskAjXI,"Partying with Juggalos and Almost Arrested After Stunt Goes Wrong | Better Man","17m 54s","2023-02-26T16:00:04Z"
qVVwIh9Agd4,"The Lizard People Conspiracy Murders | Alternate Reality","11m 35s","2023-02-24T17:00:28Z"
2KoRhC6wVsI,"Parents, Teachers & Students Debate the US Education System | VICE Debates","43m 18s","2023-02-22T16:00:02Z"
